states_uts,district,year,murder,attempt_to_commit_murder,culpable_homicide_not_amounting_to_murder,attempt_to_commit_culpable_homicide,rape,custodial_rape,custodial_gang_rape,custodial_other_rape,rape_other_than_custodial,rape_gang_rape,rape_others,attempt_to_commit_rape,kidnapping_abduction_total,kidnapping_abduction,kidnapping_abduction_in_order_to_murder,kidnapping_for_ransom,kidnapping_abduction_of_women_to_compel_her_for_marriage,other_kidnapping,dacoity,dacoity_with_murder,other_dacoity,making_preparation_and_assembly_for_committing_dacoity,robbery,criminal_trespass_burglary,criminal_trespass_or_burglary,house_trespass_house_breaking,theft,auto_theft,other_thefts,unlawful_assembly,riots,riots_communal,riots_industrial,riots_political,riots_caste_conflict,riots_sc_sts_vs_non_scs_sts,riots_other_caste_conflict,riots_agrarian,riots_students,riots_sectarian,riots_others,criminal_breach_of_trust,cheating,forgery,counterfeiting,counterfeit_offences_related_to_counterfeit_coin,counterfeiting_government_stamp,counterfeit_currency_bank_notes,counterfeiting_currency_notes_bank_notes,using_forged_or_counterfeiting_currency_bank_notes,possession_of_forged_or_counterfeiting_currency_bank_notes,making_or_possessing_materials_for_forged_currency_bank_notes,making_or_using_documents_resembling_currency,arson,grievous_hurt,hurt,acid_attack,attempt_to_acid_attack,dowry_deaths,assault_on_women_with_intent_to_outrage_her_modesty,sexual_harassment,assault_or_use_of_criminal_force_to_women_with_intent_to_disrobe,voyeurism,stalking,other_assault_on_women,insult_to_the_modesty_of_women,at_office_premises,other_places_related_to_work,in_public_transport_system,places_other_than_231_232_233,cruelty_by_husband_or_his_relatives,importation_of_girls_from_foreign_country,causing_death_by_negligence,deaths_due_to_negligent_driving_act,deaths_due_to_other_causes,offences_against_state,sedition,other_offences_against_state,offences_promoting_enmity_between_different_groups,promoting_enmity_between_different_groups,imputation_assertions_prejudicial_to_national_integration,extortion,disclosure_of_identity_of_victims,incidence_of_rash_driving,humantrafficking,unnatural_offence,other_ipc_crimes,total_cognizable_ipc_crimes
Andhra Pradesh,Anantapur,2014,134,171,8,0,35,0,0,0,35,0,35,1,125,0,0,0,88,37,6,0,6,0,30,415,315,100,753,240,513,0,214,0,0,0,0,0,0,0,0,0,214,13,296,0,10,0,false,10,10,0,0,0,0,12,25,24,1,0,25,436,82,34,4,80,236,26,0,0,0,26,165,0,638,638,0,0,0,0,0,0,0,0,0,1038,0,0,3800,8376
Andhra Pradesh,Chittoor,2014,84,170,2,0,32,0,0,0,32,1,31,0,38,4,0,3,28,3,12,0,12,0,22,195,154,41,528,192,336,0,134,0,0,0,0,0,0,0,0,0,134,7,207,0,5,0,false,5,0,5,0,0,0,23,18,18,0,0,17,135,0,0,0,0,135,94,0,0,0,94,278,0,538,538,0,0,0,0,0,0,0,19,0,249,0,0,2567,5374
Andhra Pradesh,Cuddapah,2014,80,162,1,0,28,0,0,0,28,0,28,4,27,0,0,0,11,16,3,0,3,0,16,144,144,0,638,193,445,0,104,0,0,104,0,0,0,0,0,0,0,86,163,0,5,0,false,5,5,0,0,0,0,0,39,39,0,0,16,215,212,0,0,0,3,12,1,11,0,0,91,0,417,417,0,0,0,0,0,0,0,0,0,948,0,0,2604,5803
Andhra Pradesh,East Godavari,2014,64,84,2,0,85,0,0,0,85,0,85,18,66,0,0,0,0,66,3,0,3,0,24,346,295,51,903,347,556,0,27,0,0,0,0,0,0,0,0,0,27,96,214,0,22,0,false,22,0,22,0,0,0,50,44,43,0,1,7,519,159,61,11,55,233,62,0,0,0,62,464,0,668,642,26,0,0,0,0,0,0,32,0,39,0,0,3791,7630
Andhra Pradesh,Guntakal Railway,2014,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,0,0,0,413,0,413,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,5,0,false,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,1,0,0,37,490
Andhra Pradesh,Guntur,2014,105,137,4,0,49,0,0,0,49,0,49,24,64,12,2,0,0,50,5,0,5,0,24,210,155,55,711,200,511,0,78,0,0,0,6,6,0,0,0,0,72,22,328,16,5,0,false,5,0,0,4,1,0,52,37,37,0,0,16,245,17,7,3,8,210,347,0,0,0,347,454,0,494,494,0,0,0,0,0,0,0,18,0,846,0,0,2606,6897
Andhra Pradesh,Guntur Urban,2014,51,65,0,0,40,0,0,0,40,1,39,8,84,0,0,0,0,84,5,0,5,0,31,173,121,52,1045,367,678,0,8,0,0,0,0,0,0,0,0,0,8,23,531,22,2,0,false,2,0,0,2,0,0,35,29,29,0,0,12,160,0,0,0,0,160,452,0,0,0,452,345,0,226,226,0,0,0,0,0,0,0,20,0,691,0,0,1740,5798
Andhra Pradesh,Krishna,2014,51,47,1,0,80,0,0,0,80,1,79,20,41,20,0,0,19,2,0,0,0,0,15,302,247,55,521,141,380,0,9,0,0,0,0,0,0,0,0,0,9,24,242,0,11,0,false,11,11,0,0,0,0,23,39,39,0,0,8,354,98,44,13,76,123,232,2,0,0,230,613,0,418,418,0,0,0,0,0,0,0,15,0,70,0,0,3942,7078
Andhra Pradesh,Kurnool,2014,118,135,5,0,32,0,0,0,32,1,31,4,53,4,0,1,16,32,3,0,3,0,28,244,170,74,563,9,554,0,108,4,0,1,9,9,0,0,0,0,94,20,639,0,4,0,false,4,4,0,0,0,0,33,9,9,0,0,12,403,81,18,2,40,262,251,0,0,0,251,362,0,506,495,11,0,0,0,4,4,0,27,0,1313,0,0,3522,8398
Andhra Pradesh,Nellore,2014,78,117,4,0,58,0,0,0,58,3,55,16,153,71,1,1,64,16,8,0,8,0,44,381,323,58,1058,362,696,0,84,0,0,10,0,0,0,0,0,0,74,255,239,32,2,0,false,2,0,2,0,0,0,45,31,28,1,2,14,295,79,14,8,32,162,205,0,62,56,87,362,0,466,440,26,0,0,0,0,0,0,17,0,1173,1,0,3037,8175
Andhra Pradesh,Prakasham,2014,75,68,7,0,50,0,0,0,50,2,48,8,50,17,0,0,11,22,5,0,5,0,23,247,195,52,617,209,408,31,124,0,0,4,0,0,0,0,0,0,120,98,261,48,1,0,false,1,0,1,0,0,0,28,18,18,0,0,8,197,24,3,7,13,150,16,0,0,0,16,402,0,502,490,12,0,0,0,0,0,0,11,0,785,0,0,2687,6367
Andhra Pradesh,Rajahmundry,2014,18,18,1,0,35,0,0,0,35,1,34,3,15,5,0,1,2,7,3,0,3,0,14,214,195,19,361,155,206,0,16,2,0,0,2,2,0,0,0,0,12,56,105,7,3,0,false,3,1,2,0,0,0,13,23,23,0,0,3,121,37,6,0,17,61,27,0,0,0,27,190,0,128,128,0,0,0,0,0,0,0,5,0,394,0,0,657,2430
Andhra Pradesh,Srikakulam,2014,30,29,4,0,40,0,0,0,40,1,39,3,33,26,1,0,5,1,0,0,0,0,8,152,131,21,236,52,184,0,17,0,0,10,0,0,0,0,0,0,7,12,153,10,1,0,false,1,1,0,0,0,0,18,67,66,1,0,3,214,26,45,0,22,121,91,0,6,6,79,298,0,284,259,25,0,0,0,1,1,0,4,0,895,0,1,2123,4727
Andhra Pradesh,Tirupathi Urban,2014,35,72,2,0,18,0,0,0,18,1,17,5,24,3,0,0,9,12,2,0,2,0,8,227,178,49,1148,482,666,0,31,0,0,0,0,0,0,0,0,0,31,11,248,0,7,0,false,7,0,5,2,0,0,11,3,3,0,0,13,60,2,2,0,5,51,21,0,0,0,21,167,0,223,221,2,0,0,0,0,0,0,0,0,429,0,0,886,3651
