state_ut,district,year,murder,rape,kidnapping_and_abduction,dacoity,robbery,arson,hurt,protection_of_civil_rights_pcr_act,prevention_of_atrocities_poa_act,other_crimes_against_scs
Andhra Pradesh,ADILABAD,2013,2,3,0,0,0,0,8,0,15,42
Andhra Pradesh,ANANTAPUR,2013,2,4,0,0,0,0,37,0,18,56
Andhra Pradesh,CHITTOOR,2013,2,3,0,0,0,1,27,0,9,55
Andhra Pradesh,CUDDAPAH,2013,2,2,0,0,0,0,78,0,22,72
Andhra Pradesh,CYBERABAD,2013,2,8,0,0,0,0,15,1,61,58
Andhra Pradesh,EAST GODAVARI,2013,3,9,0,0,0,1,26,2,28,112
Andhra Pradesh,GUNTAKAL RLY.,2013,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,GUNTUR,2013,4,4,3,0,0,0,44,0,14,75
Andhra Pradesh,GUNTUR URBAN,2013,2,3,0,0,0,0,9,0,10,30
Andhra Pradesh,HYDERABAD CITY,2013,1,3,0,0,0,0,0,0,110,2
Andhra Pradesh,KARIMNAGAR,2013,4,9,0,0,0,1,23,1,70,113
Andhra Pradesh,KHAMMAM,2013,0,5,0,0,0,0,4,0,4,34
Andhra Pradesh,KRISHNA,2013,2,1,0,0,0,0,21,0,8,45
Andhra Pradesh,KURNOOL,2013,4,2,0,3,0,0,51,0,45,129
Andhra Pradesh,MAHABOOBNAGAR,2013,5,9,0,0,0,0,39,0,15,91
Andhra Pradesh,MEDAK,2013,1,5,0,0,0,0,6,0,13,41
Andhra Pradesh,NALGONDA,2013,4,4,0,0,0,0,25,1,38,135
Andhra Pradesh,NELLORE,2013,2,3,0,0,0,1,34,0,34,89
Andhra Pradesh,NIZAMABAD,2013,1,1,0,0,1,0,7,0,10,52
Andhra Pradesh,PRAKASHAM,2013,3,1,2,0,0,0,60,0,15,76
Andhra Pradesh,RAJAHMUNDRY,2013,0,0,1,0,0,0,12,0,4,37
Andhra Pradesh,RANGA REDDY,2013,3,4,0,0,0,0,8,0,8,30
Andhra Pradesh,SECUNDERABAD RLY.,2013,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,SRIKAKULAM,2013,0,2,2,0,0,1,33,0,38,25
Andhra Pradesh,TIRUPATHI URBAN,2013,1,0,1,0,0,0,6,1,9,50
Andhra Pradesh,VIJAYAWADA CITY,2013,2,0,0,0,0,0,5,0,8,39
Andhra Pradesh,VIJAYAWADA RLY.,2013,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,VISAKHA RURAL,2013,0,2,0,0,0,0,20,0,11,26
Andhra Pradesh,VISAKHAPATNAM,2013,0,4,1,0,0,0,16,0,11,27
Andhra Pradesh,VIZIANAGARAM,2013,0,9,0,0,0,0,7,0,25,62
Andhra Pradesh,WARANGAL,2013,0,1,0,0,0,0,16,0,10,0
Andhra Pradesh,WARANGAL URBAN,2013,0,2,0,0,0,0,1,0,14,21
Andhra Pradesh,WEST GODAVARI,2013,1,11,4,0,0,0,21,0,18,96
Andhra Pradesh,TOTAL,2013,53,114,14,3,1,5,659,6,695,1720
Arunachal Pradesh,ANJAW,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,CHANGLANG,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,DIBANG VALLEY,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,K/KUMEY,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,KAMENG EAST,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,KAMENG WEST,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,LOHIT,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,LONGDING,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,PAPUM PARE,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,RURAL,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,SIANG EAST,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,SIANG UPPER,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,SIANG WEST,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,SUBANSIRI LOWER,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,SUBANSIRI UPPER,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,TAWANG,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,TIRAP,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,UPPER DIBANG VALLEY,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,TOTAL,2013,0,0,0,0,0,0,0,0,0,0
Assam,BAKSA,2013,0,0,0,0,0,0,0,0,0,0
Assam,BARPETA,2013,0,0,0,0,0,0,0,0,0,0
Assam,BIEO,2013,0,0,0,0,0,0,0,0,0,0
Assam,BONGAIGAON,2013,0,0,0,0,0,0,0,0,0,0
Assam,C.I.D.,2013,0,0,0,0,0,0,0,0,0,0
Assam,CACHAR,2013,0,0,0,0,0,0,0,0,1,1
Assam,CHIRANG,2013,0,0,0,0,0,0,0,0,0,0
Assam,DARRANG,2013,0,0,0,0,0,0,0,0,0,0
Assam,DHEMAJI,2013,0,0,0,0,0,0,0,0,0,0
Assam,DHUBRI,2013,0,0,0,0,0,0,0,0,0,0
Assam,DIBRUGARH,2013,0,0,0,0,0,0,0,0,0,0
Assam,G.R.P.,2013,0,0,0,0,0,0,0,0,0,0
Assam,GOALPARA,2013,0,0,0,0,0,0,0,0,0,0
Assam,GOLAGHAT,2013,0,0,0,0,0,0,0,0,0,0
Assam,GUWAHATI CITY,2013,0,0,0,0,0,0,0,0,0,0
Assam,HAILAKANDI,2013,0,0,0,0,0,0,0,0,0,0
Assam,HAMREN,2013,0,0,0,0,0,0,0,0,0,0
Assam,JORHAT,2013,0,0,0,0,0,0,0,0,2,2
Assam,KAMRUP,2013,0,0,0,0,0,0,0,0,0,0
Assam,KARBI ANGLONG,2013,0,0,0,0,0,0,0,0,0,0
Assam,KARIMGANJ,2013,0,0,0,0,0,0,0,0,0,0
Assam,KOKRAJHAR,2013,0,0,0,0,0,0,0,0,0,0
Assam,LAKHIMPUR,2013,0,0,0,0,0,0,0,0,0,0
Assam,MORIGAON,2013,0,0,0,0,0,0,0,0,0,0
Assam,N.C.HILLS,2013,0,0,0,0,0,0,0,0,0,0
Assam,NAGAON,2013,0,0,0,0,0,0,0,0,1,1
Assam,NALBARI,2013,0,0,0,0,0,0,0,0,0,0
Assam,R.P.O.,2013,0,0,0,0,0,0,0,0,0,0
