states_uts,district,year,protection_of_civil_rights_act_1955,poa_murder,poa_attempt_to_commit_murder,poa_rape,poa_attempt_to_commit_rape,poa_assault_on_women_with_intent_to_outrage_her_modesty,poa_sexual_harassment,poa_assault_on_women_with_intent_to_disrobe,poa_voyeurism,poa_stalking,poa_other_sexual_harassment,poa_insult_to_the_modesty_of_women,poa_kidnapping_abduction_grandtotal,poa_kidnaping_abduction_total,poa_kidnaping_abduction_in_order_to_murder,poa_kidnapping_for_ransom,poa_kidnapping_abduction_of_women_to_compel_her_for_marriage,poa_other_kidnapping,poa_dacoity,poa_dacoity_with_murder,poa_other_dacoity,poa_robbery,poa_arson,poa_grievous_hurt,poa_hurt,poa_acid_attack,poa_attempt_to_acid_attack,poa_riots,poa_other_ipc_crimes,poa_sc_st_prevention_of_atrocities_act_only,total_of_sc_st_prevention_of_atrocities_act_1989,ipc_murder,ipc_attempt_to_commit_murder,ipc_rape,ipc_attempt_to_commit_rape,ipc_assault_on_women_with_intent_to_outrage_her_modesty,ipc_sexual_harassment,ipc_assault_on_women_with_intent_to_disrobe,ipc_voyeurism,ipc_stalking,ipc_other_sexual_harassment,ipc_insult_to_the_modesty_of_women,ipc_kidnapping_abduction,ipc_kidnaping_abduction,ipc_kidnaping_abduction_in_order_to_murder,ipc_kidnapping_for_ransom,ipc_kidnapping_abduction_of_women_to_compel_her_for_marriage,ipc_other_kidnapping,ipc_dacoity,ipc_dacoity_with_murder,ipc_other_dacoity,ipc_robbery,ipc_arson,ipc_grievous_hurt,ipc_hurt,ipc_acid_attack,ipc_attempt_to_acid_attack,ipc_riots,ipc_other_ipc_crimes,total_ipc_crimes_against_scs,manual_scavengers_and_construction_of_dry_latrines_p_act_1993,other_sll_crime_against_scs,total_crimes_against_scs
Andhra Pradesh,Anantapur,2014,0,3,0,1,0,5,0,0,0,0,5,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,145,16,170,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,170
Andhra Pradesh,Chittoor,2014,0,2,3,1,0,5,0,0,0,0,5,1,1,0,0,false,0,1,0,false,0,0,3,0,0,false,0,7,88,7,118,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,118
Andhra Pradesh,Cuddapah,2014,0,4,5,5,1,3,0,0,0,0,3,0,2,0,0,false,0,2,0,false,0,0,0,0,0,false,0,0,107,135,262,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,262
Andhra Pradesh,East Godavari,2014,6,0,2,4,0,22,8,3,0,1,10,1,0,0,0,false,0,0,0,false,0,0,0,25,25,false,0,0,98,19,171,0,0,0,0,0,0,0,0,0,0,1,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,1,false,0,178
Andhra Pradesh,Guntakal Railway,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,0
Andhra Pradesh,Guntur,2014,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,2,0,0,false,0,5,108,12,133,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,133
Andhra Pradesh,Guntur Urban,2014,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,1,0,0,false,0,0,45,4,53,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,53
Andhra Pradesh,Krishna,2014,0,1,1,5,0,8,1,2,0,0,5,2,1,0,0,false,1,0,0,false,0,0,0,0,0,false,0,0,43,13,74,1,3,6,3,15,5,5,0,3,2,6,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,151,185,false,0,259
Andhra Pradesh,Kurnool,2014,0,4,0,4,0,11,0,0,0,0,11,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,9,116,91,235,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,235
Andhra Pradesh,Nellore,2014,0,5,4,7,1,8,0,1,1,0,6,8,5,0,0,false,4,1,0,false,0,1,1,1,1,false,0,2,80,31,154,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,154
Andhra Pradesh,Prakasham,2014,0,6,2,3,0,10,3,0,0,0,7,2,1,0,0,false,0,1,0,false,0,0,0,3,3,false,0,4,46,16,93,0,10,2,2,22,0,0,0,0,22,3,4,0,false,false,0,4,2,false,2,3,0,3,3,false,false,7,411,469,false,0,562
Andhra Pradesh,Rajahmundry,2014,0,1,0,3,0,1,0,0,0,0,1,0,2,1,0,false,0,1,0,false,0,0,0,0,0,false,0,0,34,7,48,2,2,6,0,20,1,1,0,2,16,2,5,1,false,true,0,3,0,false,0,2,3,5,5,false,false,0,66,113,false,6,167
Andhra Pradesh,Srikakulam,2014,0,0,1,1,0,4,2,0,0,0,2,4,0,0,0,false,0,0,0,false,0,0,0,2,2,false,0,0,51,33,96,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,96
Andhra Pradesh,Tirupathi Urban,2014,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,10
Andhra Pradesh,Vijayawada City,2014,1,0,1,2,0,4,0,1,0,0,3,5,0,0,0,false,0,0,0,false,0,0,0,3,3,false,0,0,25,6,46,5,7,16,0,60,13,2,3,16,26,33,6,1,false,false,5,0,0,false,0,4,6,3,3,false,false,2,817,959,false,6,1012
Andhra Pradesh,Vijayawada Railway,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,1,3,false,0,3
Andhra Pradesh,Visakha Rural,2014,0,0,0,1,0,5,0,0,0,0,5,1,0,0,0,false,0,0,0,false,0,0,1,0,0,false,0,0,24,69,101,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,101
Andhra Pradesh,Visakhapatnam,2014,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,8,65,77,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,77
Andhra Pradesh,Vizianagaram,2014,1,0,1,6,0,12,0,0,0,0,12,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,64,26,109,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,110
Andhra Pradesh,West Godavari,2014,1,2,0,9,0,18,3,7,0,0,8,0,0,0,0,false,0,0,0,false,0,0,1,0,0,false,0,1,109,14,154,2,4,15,2,28,3,1,4,7,13,11,4,2,false,false,1,1,0,false,0,0,1,1,1,false,false,4,185,257,false,2,414
Andhra Pradesh,Total,2014,9,34,21,61,2,116,17,14,1,1,83,25,12,1,0,false,5,6,0,false,0,1,9,34,34,false,0,28,1191,570,2104,10,26,45,7,147,22,9,7,28,81,56,19,4,false,true,6,8,2,false,2,9,10,12,12,false,false,13,1631,1987,false,14,4114
Arunachal Pradesh,Anjaw,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,0
Arunachal Pradesh,Changlang,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,0
Arunachal Pradesh,Crime Branch,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,0
Arunachal Pradesh,Dibang Valley,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,0
Arunachal Pradesh,Kameng East,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,0
Arunachal Pradesh,Kameng West,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,0
Arunachal Pradesh,Kukung Kumey,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,0
Arunachal Pradesh,Lohit,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,0
Arunachal Pradesh,Longding,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,0
Arunachal Pradesh,Lower Dibang Valley,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,0
Arunachal Pradesh,Papum Pare City,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,0
Arunachal Pradesh,Papum Pare Rural,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,0
Arunachal Pradesh,Siang East,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,0
Arunachal Pradesh,Siang Upper,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,0
Arunachal Pradesh,Siang West,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,0
Arunachal Pradesh,Subansiri Lower,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,0
Arunachal Pradesh,Subansiri Upper,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,0
Arunachal Pradesh,Tawang,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,0
