state_ut,district,year,murder,rape,kidnapping_abduction,dacoity,robbery,arson,hurt,protection_of_civil_rights_pcr_act,prevention_of_atrocities_poa_act,other_crimes_against_sts
ANDHRA PRADESH,ADILABAD,2001,0,1,2,0,0,0,2,0,0,13
ANDHRA PRADESH,ANANTAPUR,2001,0,0,0,0,0,0,7,0,1,6
ANDHRA PRADESH,CHITTOOR,2001,0,0,0,0,0,0,2,0,0,0
ANDHRA PRADESH,CUDDAPAH,2001,0,0,0,0,0,0,2,0,2,0
ANDHRA PRADESH,EAST GODAVARI,2001,0,0,0,0,0,0,0,0,0,14
ANDHRA PRADESH,GUNTAKAL RLY.,2001,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,2001,0,2,1,0,0,0,10,0,3,19
ANDHRA PRADESH,HYDERABAD CITY,2001,0,0,0,0,0,0,0,0,0,2
ANDHRA PRADESH,KARIMNAGAR,2001,0,0,0,0,0,0,15,0,0,2
ANDHRA PRADESH,KHAMMAM,2001,1,4,0,0,0,0,8,0,9,20
ANDHRA PRADESH,KRISHNA,2001,0,0,1,0,0,0,6,0,24,18
ANDHRA PRADESH,KURNOOL,2001,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MAHABOOBNAGAR,2001,1,1,0,0,0,0,6,0,11,0
ANDHRA PRADESH,MEDAK,2001,0,1,0,0,0,1,0,0,4,3
ANDHRA PRADESH,NALGONDA,2001,1,4,0,0,0,0,1,0,12,0
ANDHRA PRADESH,NELLORE,2001,1,1,0,0,0,0,3,0,11,12
ANDHRA PRADESH,NIZAMABAD,2001,0,0,0,0,0,0,1,0,0,12
ANDHRA PRADESH,PRAKASHAM,2001,0,0,0,0,0,0,4,0,8,0
ANDHRA PRADESH,RANGA REDDY,2001,0,2,0,0,0,0,4,1,10,33
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,SRIKAKULAM,2001,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,VIJAYAWADA,2001,0,0,1,0,0,0,31,4,1,14
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,VISAKHA RURAL,2001,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,VISAKHAPATNAM,2001,0,0,0,0,0,0,0,0,2,0
ANDHRA PRADESH,VIZIANAGARAM,2001,0,0,0,0,0,0,0,21,3,5
ANDHRA PRADESH,WARANGAL,2001,0,5,0,0,0,0,3,0,25,45
ANDHRA PRADESH,WEST GODAVARI,2001,0,0,0,0,0,0,1,0,3,2
ANDHRA PRADESH,TOTAL,2001,4,21,5,0,0,1,106,26,129,220
ARUNACHAL PRADESH,CHANGLANG,2001,0,0,0,0,0,0,4,0,0,1
ARUNACHAL PRADESH,DIBANG VALLEY,2001,0,0,2,0,0,0,2,0,0,4
ARUNACHAL PRADESH,KAMENG EAST,2001,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,KAMENG WEST,2001,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,LOHIT,2001,1,0,1,0,0,0,0,0,0,6
ARUNACHAL PRADESH,PAPUM PARE,2001,1,1,1,0,0,0,6,0,0,17
ARUNACHAL PRADESH,SIANG EAST,2001,2,2,1,0,0,0,0,0,0,4
ARUNACHAL PRADESH,SIANG UPPER,2001,0,1,0,0,0,1,6,0,0,4
ARUNACHAL PRADESH,SIANG WEST,2001,0,1,2,0,0,0,0,0,0,0
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,TAWANG,2001,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,TIRAP,2001,0,0,0,0,0,0,0,0,0,1
ARUNACHAL PRADESH,TOTAL,2001,4,5,7,0,0,1,18,0,0,37
ASSAM,BARPETA,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,BONGAIGAON,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,C.I.D.,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,CACHAR,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,DARRANG,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,DHEMAJI,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,DHUBRI,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,DIBRUGARH,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,G.R.P.,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,GOALPARA,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,GOLAGHAT,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,GUWAHATI CITY,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,HAILAKANDI,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,JORHAT,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,KAMRUP,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,KARBI ANGLONG,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,KARIMGANJ,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,KOKRAJHAR,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,LAKHIMPUR,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,MORIGAON,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,N.C. HILLS,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,NAGAON,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,NALBARI,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,R.P.O.,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,SIBSAGAR,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,SONITPUR,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,TINSUKIA,2001,0,0,0,0,0,0,0,0,0,0
ASSAM,TOTAL,2001,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2001,1,1,1,0,0,0,0,0,0,1
BIHAR,ARWAL,2001,0,0,0,0,0,0,0,0,0,0
BIHAR,AURANGABAD,2001,0,0,0,0,0,0,0,0,0,9
BIHAR,BAGAHA,2001,0,0,0,0,0,0,0,6,0,0
BIHAR,BANKA,2001,0,0,0,0,0,0,0,0,0,0
BIHAR,BEGUSARAI,2001,0,0,0,0,0,0,0,0,0,0
BIHAR,BETTIAH,2001,0,0,0,0,0,0,0,0,0,0
BIHAR,BHABHUA,2001,0,0,0,0,0,0,0,0,0,3
BIHAR,BHAGALPUR,2001,0,0,0,0,0,0,0,0,0,0
BIHAR,BHOJPUR,2001,0,0,0,0,0,0,0,0,0,0
BIHAR,BUXAR,2001,0,0,0,0,0,0,0,0,0,0
BIHAR,DARBHANGA,2001,0,0,0,0,0,0,0,0,0,0
BIHAR,GAYA,2001,0,0,0,0,0,0,0,0,0,0
BIHAR,GOPALGANJ,2001,0,0,0,0,0,0,0,0,0,0
BIHAR,JAMALPUR RLY.,2001,0,0,0,0,0,0,0,0,0,0
