state_ut,district,year,murder,rape,kidnapping_abduction,dacoity,robbery,arson,hurt,protection_of_civil_rights_pcr_act,prevention_of_atrocities_poa_act,other_crimes_against_sts
Andhra Pradesh,ADILABAD,2013,0,7,0,0,0,0,2,0,6,25
Andhra Pradesh,ANANTAPUR,2013,0,0,0,0,0,0,3,0,1,9
Andhra Pradesh,CHITTOOR,2013,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,CUDDAPAH,2013,0,1,0,0,0,0,17,0,2,10
Andhra Pradesh,CYBERABAD,2013,1,2,0,0,0,0,1,0,19,18
Andhra Pradesh,EAST GODAVARI,2013,0,3,0,0,0,0,0,0,3,15
Andhra Pradesh,GUNTAKAL RLY.,2013,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,GUNTUR,2013,1,0,0,0,0,0,3,0,2,40
Andhra Pradesh,GUNTUR URBAN,2013,0,0,0,0,0,1,3,0,0,10
Andhra Pradesh,HYDERABAD CITY,2013,0,0,0,0,0,0,0,0,6,0
Andhra Pradesh,KARIMNAGAR,2013,0,2,0,0,0,0,2,0,7,30
Andhra Pradesh,KHAMMAM,2013,0,5,0,0,0,0,6,0,6,27
Andhra Pradesh,KRISHNA,2013,1,0,0,0,0,0,1,0,2,10
Andhra Pradesh,KURNOOL,2013,0,0,0,0,0,0,1,0,0,1
Andhra Pradesh,MAHABOOBNAGAR,2013,3,1,0,0,0,0,10,0,6,41
Andhra Pradesh,MEDAK,2013,0,3,0,0,0,0,1,0,3,10
Andhra Pradesh,NALGONDA,2013,1,4,0,0,0,0,4,0,7,32
Andhra Pradesh,NELLORE,2013,1,2,0,0,0,0,11,0,15,29
Andhra Pradesh,NIZAMABAD,2013,1,4,0,0,0,0,1,0,3,12
Andhra Pradesh,PRAKASHAM,2013,0,0,0,0,0,0,1,0,2,1
Andhra Pradesh,RAJAHMUNDRY,2013,0,0,0,0,0,0,0,0,1,0
Andhra Pradesh,RANGA REDDY,2013,0,0,0,0,0,0,1,0,2,12
Andhra Pradesh,SECUNDERABAD RLY.,2013,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,SRIKAKULAM,2013,0,0,0,0,0,0,0,0,4,5
Andhra Pradesh,TIRUPATHI URBAN,2013,0,0,0,0,0,0,4,0,4,2
Andhra Pradesh,VIJAYAWADA CITY,2013,0,0,1,0,0,0,1,0,1,4
Andhra Pradesh,VIJAYAWADA RLY.,2013,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,VISAKHA RURAL,2013,0,0,0,0,0,0,2,0,4,6
Andhra Pradesh,VISAKHAPATNAM,2013,0,0,0,0,0,0,1,0,1,0
Andhra Pradesh,VIZIANAGARAM,2013,0,0,0,0,0,0,0,0,6,6
Andhra Pradesh,WARANGAL,2013,0,2,0,0,0,0,4,0,6,27
Andhra Pradesh,WARANGAL URBAN,2013,0,1,0,0,0,0,1,0,6,7
Andhra Pradesh,WEST GODAVARI,2013,0,0,1,0,0,0,1,0,1,26
Andhra Pradesh,ZZ TOTAL,2013,9,37,2,0,0,1,82,0,126,415
Arunachal Pradesh,ANJAW,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,CHANGLANG,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,DIBANG VALLEY,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,K/KUMEY,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,KAMENG EAST,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,KAMENG WEST,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,LOHIT,2013,0,1,0,0,0,0,0,0,0,0
Arunachal Pradesh,LONGDING,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,PAPUM PARE,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,RURAL,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,SIANG EAST,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,SIANG UPPER,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,SIANG WEST,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,SUBANSIRI LOWER,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,SUBANSIRI UPPER,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,TAWANG,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,TIRAP,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,UPPER DIBANG VALLEY,2013,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,ZZ TOTAL,2013,0,1,0,0,0,0,0,0,0,0
Assam,BAKSA,2013,0,0,0,0,0,0,0,0,0,0
Assam,BARPETA,2013,0,0,0,0,0,0,0,0,0,0
Assam,BIEO,2013,0,0,0,0,0,0,0,0,0,0
Assam,BONGAIGAON,2013,0,0,0,0,0,0,0,0,0,0
Assam,C.I.D.,2013,0,0,0,0,0,0,0,0,0,0
Assam,CACHAR,2013,0,0,0,0,0,0,0,0,0,0
Assam,CHIRANG,2013,0,0,0,0,0,0,0,0,0,0
Assam,DARRANG,2013,0,0,0,0,0,0,0,0,0,0
Assam,DHEMAJI,2013,0,0,0,0,0,0,0,0,0,0
Assam,DHUBRI,2013,0,0,0,0,0,0,0,0,0,0
Assam,DIBRUGARH,2013,0,0,0,0,0,0,0,0,0,0
Assam,G.R.P.,2013,0,0,0,0,0,0,0,0,0,0
Assam,GOALPARA,2013,0,0,0,0,0,0,0,0,0,0
Assam,GOLAGHAT,2013,0,0,0,0,0,0,0,0,0,0
Assam,GUWAHATI CITY,2013,0,0,0,0,0,0,0,0,0,0
Assam,HAILAKANDI,2013,0,0,0,0,0,0,0,0,0,0
Assam,HAMREN,2013,0,0,0,0,0,0,0,0,0,0
Assam,JORHAT,2013,0,0,0,0,0,0,0,0,0,0
Assam,KAMRUP,2013,0,0,0,0,0,0,0,0,0,0
Assam,KARBI ANGLONG,2013,0,0,0,0,0,0,0,0,0,0
Assam,KARIMGANJ,2013,0,0,0,0,0,0,0,0,0,0
Assam,KOKRAJHAR,2013,0,0,0,0,0,0,0,0,0,0
Assam,LAKHIMPUR,2013,0,0,0,0,0,0,0,0,0,0
Assam,MORIGAON,2013,0,0,0,0,0,0,0,0,0,0
Assam,N.C.HILLS,2013,0,0,0,0,0,0,0,0,0,0
Assam,NAGAON,2013,0,0,0,0,0,0,0,0,0,0
Assam,NALBARI,2013,0,0,0,0,0,0,0,0,0,0
Assam,R.P.O.,2013,0,0,0,0,0,0,0,0,0,0
Assam,SIBSAGAR,2013,0,0,0,0,0,0,0,0,0,0
Assam,SONITPUR,2013,0,0,0,0,0,0,0,0,0,0
Assam,STF,2013,0,0,0,0,0,0,0,0,0,0
Assam,TINSUKIA,2013,0,0,0,0,0,0,0,0,0,0
Assam,UDALGURI,2013,0,0,0,0,0,0,0,0,0,0
Assam,ZZ TOTAL,2013,0,0,0,0,0,0,0,0,0,0
Bihar,ARARIA,2013,0,0,0,0,0,0,0,0,4,0
Bihar,ARWAL,2013,0,0,0,0,0,0,0,0,0,0
Bihar,AURANGABAD,2013,0,0,0,0,0,0,0,0,0,0
Bihar,BAGAHA,2013,0,0,0,0,0,0,0,0,0,0
Bihar,BANKA,2013,0,0,0,0,0,0,0,0,1,0
Bihar,BEGUSARAI,2013,0,0,0,0,0,0,0,0,0,0
Bihar,BETTIAH,2013,0,0,0,0,0,0,0,0,0,0
Bihar,BHABHUA,2013,0,0,0,0,0,0,4,0,6,0
Bihar,BHAGALPUR,2013,0,0,0,0,0,0,1,0,1,0
Bihar,BHOJPUR,2013,0,0,0,0,0,0,0,0,0,0
Bihar,BUXAR,2013,0,0,0,0,0,0,0,0,0,0
Bihar,DARBHANGA,2013,0,0,0,0,0,0,0,0,0,0
Bihar,GAYA,2013,0,0,0,0,0,0,0,0,0,0
Bihar,GOPALGANJ,2013,0,0,0,0,0,0,0,0,4,0
Bihar,JAMALPUR RLY.,2013,0,0,0,0,0,0,0,0,0,0
Bihar,JAMUI,2013,0,0,0,0,0,0,0,0,0,0
Bihar,JEHANABAD,2013,0,0,0,0,0,0,0,0,0,0
Bihar,KATIHAR,2013,0,0,0,0,0,0,0,0,13,0
Bihar,KATIHAR RLY.,2013,0,0,0,0,0,0,0,0,0,0
Bihar,KHAGARIA,2013,0,0,0,0,0,0,0,0,0,0
Bihar,KISHANGANJ,2013,0,0,0,0,0,0,0,0,18,0
Bihar,LAKHISARAI,2013,0,0,0,0,0,0,0,0,0,0
Bihar,MADHEPURA,2013,0,0,0,0,0,0,0,0,0,0
Bihar,MADHUBANI,2013,0,0,1,0,0,0,0,0,0,0
Bihar,MOTIHARI,2013,0,0,0,0,0,0,0,0,0,0
Bihar,MUNGER,2013,0,0,0,0,0,0,0,0,0,0
Bihar,MUZAFFARPUR,2013,0,0,0,0,0,0,0,0,0,0
Bihar,MUZAFFARPUR RLY.,2013,0,0,0,0,0,0,0,0,0,0
Bihar,NALANDA,2013,0,0,0,0,0,0,0,0,0,0
Bihar,NAUGACHIA,2013,2,0,0,0,0,0,0,0,0,0
Bihar,NAWADAH,2013,0,0,0,0,0,0,0,0,0,0
Bihar,PATNA,2013,0,0,0,0,0,0,0,0,0,0
Bihar,PATNA RLY.,2013,0,0,0,0,0,0,0,0,0,0
Bihar,PURNEA,2013,0,0,0,0,0,0,10,0,10,0
Bihar,ROHTAS,2013,0,0,0,0,0,0,0,0,9,0
Bihar,SAHARSA,2013,0,0,0,0,0,0,0,0,0,0
Bihar,SAMASTIPUR,2013,0,0,0,0,0,0,0,0,0,0
Bihar,SARAN,2013,0,0,0,0,0,0,0,0,0,0
Bihar,SHEIKHPURA,2013,0,0,0,0,0,0,0,0,0,0
Bihar,SHEOHAR,2013,0,0,0,0,0,0,0,0,0,5
Bihar,SITAMARHI,2013,0,0,0,0,0,0,0,0,0,0
Bihar,SIWAN,2013,0,0,0,0,0,0,0,0,2,0
Bihar,SUPAUL,2013,0,0,0,0,0,0,0,0,0,0
Bihar,VAISHALI,2013,0,0,0,0,0,0,0,0,0,0
Bihar,ZZ TOTAL,2013,2,0,1,0,0,0,15,0,68,5
Chhattisgarh,BALOD,2013,1,0,0,0,0,0,0,0,0,1
Chhattisgarh,BALODA BAZAR,2013,0,1,0,0,0,0,7,0,0,8
Chhattisgarh,BALRAMPUR,2013,0,8,1,0,0,0,3,0,0,10
Chhattisgarh,BEMETARA,2013,0,2,0,0,0,0,0,0,0,0
Chhattisgarh,BILASPUR,2013,0,6,0,0,0,0,5,0,0,13
Chhattisgarh,BIZAPUR,2013,0,1,0,0,0,0,0,0,0,1
Chhattisgarh,DANTEWARA,2013,0,2,0,0,0,0,1,0,0,1
Chhattisgarh,DHAMTARI,2013,0,5,0,0,0,0,1,0,0,1
Chhattisgarh,DURG,2013,0,1,0,0,0,0,0,0,0,4
Chhattisgarh,GARIYABAND,2013,0,3,0,0,0,0,1,0,0,7
Chhattisgarh,GRP RAIPUR,2013,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,JAGDALPUR,2013,0,7,1,0,0,0,0,0,0,3
Chhattisgarh,JANJGIR,2013,0,1,0,0,0,0,12,0,0,9
Chhattisgarh,JASHPUR,2013,2,17,1,0,0,0,6,0,0,12
Chhattisgarh,KABIRDHAM,2013,1,1,0,0,0,0,1,0,0,2
Chhattisgarh,KANKER,2013,0,7,0,0,0,0,0,0,0,5
Chhattisgarh,KONDAGAON,2013,0,0,0,0,0,0,0,0,0,2
Chhattisgarh,KORBA,2013,0,7,1,0,0,0,6,0,0,0
Chhattisgarh,KORIYA,2013,1,7,0,0,0,0,6,0,0,14
Chhattisgarh,MAHASAMUND,2013,0,1,0,0,0,0,0,0,0,2
Chhattisgarh,MUNGELI,2013,0,0,0,0,0,0,0,0,0,1
Chhattisgarh,NARAYANPUR,2013,0,1,0,0,0,0,0,0,0,2
Chhattisgarh,RAIGARH,2013,2,9,0,0,0,0,12,0,0,9
Chhattisgarh,RAIPUR,2013,0,0,0,0,0,0,0,0,0,4
Chhattisgarh,RAJNANDGAON,2013,0,4,0,0,0,0,0,0,0,4
