state_ut,district,year,murder,rape,kidnapping_and_abduction,foeticide,abetment_of_suicide,exposure_and_abandonment,procuration_of_minor_girls,buying_of_girls_for_prostitution,selling_of_girls_for_prostitution,prohibition_of_child_marriage_act,other_crimes,total
ANDHRA PRADESH,ADILABAD,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2001,19,12,29,0,6,0,0,0,0,0,0,66
ANDHRA PRADESH,CHITTOOR,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTAKAL RLY.,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,HYDERABAD CITY,2001,2,0,0,0,0,19,2,0,0,2,0,25
ANDHRA PRADESH,KARIMNAGAR,2001,1,4,0,0,0,3,0,0,0,0,1,9
ANDHRA PRADESH,KHAMMAM,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,2001,1,11,2,0,0,0,4,0,0,0,0,18
ANDHRA PRADESH,KURNOOL,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MAHABOOBNAGAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MEDAK,2001,1,18,12,0,0,0,3,0,0,0,0,34
ANDHRA PRADESH,NALGONDA,2001,0,16,4,0,0,0,0,0,0,0,0,20
ANDHRA PRADESH,NELLORE,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NIZAMABAD,2001,3,3,6,0,1,0,0,0,0,2,39,54
ANDHRA PRADESH,PRAKASHAM,2001,0,3,0,0,0,0,0,0,0,0,0,3
ANDHRA PRADESH,RANGA REDDY,2001,2,3,0,0,0,0,1,0,0,2,1,9
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,SRIKAKULAM,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,VIJAYAWADA,2001,5,8,4,0,0,0,0,0,0,0,6,23
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,0,0,0,0,0,0,0,0,0,0,0,0
