state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
Andhra Pradesh,Abetment of Suicide,0,25,0,7,18,26,44,0,44,0,0,0
Arunachal Pradesh,Abetment of Suicide,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Abetment of Suicide,2,0,2,0,0,4,4,0,0,4,0,4
Bihar,Abetment of Suicide,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,Abetment of Suicide,0,7,0,0,7,18,25,0,19,6,3,3
Goa,Abetment of Suicide,1,1,0,1,1,4,5,0,5,0,0,0
Gujarat,Abetment of Suicide,0,0,0,0,0,8,8,0,8,0,0,0
Haryana,Abetment of Suicide,0,4,0,0,4,3,7,0,7,0,0,0
Himachal Pradesh,Abetment of Suicide,0,1,0,1,0,3,3,0,0,3,0,3
Jammu & Kashmir,Abetment of Suicide,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,Abetment of Suicide,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,Abetment of Suicide,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,Abetment of Suicide,3,8,0,8,3,8,11,0,11,0,0,0
Madhya Pradesh,Abetment of Suicide,0,40,0,0,40,50,90,0,66,24,8,16
Maharashtra,Abetment of Suicide,8,40,0,12,36,103,139,0,133,6,1,5
Manipur,Abetment of Suicide,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,Abetment of Suicide,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,Abetment of Suicide,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,Abetment of Suicide,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,Abetment of Suicide,0,4,0,0,4,3,7,0,6,1,0,1
Punjab,Abetment of Suicide,0,0,0,0,0,3,3,0,0,3,0,3
Rajasthan,Abetment of Suicide,0,1,0,0,1,0,1,0,1,0,0,0
Sikkim,Abetment of Suicide,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Abetment of Suicide,5,1,0,0,6,1,7,0,7,0,0,0
Tripura,Abetment of Suicide,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Abetment of Suicide,8,104,30,25,57,109,166,0,130,36,17,19
Uttarakhand,Abetment of Suicide,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,Abetment of Suicide,1,5,0,5,1,13,14,0,14,0,0,0
Total (State),Abetment of Suicide,28,241,32,59,178,356,534,0,451,83,29,54
A&N Islands,Abetment of Suicide,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,Abetment of Suicide,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,Abetment of Suicide,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Abetment of Suicide,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Abetment of Suicide,0,1,0,0,1,2,3,0,3,0,0,0
Lakshadweep,Abetment of Suicide,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Abetment of Suicide,0,0,0,0,0,1,1,0,1,0,0,0
Total (UTs),Abetment of Suicide,0,1,0,0,1,3,4,0,4,0,0,0
Total (All-India),Abetment of Suicide,28,242,32,59,179,359,538,0,455,83,29,54
Andhra Pradesh,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,Buying of Girls for Prostitution,2,0,0,2,0,4,4,0,4,0,0,0
Chhattisgarh,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Goa,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,Buying of Girls for Prostitution,0,0,0,0,0,5,5,0,3,2,0,2
Himachal Pradesh,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,Buying of Girls for Prostitution,0,2,0,0,2,0,2,0,0,2,0,2
Karnataka,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,Buying of Girls for Prostitution,0,0,0,0,0,5,5,0,5,0,0,0
Maharashtra,Buying of Girls for Prostitution,9,2,0,0,11,222,233,0,233,0,0,0
Manipur,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,Buying of Girls for Prostitution,0,4,0,0,4,1,5,0,5,0,0,0
Sikkim,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Buying of Girls for Prostitution,0,0,0,0,0,4,4,0,4,0,0,0
Uttarakhand,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,Buying of Girls for Prostitution,42,1,2,30,11,11,22,0,16,6,0,6
Total (State),Buying of Girls for Prostitution,53,9,2,32,28,252,280,0,270,10,0,10
A&N Islands,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Buying of Girls for Prostitution,12,0,0,12,0,0,0,0,0,0,0,0
Lakshadweep,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Buying of Girls for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Buying of Girls for Prostitution,12,0,0,12,0,0,0,0,0,0,0,0
Total (All-India),Buying of Girls for Prostitution,65,9,2,44,28,252,280,0,270,10,0,10
Andhra Pradesh,Exposure and Abandonment,23,15,1,21,16,11,27,0,20,7,0,7
Arunachal Pradesh,Exposure and Abandonment,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Exposure and Abandonment,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,Exposure and Abandonment,0,2,0,2,0,4,4,0,3,1,0,1
Chhattisgarh,Exposure and Abandonment,0,1,0,0,1,25,26,0,26,0,0,0
Goa,Exposure and Abandonment,1,1,0,2,0,2,2,0,2,0,0,0
Gujarat,Exposure and Abandonment,6,7,0,0,13,98,111,0,107,4,1,3
Haryana,Exposure and Abandonment,0,1,0,0,1,14,15,0,12,3,0,3
Himachal Pradesh,Exposure and Abandonment,0,1,0,0,1,2,3,1,2,0,0,0
Jammu & Kashmir,Exposure and Abandonment,0,1,0,0,1,1,2,0,1,1,0,1
Jharkhand,Exposure and Abandonment,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,Exposure and Abandonment,0,0,0,0,0,4,4,0,3,1,0,1
Kerala,Exposure and Abandonment,1,0,0,0,1,20,21,0,15,6,1,5
Madhya Pradesh,Exposure and Abandonment,4,10,0,0,14,37,51,0,49,2,0,2
Maharashtra,Exposure and Abandonment,26,62,0,43,45,582,627,0,585,42,0,42
Manipur,Exposure and Abandonment,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,Exposure and Abandonment,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,Exposure and Abandonment,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,Exposure and Abandonment,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,Exposure and Abandonment,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,Exposure and Abandonment,3,0,0,3,0,0,0,0,0,0,0,0
Rajasthan,Exposure and Abandonment,0,16,0,0,16,45,61,0,54,7,5,2
Sikkim,Exposure and Abandonment,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Exposure and Abandonment,1,1,0,2,0,1,1,0,1,0,0,0
Tripura,Exposure and Abandonment,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Exposure and Abandonment,0,2,0,0,2,2,4,0,4,0,0,0
Uttarakhand,Exposure and Abandonment,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,Exposure and Abandonment,0,0,0,0,0,5,5,0,5,0,0,0
Total (State),Exposure and Abandonment,65,120,1,73,111,853,964,1,889,74,7,67
A&N Islands,Exposure and Abandonment,0,0,0,0,0,2,2,0,2,0,0,0
Chandigarh,Exposure and Abandonment,0,0,0,0,0,2,2,0,2,0,0,0
D&N Haveli,Exposure and Abandonment,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Exposure and Abandonment,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Exposure and Abandonment,0,2,0,0,2,13,15,0,12,3,3,0
Lakshadweep,Exposure and Abandonment,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Exposure and Abandonment,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Exposure and Abandonment,0,2,0,0,2,17,19,0,16,3,3,0
Total (All-India),Exposure and Abandonment,65,122,1,73,113,870,983,1,905,77,10,67
Andhra Pradesh,Foeticide,0,2,0,0,2,3,5,0,4,1,0,1
Arunachal Pradesh,Foeticide,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Foeticide,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,Foeticide,0,2,0,2,0,11,11,0,11,0,0,0
Chhattisgarh,Foeticide,0,9,0,0,9,7,16,0,12,4,2,2
Goa,Foeticide,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,Foeticide,0,0,0,0,0,4,4,0,3,1,0,1
Haryana,Foeticide,0,6,0,0,6,0,6,0,6,0,0,0
Himachal Pradesh,Foeticide,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Foeticide,0,0,0,0,0,1,1,0,1,0,0,0
Jharkhand,Foeticide,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,Foeticide,0,0,0,0,0,1,1,0,1,0,0,0
Kerala,Foeticide,0,0,0,0,0,1,1,0,1,0,0,0
Madhya Pradesh,Foeticide,0,10,0,0,10,16,26,0,18,8,7,1
Maharashtra,Foeticide,15,10,0,7,18,56,74,0,74,0,0,0
Manipur,Foeticide,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,Foeticide,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,Foeticide,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,Foeticide,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,Foeticide,0,0,0,0,0,4,4,0,4,0,0,0
Punjab,Foeticide,0,1,0,1,0,5,5,0,3,2,0,2
Rajasthan,Foeticide,0,13,0,0,13,23,36,0,33,3,0,3
Sikkim,Foeticide,0,0,0,0,0,2,2,0,0,2,2,0
Tamil Nadu,Foeticide,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,Foeticide,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Foeticide,0,36,0,6,30,33,63,0,59,4,2,2
