states_uts,crime_head,year,persons_in_custody_during_inv_stage_at_beginning_of_year_male,persons_in_custody_during_inv_stage_at_beginning_of_year_female,persons_in_custody_during_inv_stage_at_beginning_of_year_total,persons_on_bail_during_inv_stage_at_beginning_of_year_male,persons_on_bail_during_inv_stage_at_beginning_of_year_female,persons_on_bail_during_inv_stage_at_beginning_of_year_total,persons_arrested_during_the_year_male,persons_arrested_during_the_year_female,persons_arrested_during_the_year_total,persons_released_or_freed_before_trial_for_want_of_evidence_male,persons_released_or_freed_before_trial_for_want_of_evidence_fem,persons_released_or_freed_before_trial_for_want_of_evidence_tot,persons_in_custody_during_inv_stage_at_year_end_male,persons_in_custody_during_inv_stage_at_year_end_female,persons_in_custody_during_inv_stage_at_year_end_total,persons_on_bail_during_inv_stage_at_year_end_male,persons_on_bail_during_inv_stage_at_year_end_female,persons_on_bail_during_inv_stage_at_year_end_total,persons_charge_sheeted_male,persons_charge_sheeted_female,persons_charge_sheeted_total,persons_in_custody_during_trial_stage_at_begin_of_year_male,persons_in_custody_during_trial_stage_at_begin_of_year_female,persons_in_custody_during_trial_stage_at_begin_of_year_total,persons_on_bail_during_trial_stage_at_begin_of_year_male,persons_on_bail_during_trial_stage_at_begin_of_year_female,persons_on_bail_during_trial_stage_at_begin_of_year_total,total_number_of_persons_under_trial_male,total_number_of_persons_under_trial_female,total_number_of_persons_under_trial_total,persons_against_whom_cases_were_compounded_by_courts_male,persons_against_whom_cases_were_compounded_by_courts_female,persons_against_whom_cases_were_compounded_by_courts_total,persons_against_whom_cases_were_withdrawn_male,persons_against_whom_cases_were_withdrawn_female,persons_against_whom_cases_were_withdrawn_total,persons_in_custody_during_trial_stage_at_year_end_male,persons_in_custody_during_trial_stage_at_year_end_female,persons_in_custody_during_trial_stage_at_year_end_total,persons_on_bail_during_trial_stage_at_year_end_male,persons_on_bail_during_trial_stage_at_year_end_female,persons_on_bail_during_trial_stage_at_year_end_total,persons_whose_cases_trials_were_completed_during_the_year_male,persons_whose_cases_trials_were_completed_during_the_year_female,persons_whose_cases_trials_were_completed_during_the_year_total,persons_convicted_male,persons_convicted_female,persons_convicted_total,persons_acquitted_male,persons_acquitted_female,persons_acquitted_total,persons_discharged_by_court_male,persons_discharged_by_court_female,persons_discharged_by_court_total
Andhra Pradesh,1 - Murder (Section 302 and 303 IPC),2014,1,0,1,28,0,28,68,5,73,0,0,0,8,1,9,43,3,46,46,1,47,5,0,5,120,1,121,171,2,173,0,0,0,0,0,0,4,0,4,135,1,136,32,1,33,3,0,3,29,1,30,0,0,0
Andhra Pradesh,2 - Infanticide (Section 315 IPC),2014,0,0,0,2,0,2,3,0,3,0,0,0,0,0,0,4,0,4,1,0,1,0,0,0,2,0,2,3,0,3,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,1,0,1,0,0,0
Andhra Pradesh,3 - Rape,2014,21,0,21,187,0,187,617,21,638,0,0,0,17,0,17,410,15,425,398,6,404,15,0,15,572,9,581,985,15,1000,0,0,0,0,0,0,47,0,47,703,14,717,235,1,236,13,0,13,222,1,223,0,0,0
Andhra Pradesh,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,0,0,0,79,4,83,281,4,285,0,0,0,1,0,1,128,2,130,231,6,237,0,0,0,141,0,141,372,6,378,7,0,7,0,0,0,0,0,0,296,6,302,69,0,69,7,0,7,62,0,62,0,0,0
Andhra Pradesh,4.1 - Sexual Harassment (Section 354A IPC),2014,0,0,0,6,0,6,69,0,69,0,0,0,0,0,0,30,0,30,45,0,45,0,0,0,16,0,16,61,0,61,0,0,0,0,0,0,0,0,0,53,0,53,8,0,8,0,0,0,8,0,8,0,0,0
Andhra Pradesh,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,0,0,0,5,0,5,18,0,18,0,0,0,0,0,0,7,0,7,16,0,16,0,0,0,0,0,0,16,0,16,1,0,1,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,4.3 - Voyeurism (Section 354C IPC),2014,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,5,0,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,4.4 - Stalking (Section 354D IPC),2014,0,0,0,2,0,2,113,4,117,0,0,0,1,0,1,38,2,40,76,2,78,0,0,0,6,0,6,82,2,84,5,0,5,0,0,0,0,0,0,77,2,79,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,4.5 - Others assault,2014,0,0,0,66,4,70,75,0,75,0,0,0,0,0,0,48,0,48,93,4,97,0,0,0,119,0,119,212,4,216,1,0,1,0,0,0,0,0,0,150,4,154,61,0,61,7,0,7,54,0,54,0,0,0
Andhra Pradesh,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2014,0,0,0,18,0,18,127,0,127,0,0,0,0,0,0,77,0,77,68,0,68,0,0,0,165,0,165,233,0,233,6,0,6,0,0,0,0,0,0,203,0,203,24,0,24,8,0,8,16,0,16,0,0,0
