state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
ANDHRA PRADESH,"ARMS ACT, 1959",301,549,0,295,555,1153,1708,0,1324,384,46,338
ARUNACHAL PRADESH,"ARMS ACT, 1959",3,14,0,5,12,194,206,0,199,7,4,3
ASSAM,"ARMS ACT, 1959",1705,575,114,1934,232,2483,2715,0,2498,217,31,186
BIHAR,"ARMS ACT, 1959",1761,2479,14,1383,2843,26223,29066,0,27108,1958,681,1277
CHHATTISGARH,"ARMS ACT, 1959",6,914,0,6,914,3869,4783,237,3695,851,236,615
GOA,"ARMS ACT, 1959",4,20,2,20,2,51,53,0,50,3,1,2
GUJARAT,"ARMS ACT, 1959",129,713,0,147,695,7804,8499,1,8261,237,13,224
HARYANA,"ARMS ACT, 1959",136,1495,0,72,1559,6587,8146,0,5946,2200,531,1669
HIMACHAL PRADESH,"ARMS ACT, 1959",15,25,0,15,25,164,189,2,180,7,1,6
JAMMU & KASHMIR,"ARMS ACT, 1959",34,310,0,36,308,4047,4355,7,3763,585,5,580
JHARKHAND,"ARMS ACT, 1959",608,1100,0,653,1055,3403,4458,3,3308,1147,459,688
KARNATAKA,"ARMS ACT, 1959",99,219,6,89,223,967,1190,6,1048,136,11,125
KERALA,"ARMS ACT, 1959",251,536,0,261,526,3692,4218,7,3819,392,77,315
MADHYA PRADESH,"ARMS ACT, 1959",24,10970,1,26,10967,37088,48055,584,36155,11316,3869,7447
MAHARASHTRA,"ARMS ACT, 1959",1087,1565,6,1125,1521,18917,20438,82,19460,896,60,836
MANIPUR,"ARMS ACT, 1959",46,18,4,52,8,95,103,0,94,9,9,0
MEGHALAYA,"ARMS ACT, 1959",221,26,1,232,14,489,503,1,502,0,0,0
MIZORAM,"ARMS ACT, 1959",9,38,2,12,33,29,62,0,31,31,29,2
NAGALAND,"ARMS ACT, 1959",83,153,18,52,166,28,194,0,54,140,105,35
ODISHA,"ARMS ACT, 1959",89,1190,0,155,1124,3920,5044,0,4543,501,26,475
PUNJAB,"ARMS ACT, 1959",433,971,15,547,842,3281,4123,0,3375,748,488,260
RAJASTHAN,"ARMS ACT, 1959",14,5172,0,13,5173,22953,28126,64,23480,4582,4098,484
SIKKIM,"ARMS ACT, 1959",2,3,0,0,5,16,21,0,15,6,2,4
