states_uts,crime_head,year,persons_in_custody_during_inv_stage_at_beginning_of_year_male,persons_in_custody_during_inv_stage_at_beginning_of_year_female,persons_in_custody_during_inv_stage_at_beginning_of_year_total,persons_on_bail_during_inv_stage_at_beginning_of_year_male,persons_on_bail_during_inv_stage_at_beginning_of_year_female,persons_on_bail_during_inv_stage_at_beginning_of_year_total,persons_arrested_during_the_year_male,persons_arrested_during_the_year_female,persons_arrested_during_the_year_total,persons_released_or_freed_before_trial_for_want_of_evidence_male,persons_released_or_freed_before_trial_for_want_of_evidence_fem,persons_released_or_freed_before_trial_for_want_of_evidence_tot,persons_in_custody_during_inv_stage_at_year_end_male,persons_in_custody_during_inv_stage_at_year_end_female,persons_in_custody_during_inv_stage_at_year_end_total,persons_on_bail_during_inv_stage_at_year_end_male,persons_on_bail_during_inv_stage_at_year_end_female,persons_on_bail_during_inv_stage_at_year_end_total,persons_charge_sheeted_male,persons_charge_sheeted_female,persons_charge_sheeted_total,persons_in_custody_during_trial_stage_at_begin_of_year_male,persons_in_custody_during_trial_stage_at_begin_of_year_female,persons_in_custody_during_trial_stage_at_begin_of_year_total,persons_on_bail_during_trial_stage_at_begin_of_year_male,persons_on_bail_during_trial_stage_at_begin_of_year_female,persons_on_bail_during_trial_stage_at_begin_of_year_total,total_number_of_persons_under_trial_male,total_number_of_persons_under_trial_female,total_number_of_persons_under_trial_total,persons_against_whom_cases_were_compounded_by_courts_male,persons_against_whom_cases_were_compounded_by_courts_female,persons_against_whom_cases_were_compounded_by_courts_total,persons_against_whom_cases_were_withdrawn_male,persons_against_whom_cases_were_withdrawn_female,persons_against_whom_cases_were_withdrawn_total,persons_in_custody_during_trial_stage_at_year_end_male,persons_in_custody_during_trial_stage_at_year_end_female,persons_in_custody_during_trial_stage_at_year_end_total,persons_on_bail_during_trial_stage_at_year_end_male,persons_on_bail_during_trial_stage_at_year_end_female,persons_on_bail_during_trial_stage_at_year_end_total,persons_whose_cases_trials_were_completed_during_the_year_male,persons_whose_cases_trials_were_completed_during_the_year_female,persons_whose_cases_trials_were_completed_during_the_year_total,persons_convicted_male,persons_convicted_female,persons_convicted_total,persons_acquitted_male,persons_acquitted_female,persons_acquitted_total,persons_discharged_by_court_male,persons_discharged_by_court_female,persons_discharged_by_court_total
Andhra Pradesh,"1 - Arms Act, 1959",2014,4,0,4,96,0,96,261,3,264,0,0,0,8,0,8,187,3,190,166,0,166,55,0,55,364,0,364,585,0,585,0,0,0,0,0,0,22,0,22,435,0,435,128,0,128,39,0,39,89,0,89,0,0,0
Andhra Pradesh,"2 - Narcotic Drugs & Psychotropic Substances Act, 1985",2014,26,0,26,447,17,464,739,42,781,6,0,6,25,0,25,698,47,745,483,12,495,134,0,134,1102,22,1124,1719,34,1753,0,0,0,9,0,9,45,0,45,1424,32,1456,241,2,243,32,0,32,209,2,211,0,0,0
Andhra Pradesh,"3 - Gambling Act, 1867",2014,15,0,15,907,0,907,24119,0,24119,0,0,0,18,0,18,1025,0,1025,23998,0,23998,223,0,223,1441,0,1441,25662,0,25662,279,0,279,0,0,0,2,0,2,3516,0,3516,21865,0,21865,21135,0,21135,730,0,730,0,0,0
Andhra Pradesh,"4 - Excise Act, 1944",2014,103,0,103,877,32,909,5599,155,5754,1581,24,1605,24,2,26,1171,23,1194,3803,138,3941,204,0,204,1358,32,1390,5365,170,5535,704,23,727,22,0,22,59,0,59,2544,41,2585,2036,106,2142,722,8,730,1314,98,1412,0,0,0
Andhra Pradesh,5 - Prohibition Act,2014,31,0,31,286,24,310,1710,46,1756,0,0,0,37,0,37,279,17,296,1711,53,1764,108,0,108,417,3,420,2236,56,2292,535,7,542,0,0,0,56,0,56,658,12,670,987,37,1024,431,12,443,556,25,581,0,0,0
Andhra Pradesh,6 - Explosives and Explosive Substances Act,2014,3,0,3,160,1,161,215,2,217,0,0,0,4,0,4,177,2,179,197,1,198,70,0,70,442,3,445,709,4,713,15,0,15,0,0,0,16,0,16,509,4,513,169,0,169,22,0,22,147,0,147,0,0,0
Andhra Pradesh,"7 - Immoral Traffic (Prevention) Act, 1956",2014,16,0,16,262,59,321,378,226,604,0,0,0,3,0,3,164,67,231,489,218,707,69,0,69,1326,234,1560,1884,452,2336,4,0,4,1,0,1,19,0,19,1388,319,1707,472,133,605,53,4,57,419,129,548,0,0,0
Andhra Pradesh,7.1 - Under Section 5,2014,0,0,0,40,14,54,60,24,84,0,0,0,0,0,0,51,9,60,49,29,78,0,0,0,262,16,278,311,45,356,4,0,4,0,0,0,0,0,0,144,19,163,163,26,189,15,0,15,148,26,174,0,0,0
Andhra Pradesh,7.2 - Under Section 6,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,7.3 - Under Section 7,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,23,18,5,23,0,0,0,0,0,0,0,0,0,18,0,18,0,5,5,0,0,0,0,5,5,0,0,0
