state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
ANDHRA PRADESH,MURDER (SECTION 302 IPC),3263,5509,0,3138,5634,12111,17745,2,13142,4601,754,3847
ARUNACHAL PRADESH,MURDER (SECTION 302 IPC),85,113,28,109,61,1108,1169,0,1161,8,2,6
ASSAM,MURDER (SECTION 302 IPC),4628,1650,466,4756,1056,8040,9096,0,8183,913,308,605
BIHAR,MURDER (SECTION 302 IPC),7459,7198,51,7399,7207,52966,60173,0,54985,5188,1450,3738
CHHATTISGARH,MURDER (SECTION 302 IPC),188,1490,0,158,1520,7803,9323,1221,6661,1441,590,851
GOA,MURDER (SECTION 302 IPC),29,47,2,24,50,197,247,0,230,17,9,8
GUJARAT,MURDER (SECTION 302 IPC),353,2085,2,312,2124,26816,28940,5,27873,1062,211,851
HARYANA,MURDER (SECTION 302 IPC),311,2183,0,233,2261,5418,7679,0,5548,2131,868,1263
HIMACHAL PRADESH,MURDER (SECTION 302 IPC),65,206,10,70,191,715,906,0,744,162,65,97
JAMMU & KASHMIR,MURDER (SECTION 302 IPC),22,328,0,25,325,4063,4388,0,4000,388,78,310
JHARKHAND,MURDER (SECTION 302 IPC),1242,1790,0,1274,1758,4027,5785,8,3964,1813,474,1339
KARNATAKA,MURDER (SECTION 302 IPC),722,3487,95,598,3516,10784,14300,17,11455,2828,470,2358
KERALA,MURDER (SECTION 302 IPC),993,886,16,866,997,7005,8002,4,7476,522,148,374
MADHYA PRADESH,MURDER (SECTION 302 IPC),240,5505,0,227,5518,21360,26878,2,22407,4469,1920,2549
MAHARASHTRA,MURDER (SECTION 302 IPC),1633,6119,75,1778,5899,65330,71229,2,67005,4222,944,3278
MANIPUR,MURDER (SECTION 302 IPC),222,49,52,206,13,429,442,2,437,3,2,1
MEGHALAYA,MURDER (SECTION 302 IPC),414,97,17,433,61,2175,2236,0,2220,16,5,11
MIZORAM,MURDER (SECTION 302 IPC),17,26,0,23,20,44,64,0,41,23,23,0
NAGALAND,MURDER (SECTION 302 IPC),14,31,6,12,27,42,69,3,35,31,23,8
ODISHA,MURDER (SECTION 302 IPC),359,2450,8,392,2409,11588,13997,0,12473,1524,337,1187
PUNJAB,MURDER (SECTION 302 IPC),1209,1553,73,1373,1316,2687,4003,0,2791,1212,596,616
RAJASTHAN,MURDER (SECTION 302 IPC),71,2175,0,64,2182,14017,16199,1043,13539,1617,772,845
