states_uts,crime_head,year,persons_in_custody_during_inv_stage_at_beginning_of_year_male,persons_in_custody_during_inv_stage_at_beginning_of_year_female,persons_in_custody_during_inv_stage_at_beginning_of_year_total,persons_on_bail_during_inv_stage_at_beginning_of_year_male,persons_on_bail_during_inv_stage_at_beginning_of_year_female,persons_on_bail_during_inv_stage_at_beginning_of_year_total,persons_arrested_during_the_year_male,persons_arrested_during_the_year_female,persons_arrested_during_the_year_total,persons_released_or_freed_before_trial_for_want_of_evidence_male,persons_released_or_freed_before_trial_for_want_of_evidence_fem,persons_released_or_freed_before_trial_for_want_of_evidence_tot,persons_in_custody_during_inv_stage_at_year_end_male,persons_in_custody_during_inv_stage_at_year_end_female,persons_in_custody_during_inv_stage_at_year_end_total,persons_on_bail_during_inv_stage_at_year_end_male,persons_on_bail_during_inv_stage_at_year_end_female,persons_on_bail_during_inv_stage_at_year_end_total,persons_charge_sheeted_male,persons_charge_sheeted_female,persons_charge_sheeted_total,persons_in_custody_during_trial_stage_at_begin_of_year_male,persons_in_custody_during_trial_stage_at_begin_of_year_female,persons_in_custody_during_trial_stage_at_begin_of_year_total,persons_on_bail_during_trial_stage_at_begin_of_year_male,persons_on_bail_during_trial_stage_at_begin_of_year_female,persons_on_bail_during_trial_stage_at_begin_of_year_total,total_number_of_persons_under_trial_male,total_number_of_persons_under_trial_female,total_number_of_persons_under_trial_total,persons_against_whom_cases_were_compounded_by_courts_male,persons_against_whom_cases_were_compounded_by_courts_female,persons_against_whom_cases_were_compounded_by_courts_total,persons_against_whom_cases_were_withdrawn_male,persons_against_whom_cases_were_withdrawn_female,persons_against_whom_cases_were_withdrawn_total,persons_in_custody_during_trial_stage_at_year_end_male,persons_in_custody_during_trial_stage_at_year_end_female,persons_in_custody_during_trial_stage_at_year_end_total,persons_on_bail_during_trial_stage_at_year_end_male,persons_on_bail_during_trial_stage_at_year_end_female,persons_on_bail_during_trial_stage_at_year_end_total,persons_whose_cases_trials_were_completed_during_the_year_male,persons_whose_cases_trials_were_completed_during_the_year_female,persons_whose_cases_trials_were_completed_during_the_year_total,persons_convicted_male,persons_convicted_female,persons_convicted_total,persons_acquitted_male,persons_acquitted_female,persons_acquitted_total,persons_discharged_by_court_male,persons_discharged_by_court_female,persons_discharged_by_court_total
Andhra Pradesh,1 - Murder (Section 302 IPC),2014,281,8,289,1529,125,1654,2111,223,2334,0,0,0,259,22,281,1699,143,1842,1963,191,2154,535,12,547,6401,330,6731,8899,533,9432,3,0,3,2,0,2,906,18,924,6412,412,6824,1576,103,1679,252,18,270,1320,85,1405,4,0,4
Andhra Pradesh,2 - Attempt to commit Murder (Section 307 IPC),2014,152,0,152,1232,155,1387,2578,97,2675,18,0,18,583,9,592,1680,106,1786,1681,137,1818,191,0,191,5560,199,5759,7432,336,7768,175,0,175,17,0,17,233,1,234,4917,219,5136,2090,116,2206,184,2,186,1897,114,2011,9,0,9
Andhra Pradesh,3 - Culpable Homicide not amounting to Murder (Section 304 IPC),2014,7,0,7,68,2,70,94,7,101,0,0,0,1,1,2,68,3,71,100,5,105,26,3,29,232,10,242,358,18,376,0,0,0,0,0,0,15,0,15,247,12,259,96,6,102,6,0,6,90,6,96,0,0,0
Andhra Pradesh,4 - Attempt to commit Culpable Homicide (Section 308 IPC),2014,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,5 - Rape (Section 376 IPC),2014,71,0,71,586,11,597,1191,46,1237,1,0,1,71,0,71,809,35,844,967,22,989,137,0,137,1852,36,1888,2956,58,3014,11,0,11,0,0,0,180,0,180,2085,46,2131,680,12,692,70,0,70,610,12,622,0,0,0
Andhra Pradesh,5.1 - Custodial Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,5.1.1 - Gang Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,5.1.2 - Other Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,5.2 - Rape other than Custodial,2014,71,0,71,586,11,597,1191,46,1237,1,0,1,71,0,71,809,35,844,967,22,989,137,0,137,1852,36,1888,2956,58,3014,11,0,11,0,0,0,180,0,180,2085,46,2131,680,12,692,70,0,70,610,12,622,0,0,0
Andhra Pradesh,5.2.1 - Gang Rape,2014,0,0,0,7,0,7,24,0,24,0,0,0,0,0,0,22,0,22,9,0,9,0,0,0,53,1,54,62,1,63,0,0,0,0,0,0,0,0,0,51,1,52,11,0,11,0,0,0,11,0,11,0,0,0
