state_ut,crime_head,male_below_18_years,female_below_18_years,male_between_18_30_years,female_between_18_30_years,male_between_30_45_years,female_between_30_45_years,male_between_45_60_years,female_between_45_60_years,male_above_60_years,female_above_60_years,male_total,female_total,grand_total
ANDHRA PRADESH,MURDER (SECTION 302 IPC),65,3,2054,187,1866,216,919,104,85,10,4989,520,5509
ARUNACHAL PRADESH,MURDER (SECTION 302 IPC),0,0,53,0,52,2,6,0,0,0,111,2,113
ASSAM,MURDER (SECTION 302 IPC),38,0,584,23,738,19,238,2,8,0,1606,44,1650
BIHAR,MURDER (SECTION 302 IPC),60,5,2983,108,2462,145,1202,82,147,4,6854,344,7198
CHHATTISGARH,MURDER (SECTION 302 IPC),64,5,560,43,487,46,228,13,36,8,1375,115,1490
GOA,MURDER (SECTION 302 IPC),3,0,25,2,13,0,4,0,0,0,45,2,47
GUJARAT,MURDER (SECTION 302 IPC),42,1,892,42,710,61,273,25,36,3,1953,132,2085
HARYANA,MURDER (SECTION 302 IPC),13,1,834,39,865,43,323,14,48,3,2083,100,2183
HIMACHAL PRADESH,MURDER (SECTION 302 IPC),9,1,86,6,67,13,16,2,4,2,182,24,206
JAMMU & KASHMIR,MURDER (SECTION 302 IPC),0,0,81,5,171,12,48,5,5,1,305,23,328
JHARKHAND,MURDER (SECTION 302 IPC),16,1,843,37,609,53,209,16,6,0,1683,107,1790
KARNATAKA,MURDER (SECTION 302 IPC),45,2,1170,75,1245,147,540,99,145,19,3145,342,3487
KERALA,MURDER (SECTION 302 IPC),16,0,295,6,376,19,157,8,8,1,852,34,886
MADHYA PRADESH,MURDER (SECTION 302 IPC),184,13,2223,115,1860,155,779,57,111,8,5157,348,5505
MAHARASHTRA,MURDER (SECTION 302 IPC),172,11,2708,181,1770,232,717,156,143,29,5510,609,6119
MANIPUR,MURDER (SECTION 302 IPC),0,0,18,1,24,0,3,2,1,0,46,3,49
MEGHALAYA,MURDER (SECTION 302 IPC),2,0,51,0,37,1,3,1,2,0,95,2,97
MIZORAM,MURDER (SECTION 302 IPC),0,0,9,0,10,0,6,0,1,0,26,0,26
NAGALAND,MURDER (SECTION 302 IPC),0,0,15,0,12,0,4,0,0,0,31,0,31
ODISHA,MURDER (SECTION 302 IPC),53,6,922,92,829,126,347,37,35,3,2186,264,2450
PUNJAB,MURDER (SECTION 302 IPC),10,0,437,51,565,74,375,23,16,2,1403,150,1553
RAJASTHAN,MURDER (SECTION 302 IPC),71,8,847,54,777,61,297,19,40,1,2032,143,2175
SIKKIM,MURDER (SECTION 302 IPC),0,0,7,0,0,0,0,0,0,0,7,0,7
TAMIL NADU,MURDER (SECTION 302 IPC),72,0,1831,110,1402,173,687,66,74,5,4066,354,4420
TRIPURA,MURDER (SECTION 302 IPC),2,0,73,3,52,4,29,1,3,0,159,8,167
UTTAR PRADESH,MURDER (SECTION 302 IPC),116,4,6795,113,4795,106,1968,14,72,0,13746,237,13983
UTTARAKHAND,MURDER (SECTION 302 IPC),9,1,127,2,179,9,18,2,0,0,333,14,347
WEST BENGAL,MURDER (SECTION 302 IPC),42,3,1461,79,1293,99,453,51,47,6,3296,238,3534
TOTAL (STATES),MURDER (SECTION 302 IPC),1104,65,27984,1374,23266,1816,9849,799,1073,105,63276,4159,67435
A & N ISLANDS,MURDER (SECTION 302 IPC),4,0,5,2,7,1,2,0,0,0,18,3,21
CHANDIGARH,MURDER (SECTION 302 IPC),3,0,28,1,27,1,6,0,0,0,64,2,66
D & N HAVELI,MURDER (SECTION 302 IPC),0,0,10,0,1,0,2,0,0,0,13,0,13
DAMAN & DIU,MURDER (SECTION 302 IPC),0,0,9,0,2,0,0,0,0,0,11,0,11
DELHI,MURDER (SECTION 302 IPC),97,3,604,14,222,8,28,5,6,0,957,30,987
LAKSHADWEEP,MURDER (SECTION 302 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,MURDER (SECTION 302 IPC),5,0,104,2,27,1,3,0,1,0,140,3,143
TOTAL (UTs),MURDER (SECTION 302 IPC),109,3,760,19,286,11,41,5,7,0,1203,38,1241
TOTAL (ALL-INDIA),MURDER (SECTION 302 IPC),1213,68,28744,1393,23552,1827,9890,804,1080,105,64479,4197,68676
ANDHRA PRADESH,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),25,1,1720,121,1780,231,813,72,69,4,4407,429,4836
ARUNACHAL PRADESH,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),0,0,24,0,4,0,2,0,0,0,30,0,30
ASSAM,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),5,0,243,0,395,3,129,2,2,0,774,5,779
BIHAR,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),158,20,5217,332,3613,303,2236,126,457,18,11681,799,12480
CHHATTISGARH,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),38,5,417,20,318,19,161,7,16,3,950,54,1004
GOA,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),0,0,55,0,39,3,4,0,1,0,99,3,102
GUJARAT,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),39,3,1109,35,987,32,412,17,40,2,2587,89,2676
HARYANA,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),33,0,1013,16,813,14,385,2,33,2,2277,34,2311
HIMACHAL PRADESH,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),0,0,66,0,32,0,10,0,1,0,109,0,109
JAMMU & KASHMIR,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),4,0,325,22,468,41,251,14,7,2,1055,79,1134
JHARKHAND,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),11,0,583,42,526,40,220,20,10,0,1350,102,1452
KARNATAKA,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),53,0,1856,69,1755,158,776,93,169,10,4609,330,4939
KERALA,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),16,0,676,169,578,83,169,16,9,0,1448,268,1716
MADHYA PRADESH,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),181,3,2869,83,2309,122,918,42,170,5,6447,255,6702
MAHARASHTRA,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),183,5,3582,147,2385,226,985,102,125,31,7260,511,7771
MANIPUR,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),0,0,50,1,49,2,8,0,1,0,108,3,111
MEGHALAYA,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),0,0,23,0,11,0,3,0,0,0,37,0,37
MIZORAM,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),1,0,2,0,7,0,4,0,0,0,14,0,14
NAGALAND,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),0,0,25,0,16,0,1,0,0,0,42,0,42
ODISHA,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),19,2,1246,51,1281,76,616,21,31,0,3193,150,3343
PUNJAB,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),9,0,778,58,799,78,504,39,33,0,2123,175,2298
RAJASTHAN,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),106,0,1601,56,1202,61,489,13,78,1,3476,131,3607
SIKKIM,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),0,0,2,0,6,0,0,0,0,0,8,0,8
TAMIL NADU,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),72,0,2315,106,2589,150,1287,56,174,4,6437,316,6753
TRIPURA,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),0,0,40,0,30,2,10,0,2,0,82,2,84
UTTAR PRADESH,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),18,1,6935,25,4173,33,1852,16,62,1,13040,76,13116
UTTARAKHAND,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),6,0,111,2,148,5,21,0,0,0,286,7,293
WEST BENGAL,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),26,3,1007,118,1608,99,738,42,60,1,3439,263,3702
TOTAL (STATES),ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),1003,43,33890,1473,27921,1781,13004,700,1550,84,77368,4081,81449
A & N ISLANDS,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),0,0,6,0,2,0,0,1,0,0,8,1,9
CHANDIGARH,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),9,1,49,2,41,2,14,0,0,0,113,5,118
D & N HAVELI,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),1,0,2,0,0,0,0,0,0,0,3,0,3
DAMAN & DIU,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),0,0,4,0,3,0,0,0,0,0,7,0,7
DELHI,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),74,0,582,9,248,1,28,6,0,2,932,18,950
LAKSHADWEEP,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),1,0,89,0,40,0,3,0,0,0,133,0,133
TOTAL (UTs),ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),85,1,732,11,334,3,45,7,0,2,1196,24,1220
TOTAL (ALL-INDIA),ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),1088,44,34622,1484,28255,1784,13049,707,1550,86,78564,4105,82669
ANDHRA PRADESH,"CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304, 308 IPC)",2,0,101,3,144,5,34,4,3,0,284,12,296
ARUNACHAL PRADESH,"CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304, 308 IPC)",0,0,0,0,1,0,0,0,0,0,1,0,1
ASSAM,"CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304, 308 IPC)",0,0,21,0,28,0,3,0,0,0,52,0,52
BIHAR,"CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304, 308 IPC)",2,0,183,5,229,5,100,3,0,0,514,13,527
CHHATTISGARH,"CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304, 308 IPC)",2,0,14,0,15,0,3,0,1,0,35,0,35
GOA,"CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304, 308 IPC)",0,0,1,0,1,0,2,0,1,0,5,0,5
