states_uts,crime_head,year,18_and_above_and_below_30_years_male,18_and_above_and_below_30_years_female,18_and_above_and_below_30_years_total,30_and_above_and_below_45_years_male,30_and_above_and_below_45_years_female,30_and_above_and_below_45_years_total,45_and_above_and_below_60_years_male,45_and_above_and_below_60_years_female,45_and_above_and_below_60_years_total,60_years_and_above_male,60_years_and_above_female,60_years_and_above_total,total_male,total_female,total_persons_arrested_by_age_and_sex
Andhra Pradesh,1 - Murder (Section 302 IPC),2014,754,59,813,772,113,885,517,48,565,48,0,48,2091,220,2311
Andhra Pradesh,2 - Attempt to commit Murder (Section 307 IPC),2014,1175,38,1213,920,43,963,448,16,464,22,0,22,2565,97,2662
Andhra Pradesh,3 - Culpable Homicide not amounting to Murder (Section 304 IPC),2014,16,2,18,64,4,68,13,1,14,0,0,0,93,7,100
Andhra Pradesh,4 - Attempt to commit Culpable Homicide (Section 308 IPC),2014,0,0,0,2,0,2,2,0,2,0,0,0,4,0,4
Andhra Pradesh,5 - Rape (Section 376 IPC),2014,708,7,715,341,28,369,88,10,98,11,1,12,1148,46,1194
Andhra Pradesh,5.1 - Custodial Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,5.1.1 - Gang Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,5.1.2 - Other Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,5.2 - Rape other than Custodial,2014,708,7,715,341,28,369,88,10,98,11,1,12,1148,46,1194
Andhra Pradesh,5.2.1 - Gang Rape,2014,15,0,15,4,0,4,1,0,1,0,0,0,20,0,20
Andhra Pradesh,5.2.2 - Other Rape,2014,693,7,700,337,28,365,87,10,97,11,1,12,1128,46,1174
Andhra Pradesh,6 - Attempt to commit Rape (Section 376/511 IPC),2014,104,0,104,62,0,62,1,0,1,0,0,0,167,0,167
Andhra Pradesh,"7 - Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",2014,802,18,820,463,51,514,124,10,134,2,0,2,1391,79,1470
Andhra Pradesh,7.1 - Kidnapping & Abduction (Section 363 IPC),2014,220,9,229,152,16,168,29,4,33,1,0,1,402,29,431
Andhra Pradesh,7.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,7,0,7,2,0,2,0,0,0,0,0,0,9,0,9
Andhra Pradesh,7.3 - Kidnapping for Ransom (Section 364A IPC),2014,7,0,7,5,0,5,0,0,0,0,0,0,12,0,12
Andhra Pradesh,7.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,311,4,315,95,13,108,25,2,27,0,0,0,431,19,450
Andhra Pradesh,7.5 - Other Kidnapping,2014,257,5,262,209,22,231,70,4,74,1,0,1,537,31,568
Andhra Pradesh,"8 - Dacoity (Section 395,396-398 IPC)",2014,166,1,167,138,0,138,17,0,17,0,0,0,321,1,322
Andhra Pradesh,8.1 - Dacoity with Murder (Section 396 IPC),2014,5,0,5,1,0,1,0,0,0,0,0,0,6,0,6
Andhra Pradesh,8.2 - Other Dacoity,2014,161,1,162,137,0,137,17,0,17,0,0,0,315,1,316
Andhra Pradesh,9 - Making Preparation and Assembly for committing Dacoity (Section 399 & 402 IPC),2014,0,0,0,8,0,8,0,0,0,0,0,0,8,0,8
Andhra Pradesh,"10 - Robbery (Section 392 to 394, 397 and 398 IPC)",2014,398,1,399,169,9,178,51,0,51,0,0,0,618,10,628
Andhra Pradesh,11 - Criminal Trespass/Burglary_Total (Section 453 to 460 IPC),2014,3028,22,3050,1740,39,1779,450,5,455,38,0,38,5256,66,5322
Andhra Pradesh,"11.1 - Criminal Trespass/Burglary (Section 455, 457 & 458 IPC)",2014,2291,13,2304,1264,29,1293,308,4,312,37,0,37,3900,46,3946
