state_ut,crime_head,male_below_18_years,female_below_18_years,male_between_18_30_years,female_between_18_30_years,male_between_30_45_years,female_between_30_45_years,male_between_45_60_years,female_between_45_60_years,male_above_60_years,female_above_60_years,male_total,female_total,grand_total
Andhra Pradesh,"Antiquity & Art Treasures Act, 1972",0,0,7,0,16,0,5,1,0,0,28,1,29
Arunachal Pradesh,"Antiquity & Art Treasures Act, 1972",0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,"Antiquity & Art Treasures Act, 1972",0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,"Antiquity & Art Treasures Act, 1972",0,0,4,0,0,0,0,0,0,0,4,0,4
Chhattisgarh,"Antiquity & Art Treasures Act, 1972",0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,"Antiquity & Art Treasures Act, 1972",0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,"Antiquity & Art Treasures Act, 1972",0,0,2,0,9,0,8,0,0,0,19,0,19
Haryana,"Antiquity & Art Treasures Act, 1972",0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"Antiquity & Art Treasures Act, 1972",0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"Antiquity & Art Treasures Act, 1972",0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"Antiquity & Art Treasures Act, 1972",0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,"Antiquity & Art Treasures Act, 1972",0,0,16,0,16,0,3,0,1,0,36,0,36
Kerala,"Antiquity & Art Treasures Act, 1972",0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,"Antiquity & Art Treasures Act, 1972",0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,"Antiquity & Art Treasures Act, 1972",0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,"Antiquity & Art Treasures Act, 1972",0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,"Antiquity & Art Treasures Act, 1972",0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,"Antiquity & Art Treasures Act, 1972",0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,"Antiquity & Art Treasures Act, 1972",0,0,0,0,0,0,0,0,0,0,0,0,0
