states_uts,crime_head,year,18_and_above_and_below_30_years_male,18_and_above_and_below_30_years_female,18_and_above_and_below_30_years_total,30_and_above_and_below_45_years_male,30_and_above_and_below_45_years_female,30_and_above_and_below_45_years_total,45_and_above_and_below_60_years_male,45_and_above_and_below_60_years_female,45_and_above_and_below_60_years_total,60_years_and_above_male,60_years_and_above_female,60_years_and_above_total,total_male,total_female,total_persons_arrested_by_age_and_sex
Andhra Pradesh,"1 - Arms Act, 1959",2014,73,3,76,155,0,155,27,0,27,6,0,6,261,3,264
Andhra Pradesh,"2 - Narcotic Drugs & Psychotropic Substances Act, 1985",2014,303,14,317,310,15,325,118,8,126,7,3,10,738,40,778
Andhra Pradesh,"3 - Gambling Act, 1867",2014,12473,0,12473,7860,0,7860,3672,0,3672,114,0,114,24119,0,24119
Andhra Pradesh,"4 - Excise Act, 1944",2014,2142,38,2180,2270,61,2331,953,54,1007,232,2,234,5597,155,5752
Andhra Pradesh,5 - Prohibition Act,2014,300,2,302,968,26,994,426,18,444,12,0,12,1706,46,1752
Andhra Pradesh,6 - Explosives and Explosive Substances Act,2014,55,0,55,116,2,118,38,0,38,5,0,5,214,2,216
Andhra Pradesh,"7 - Immoral Traffic (Prevention) Act, 1956",2014,132,79,211,186,109,295,54,31,85,6,7,13,378,226,604
Andhra Pradesh,7.1 - Under Section 5,2014,34,15,49,16,9,25,10,0,10,0,0,0,60,24,84
Andhra Pradesh,7.2 - Under Section 6,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,7.3 - Under Section 7,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,7.4 - Under Section 8,2014,1,0,1,7,2,9,0,0,0,0,0,0,8,2,10
Andhra Pradesh,7.5 - Other Sections under ITP Act,2014,97,64,161,163,98,261,44,31,75,6,7,13,310,200,510
Andhra Pradesh,"8 - Indian Railways Act, 1989",2014,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
Andhra Pradesh,"9 - Registration of Foreigners Act, 1939",2014,1,0,1,1,0,1,16,0,16,0,0,0,18,0,18
Andhra Pradesh,"10 - Protection of Civil Rights Act, 1955",2014,0,0,0,2,0,2,2,0,2,0,0,0,4,0,4
Andhra Pradesh,10.1 - PCR Act for crimes committed against SCs,2014,0,0,0,2,0,2,2,0,2,0,0,0,4,0,4
Andhra Pradesh,10.2 - PCR Act for crimes committed against STs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,10.3 - PCR Act for crimes committed against Others,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"11 - Passport Act, 1967",2014,4,2,6,8,6,14,0,0,0,0,0,0,12,8,20
Andhra Pradesh,"12 - Essential Commodities Act, 1955",2014,98,0,98,169,0,169,98,2,100,4,0,4,369,2,371
Andhra Pradesh,"13 - Antiquities & Art Treasures Act, 1972",2014,1,0,1,4,0,4,1,0,1,0,0,0,6,0,6
Andhra Pradesh,"14 - Dowry Prohibition Act, 1961",2014,333,7,340,311,13,324,151,20,171,0,0,0,795,40,835
Andhra Pradesh,"15 - Indecent Representation of Women (Prohibition) Act, 1986",2014,8,0,8,17,0,17,0,0,0,0,0,0,25,0,25
Andhra Pradesh,"16 - Copyright Act, 1957",2014,184,0,184,241,0,241,60,0,60,0,0,0,485,0,485
Andhra Pradesh,17 - Commission of Sati Prevention Act 1987,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"18 - SC/ST (Prevention of Atrocities) Act, 1989)",2014,119,3,122,236,19,255,74,2,76,3,0,3,432,24,456
Andhra Pradesh,18.1 - POA Act for crimes committed against SCs,2014,100,3,103,190,17,207,63,2,65,3,0,3,356,22,378
Andhra Pradesh,18.2 - POA Act for crimes committed against STs,2014,19,0,19,46,2,48,11,0,11,0,0,0,76,2,78
Andhra Pradesh,"19 - Forest Act, 1927",2014,58,0,58,49,0,49,5,0,5,0,0,0,112,0,112
Andhra Pradesh,"20 - Prohibition of Child Marriage Act, 2006",2014,4,0,4,18,3,21,5,2,7,2,0,2,29,5,34
Andhra Pradesh,"21 - Protection of Women from Domestic Violence Act, 2005",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"22 - Information Technology Act, 2000",2014,45,0,45,52,2,54,20,0,20,0,0,0,117,2,119
Andhra Pradesh,"23 - Official Secrets Act, 1923",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"24 - Electricity Act, 2003",2014,2,0,2,2,0,2,1,0,1,0,0,0,5,0,5
Andhra Pradesh,"25 - Wildlife Protection Act, 1972",2014,3,0,3,22,0,22,8,0,8,0,0,0,33,0,33
Andhra Pradesh,"26 - Bonded Labour System (Abolition) Act, 1976",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,26.1 - Against SCs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,26.2 - Against STs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,26.3 - Against others,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"27 - Environmental (Protection) Act, 1986",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"28 - Air (Prevention & Control of Pollution) Act, 1981",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"29 - Water (Prevention & Control of Pollution) Act, 1974(as amended in 1988)",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"30 - National Security Act, 1980",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"31 - Unlawful Activities (Prevention) Act, 1967",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"32 - Young Persons (Harmful Publications) Act, 1956",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"33 - Railway Property (Unlawful Possession) Act, 1966",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"34 - Prevention of Damage to Public Property Act, 1984",2014,14,0,14,19,1,20,5,0,5,0,0,0,38,1,39
Andhra Pradesh,"35 - Transplantation of Human Organs Act, 1994",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"36 - Trade Marks Act, 1999",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"37 - Prevention of Insults to National Honour Act, 1971",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"38 - State Emblem (Prohibition of Improper Use) Act, 2005",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"39 - Lotteries (Regulation) Act, 1998",2014,27,0,27,63,0,63,25,0,25,0,0,0,115,0,115
Andhra Pradesh,"40 - Citizenship Act, 1955",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"41 - Foreigners Act, 1946",2014,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
Andhra Pradesh,"42 - Place of Worship (Special Provisions) Act, 1991",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"43 - Religious Institution (Prevention of Misuse) Act, 1988",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"44 - Representation of People Act, 1951",2014,18,0,18,23,0,23,6,0,6,0,0,0,47,0,47
Andhra Pradesh,"45 - Emigration Act, 1983",2014,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Andhra Pradesh,"46 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,0,0,0,2,1,3,0,0,0,0,0,0,2,1,3
