state_ut,year,crime,boys_7_12_years,girls_7_12_years,boys_12_16_years,girls_12_16_years,boys_16_18_years,girls_16_18_years,total_for_boys_all_age_groups,total_for_girls_all_age_groups,grand_total
Andhra Pradesh,2001,"Arms Act, 1959",0,0,2,0,0,0,2,0,2
Andhra Pradesh,2001,Narcotic Drugs and Psychotropic Substanc,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,Gambling Act,0,0,6,0,0,0,6,0,6
Andhra Pradesh,2001,Excise Act,0,0,7,0,0,0,7,0,7
Andhra Pradesh,2001,Prohibition Act,0,0,37,0,0,0,37,0,37
Andhra Pradesh,2001,Explosives Substances Act 1908,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,"Immoral Traffic (P) Act, 1956",0,0,0,0,0,36,0,36,36
Andhra Pradesh,2001,"Indial Railways Act, 1989",0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,"Registration of Foreigners Act, 1930",0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,"Protection of Civil Rights Act, 1955",0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,PCR Act - against SCs,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,PCR Act - against STs,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,Indian Passport Act,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,"Essential Commodities Act, 1955",0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,"Terrorist and Disruptive Activities Act,",0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,"Antiquity & Art Treasures Act, 1972",0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,"Dowry Prohibition Act, 1961",0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,"Prohibition of Child Marriage Act, 2006",0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,Indecent representation of Women (P) Act,0,0,0,0,0,15,0,15,15
Andhra Pradesh,2001,"Copyright Act, 1957",0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,"SC/ST (Prevention of Attrocities) Act, 1",0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,POA - Against SCs,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,POA - Against STs,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,"Forest Act, 1927",0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,Other SLL Crimes,4,0,33,0,0,0,37,0,37
Andhra Pradesh,2001,Total SLL Crimes,4,0,85,0,0,51,89,51,140
