area_name,year,group_name,sub_group_name,rank_all_ranks_total,rank_asi_equivalent,rank_aspdyspassttcommandant,rank_below_hc_and_above_constables,rank_constables,rank_dgaddl_dg,rank_dig,rank_head_constables,rank_igsplig,rank_inspectors_equivalent,rank_si_equivalent,rank_sspspaddlspcommandant
Andaman & Nicobar Islands,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),766,7,2,0,646,0,1,84,0,6,20,0
Andhra Pradesh,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),12510,433,56,0,8742,0,0,2864,0,132,270,13
Arunachal Pradesh,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),2232,14,15,169,1645,0,0,322,0,19,45,3
Assam,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),23963,36,135,2347,16591,0,0,3868,0,235,699,52
Bihar,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),373,0,0,0,326,0,0,41,0,2,4,0
Chandigarh,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),1303,0,12,0,330,0,0,888,0,3,67,3
Dadra & Nagar Haveli,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),94,1,0,0,75,0,0,17,0,0,1,0
Daman & Diu,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),10433,169,42,0,7911,0,1,1952,1,79,267,11
Goa,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),583,24,1,0,430,0,0,111,0,5,11,1
Gujarat,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),11591,1020,33,0,9138,0,0,1028,0,96,276,0
Haryana,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),4420,124,13,0,3743,1,1,368,1,51,113,5
Himachal Pradesh,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),3673,44,18,1010,1738,0,2,689,1,35,130,6
Jammu & Kashmir,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),18759,389,146,0,14534,1,2,3048,1,125,458,55
Karnataka,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),1020,36,2,0,792,0,0,165,0,5,20,0
Kerala,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),7846,91,32,0,6128,0,0,1303,0,62,225,5
Lakshadweep,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),28057,1498,109,20342,0,1,5,4871,3,265,910,53
Maharashtra,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),13385,1116,38,2822,6858,0,0,2305,0,37,207,2
Manipur,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),9472,0,60,809,7656,0,2,597,1,93,232,22
Meghalaya,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),2699,0,22,200,2090,0,0,280,0,24,75,8
Mizoram,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),3690,0,25,464,2575,0,0,493,0,26,95,12
Nagaland,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),6596,0,21,722,5042,0,0,624,0,19,152,16
Odisha,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),8285,196,56,382,6276,0,0,1096,0,48,213,18
Puducherry,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),683,2,1,0,565,0,0,93,0,5,17,0
Punjab,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),16527,355,92,0,13708,1,5,1759,3,112,471,21
Rajasthan,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),11582,0,46,0,9145,1,2,2053,1,97,223,14
Sikkim,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),1274,0,4,1226,0,0,0,0,1,10,31,2
Tamil Nadu,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),10728,0,37,1375,7489,0,2,1324,1,95,386,19
Tripura,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),6761,0,26,803,5235,0,0,472,1,25,189,10
Uttar Pradesh,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),33183,0,66,0,26420,1,7,5617,5,247,767,53
Uttarakhand,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),2666,0,0,0,2145,0,0,443,0,21,57,0
West Bengal,2001,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),21887,199,85,1983,16733,1,4,1841,4,214,793,30
Andaman & Nicobar Islands,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),738,6,2,0,642,0,1,70,0,5,12,0
Andhra Pradesh,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),28825,835,96,0,20374,0,0,6524,0,266,699,31
Arunachal Pradesh,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),2529,14,15,169,1942,0,0,322,0,19,45,3
Assam,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),23662,36,135,2347,16297,0,0,3863,0,235,699,50
Bihar,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),10147,10,30,0,7044,1,2,2199,1,113,733,14
Chandigarh,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),419,0,1,0,343,0,0,61,0,4,10,0
Chhattisgarh,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),1303,0,12,0,330,0,0,888,0,3,67,3
Dadra & Nagar Haveli,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),91,1,0,0,72,0,0,17,0,0,1,0
Daman & Diu,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),10196,186,37,0,7801,0,1,1836,1,77,252,5
Goa,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),830,22,4,0,657,0,0,132,0,6,8,1
Gujarat,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),11045,1041,29,0,8607,0,0,1050,0,92,226,0
Haryana,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),4173,169,13,0,3464,0,0,344,1,45,132,5
Himachal Pradesh,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),3823,63,22,379,2206,0,2,944,1,43,157,6
Jammu & Kashmir,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),18759,389,146,0,14534,1,2,3048,1,125,458,55
Jharkhand,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),1563,0,0,0,0,0,1,1149,1,62,350,0
Karnataka,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),2462,76,4,0,1916,0,0,411,0,12,43,0
Kerala,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),7771,91,32,0,6053,0,0,1303,0,62,225,5
Lakshadweep,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),16933,857,40,0,12599,1,7,2841,1,140,412,35
Maharashtra,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),13941,1231,38,2950,7062,0,0,2457,0,70,130,3
Manipur,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),9200,0,60,782,7470,1,1,554,1,89,222,20
Meghalaya,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),3400,0,22,197,2782,0,0,301,0,26,63,9
Mizoram,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),1766,9,10,284,1168,0,0,212,0,22,56,5
Nagaland,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),5973,0,19,671,4546,0,0,569,0,17,137,14
Odisha,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),8577,196,55,354,6425,0,0,1294,0,40,193,20
Puducherry,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),683,2,1,0,565,0,0,93,0,5,17,0
Punjab,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),16527,355,92,0,13708,1,5,1759,3,112,471,21
Rajasthan,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),11321,0,60,0,8989,0,2,1938,1,80,240,11
Sikkim,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),1460,41,10,132,1171,0,1,64,0,10,29,2
Tamil Nadu,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),10896,0,37,1345,7728,0,2,1318,1,103,345,17
Tripura,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),8213,0,38,944,6828,0,0,165,0,20,203,15
Uttar Pradesh,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),33187,0,70,0,26420,1,7,5617,5,247,767,53
Uttarakhand,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),2677,0,9,569,1526,0,0,487,0,27,57,2
West Bengal,2002,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),20465,207,76,1916,15792,1,5,1689,2,223,531,23
Andaman & Nicobar Islands,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),455,3,3,0,335,0,1,88,0,7,18,0
Andhra Pradesh,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),12636,413,49,0,8661,0,0,3054,0,123,312,24
Arunachal Pradesh,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),2529,14,15,169,1942,0,0,322,0,19,45,3
Assam,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),23708,30,135,2400,16097,0,0,4061,0,235,700,50
Bihar,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),9802,22,92,0,6774,1,2,2158,1,107,630,15
Chandigarh,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),419,0,1,0,343,0,0,61,0,4,10,0
Chhattisgarh,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),7757,452,22,658,4948,0,1,1428,1,51,180,16
Dadra & Nagar Haveli,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),9,0,0,0,4,0,0,3,0,0,2,0
Daman & Diu,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),10019,178,33,0,7739,0,1,1709,1,92,260,6
Goa,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),684,22,3,0,536,0,0,114,0,2,6,1
Gujarat,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),10845,1043,41,0,8420,0,0,1035,0,95,211,0
Haryana,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),4350,193,15,0,3685,1,1,286,1,45,118,5
Himachal Pradesh,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),3754,62,36,0,2598,1,1,848,0,40,163,5
Jammu & Kashmir,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),18759,389,146,0,14534,1,2,3048,1,125,458,55
Jharkhand,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),3333,27,0,0,3010,0,0,225,0,8,63,0
Karnataka,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),3157,101,4,0,2434,0,0,546,0,15,57,0
Kerala,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),8449,91,38,0,6818,0,0,1212,0,30,251,9
Lakshadweep,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),16925,857,45,0,12599,1,4,2841,3,140,412,23
Maharashtra,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),14086,1284,23,3039,7212,0,3,2297,1,85,130,12
Manipur,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),8809,0,54,560,7278,1,2,611,1,79,202,21
Meghalaya,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),3409,0,13,179,2697,0,0,403,0,24,82,11
Mizoram,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),4145,5,25,368,2937,0,0,645,0,41,109,15
Nagaland,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),5985,0,19,673,4554,0,0,570,0,17,138,14
Odisha,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),8218,172,55,307,6270,0,0,1175,0,49,169,21
Puducherry,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),683,2,1,0,565,0,0,93,0,5,17,0
Punjab,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),16527,355,92,0,13708,1,5,1759,3,112,471,21
Rajasthan,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),11622,0,69,0,9151,1,2,2055,0,71,256,17
Sikkim,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),1460,41,10,132,1171,0,1,64,0,10,29,2
Tamil Nadu,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),11359,0,0,1382,8153,0,2,1345,1,112,343,21
Tripura,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),8213,0,38,944,6828,0,0,165,0,20,203,15
Uttar Pradesh,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),30313,0,69,0,23619,1,6,5551,5,240,767,55
Uttarakhand,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),2701,0,9,570,1518,0,1,478,0,26,98,1
West Bengal,2003,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),20619,216,71,1883,15956,1,4,1659,2,248,562,17
Andaman & Nicobar Islands,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),513,9,3,0,412,0,1,69,0,7,12,0
Andhra Pradesh,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),12443,592,45,0,8409,0,0,3009,0,127,240,21
Arunachal Pradesh,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),2529,14,15,169,1942,0,0,322,0,19,45,3
Assam,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),23708,30,135,2400,16097,0,0,4061,0,235,700,50
Bihar,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),9612,15,16,0,6721,1,0,2152,1,98,605,3
Chandigarh,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),419,0,1,0,343,0,0,61,0,4,10,0
Chhattisgarh,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),8509,453,29,5505,721,1,0,1548,1,38,202,11
Dadra & Nagar Haveli,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),10453,178,29,0,8076,0,1,1717,1,96,346,9
Goa,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),659,21,1,0,531,0,0,100,0,2,3,1
Gujarat,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),10845,1043,41,0,8420,0,0,1035,0,95,211,0
Haryana,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),3807,207,15,0,3205,1,1,208,1,43,121,5
Himachal Pradesh,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),3311,72,24,0,2113,1,2,876,0,46,169,8
Jammu & Kashmir,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),18759,389,146,0,14534,1,2,3048,1,125,458,55
Jharkhand,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),3333,27,0,0,3010,0,0,225,0,8,63,0
Karnataka,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),3592,105,5,0,2776,0,0,633,0,13,60,0
Kerala,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),7865,90,38,0,6598,0,0,909,0,27,194,9
Lakshadweep,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),20082,1130,0,0,14622,0,0,3499,0,197,634,0
Maharashtra,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),13570,1241,18,2892,6820,0,3,2467,1,120,0,8
Manipur,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),8566,0,49,129,7220,1,2,864,1,76,196,28
Meghalaya,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),3393,0,33,148,2607,0,0,487,0,28,78,12
Mizoram,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),4145,5,25,368,2937,0,0,645,0,41,109,15
Nagaland,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),6324,0,19,747,4812,0,0,571,0,18,143,14
Odisha,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),8306,201,64,383,6263,0,0,1174,0,37,162,22
Puducherry,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),683,2,1,0,565,0,0,93,0,5,17,0
Punjab,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),18838,372,128,0,14421,1,3,3197,3,150,497,66
Rajasthan,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),11488,0,69,0,9065,1,1,2020,1,72,245,14
Sikkim,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),1460,41,10,132,1171,0,1,64,0,10,29,2
Tamil Nadu,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),12167,0,45,1294,9035,0,2,1295,1,109,359,27
Tripura,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),8988,0,38,1084,6884,0,0,651,0,61,255,15
Uttar Pradesh,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),31149,0,59,0,24505,1,7,5550,5,278,702,42
Uttarakhand,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),2698,0,6,0,2090,0,0,493,0,20,86,3
West Bengal,2004,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),22125,209,106,1866,17240,1,4,1666,2,247,766,18
Andaman & Nicobar Islands,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),512,9,1,0,412,0,1,69,0,7,12,1
Andhra Pradesh,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),12874,618,49,0,8547,0,4,3154,1,138,334,29
Arunachal Pradesh,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),2529,14,15,169,1942,0,0,322,0,19,45,3
Assam,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),23708,30,135,2400,16097,0,0,4061,0,235,700,50
Bihar,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),8833,11,21,0,6037,1,2,2103,1,87,556,14
Chandigarh,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),419,0,1,0,343,0,0,61,0,4,10,0
Chhattisgarh,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),9863,438,21,770,6732,1,1,1610,1,59,217,13
Dadra & Nagar Haveli,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),10443,200,23,0,7995,0,1,1821,1,81,313,8
Goa,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),545,17,2,0,410,0,0,105,0,5,5,1
Gujarat,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),10845,1043,41,0,8420,0,0,1035,0,95,211,0
Haryana,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),5862,269,10,0,4929,0,0,405,1,42,198,8
Himachal Pradesh,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),3294,73,23,0,2073,1,2,899,1,44,166,12
Jammu & Kashmir,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),18452,451,115,3506,10612,1,2,3147,1,126,465,26
Jharkhand,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),2412,89,0,0,1926,0,0,273,0,10,114,0
Karnataka,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),3772,106,6,0,2938,0,0,650,0,13,59,0
Kerala,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),7878,95,27,0,6598,0,0,943,0,42,165,8
Lakshadweep,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),20082,1130,0,0,14622,0,0,3499,0,197,634,0
Maharashtra,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),13570,1241,18,2892,6820,0,3,2467,1,120,0,8
Manipur,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),8828,0,43,8,7054,1,2,1432,0,71,198,19
Meghalaya,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),3295,8,31,172,2517,0,0,428,0,31,97,11
Mizoram,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),4476,36,33,486,3003,0,0,724,0,46,129,19
Nagaland,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),6476,0,19,752,4958,0,0,571,0,18,144,14
Odisha,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),8427,197,60,381,6401,0,0,1169,0,43,156,20
Puducherry,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),661,4,2,0,548,0,0,93,0,5,9,0
Punjab,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),18838,372,128,0,14421,1,3,3197,3,150,497,66
Rajasthan,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),10803,0,76,0,8515,1,0,1903,2,91,200,15
Sikkim,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),1579,81,13,471,898,0,1,67,0,10,36,2
Tamil Nadu,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),13108,0,44,1455,9742,0,2,1298,1,136,406,24
Tripura,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),8988,0,38,1084,6884,0,0,651,0,61,255,15
Uttar Pradesh,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),33040,0,64,0,26383,1,6,5610,5,240,683,48
Uttarakhand,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),2804,0,8,0,2120,0,0,566,1,15,91,3
West Bengal,2005,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),19067,1076,107,1580,14799,1,4,757,3,239,481,20
Andaman & Nicobar Islands,2006,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),541,22,2,0,412,0,1,69,0,8,27,0
Andhra Pradesh,2006,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),12653,588,59,0,8430,1,4,3110,1,138,292,30
Arunachal Pradesh,2006,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),2481,8,7,202,1869,0,0,313,0,21,58,3
Assam,2006,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),23708,30,135,2400,16097,0,0,4061,0,235,700,50
Bihar,2006,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),8350,22,37,0,5716,1,1,1965,1,78,517,12
Chandigarh,2006,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),419,0,1,0,343,0,0,61,0,4,10,0
Chhattisgarh,2006,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),11948,556,59,0,8540,1,3,2270,1,120,361,37
Dadra & Nagar Haveli,2006,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2006,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2006,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),9739,188,24,0,7220,0,0,1942,0,76,289,0
Goa,2006,Actual Police Strength - Armed Police,A2. Acual Armed Police (Incl. Women Police),445,16,2,0,335,0,0,86,0,1,4,1
