area_name,year,group_name,sub_group_name,police_injured_by_criminals,police_injured_by_riotous_mobs,police_injured_in_accidents,police_injured_in_dacoity_operationsother_raids,police_injured_in_terroristsextremists_operations,police_injured_on_border_duties,police_injured_total_policemen,police_killed_by_criminals,police_killed_by_riotous_mobs,police_killed_in_accidents,police_killed_in_dacoity_operationsother_raids,police_killed_in_terroristsextremists_operations,police_killed_on_border_duties,police_killed_total_policemen
Andaman & Nicobar Islands,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,3,4,1,3,0,11,0,0,2,0,3,0,5
Arunachal Pradesh,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,1,0,1,0,0,1,0,0,0,1
Bihar,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,1,0,0,0,2,0,3,0,0,0,0,2,0,2
Chandigarh,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,1,0,1,0,2
Dadra & Nagar Haveli,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,1,6,4,0,1,0,12,0,0,0,0,2,0,2
Goa,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,2,5,17,0,0,0,24,0,0,8,0,0,0,8
Haryana,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,1,1,0,0,0,2,0,0,3,0,0,0,3
Himachal Pradesh,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,3,0,0,0,0,3,0,0,0,0,0,0,0
Jammu & Kashmir,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,1,1,0,13,0,15,1,0,2,0,7,0,10
Jharkhand,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,1,0,0,0,1,0,1,0,0,0,0,1
Karnataka,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,1,15,1,1,0,0,18,0,0,1,0,0,0,1
Kerala,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,6,16,2,0,0,0,24,0,0,1,0,0,0,1
Lakshadweep,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,5,7,0,0,0,0,12,0,0,1,0,0,0,1
Maharashtra,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,4,27,1,2,0,0,34,0,0,9,0,0,0,9
Manipur,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,1,0,0,1,1,0,0,1,1,0,3
Mizoram,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
