area_name,year,group_name,age_18_25_yrs,age_25_35_yrs,age_35_45_yrs,age_45_55_yrs,age_above_55_yrs,age_total
Andaman & Nicobar Islands,2001,Natural Deaths of Policemen while in Service,0,0,0,0,1,1
Andhra Pradesh,2001,Natural Deaths of Policemen while in Service,7,39,100,76,11,233
Arunachal Pradesh,2001,Natural Deaths of Policemen while in Service,0,2,0,0,0,2
Assam,2001,Natural Deaths of Policemen while in Service,0,2,4,8,3,17
Bihar,2001,Natural Deaths of Policemen while in Service,0,7,22,27,13,69
Chandigarh,2001,Natural Deaths of Policemen while in Service,0,2,4,4,0,10
Chhattisgarh,2001,Natural Deaths of Policemen while in Service,1,4,10,7,0,22
Dadra & Nagar Haveli,2001,Natural Deaths of Policemen while in Service,0,0,0,1,0,1
Daman & Diu,2001,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Delhi,2001,Natural Deaths of Policemen while in Service,7,19,44,24,28,122
Goa,2001,Natural Deaths of Policemen while in Service,0,2,1,5,5,13
Gujarat,2001,Natural Deaths of Policemen while in Service,0,18,40,41,8,107
Haryana,2001,Natural Deaths of Policemen while in Service,0,9,31,15,2,57
Himachal Pradesh,2001,Natural Deaths of Policemen while in Service,0,1,3,4,0,8
Jammu & Kashmir,2001,Natural Deaths of Policemen while in Service,0,2,8,4,0,14
Jharkhand,2001,Natural Deaths of Policemen while in Service,1,1,1,9,1,13
Karnataka,2001,Natural Deaths of Policemen while in Service,0,15,31,81,6,133
Kerala,2001,Natural Deaths of Policemen while in Service,0,4,14,35,0,53
Lakshadweep,2001,Natural Deaths of Policemen while in Service,0,0,0,1,1,2
Madhya Pradesh,2001,Natural Deaths of Policemen while in Service,1,13,23,45,10,92
Maharashtra,2001,Natural Deaths of Policemen while in Service,14,76,123,87,25,325
Manipur,2001,Natural Deaths of Policemen while in Service,0,2,6,2,0,10
Meghalaya,2001,Natural Deaths of Policemen while in Service,1,0,0,1,0,2
Mizoram,2001,Natural Deaths of Policemen while in Service,0,2,2,1,0,5
Nagaland,2001,Natural Deaths of Policemen while in Service,2,3,2,2,0,9
Odisha,2001,Natural Deaths of Policemen while in Service,0,9,12,10,2,33
Puducherry,2001,Natural Deaths of Policemen while in Service,0,0,4,5,0,9
Punjab,2001,Natural Deaths of Policemen while in Service,1,29,41,37,1,109
Rajasthan,2001,Natural Deaths of Policemen while in Service,5,10,37,23,6,81
Sikkim,2001,Natural Deaths of Policemen while in Service,0,0,1,0,1,2
Tamil Nadu,2001,Natural Deaths of Policemen while in Service,1,16,41,53,23,134
Tripura,2001,Natural Deaths of Policemen while in Service,0,2,0,4,5,11
Uttar Pradesh,2001,Natural Deaths of Policemen while in Service,0,6,18,33,12,69
Uttarakhand,2001,Natural Deaths of Policemen while in Service,0,3,4,9,0,16
West Bengal,2001,Natural Deaths of Policemen while in Service,5,21,49,90,76,241
Andaman & Nicobar Islands,2002,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Andhra Pradesh,2002,Natural Deaths of Policemen while in Service,3,30,55,110,14,212
Arunachal Pradesh,2002,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Assam,2002,Natural Deaths of Policemen while in Service,0,6,4,24,11,45
Bihar,2002,Natural Deaths of Policemen while in Service,0,4,10,35,6,55
Chandigarh,2002,Natural Deaths of Policemen while in Service,0,1,3,6,1,11
Chhattisgarh,2002,Natural Deaths of Policemen while in Service,0,3,14,3,0,20
Dadra & Nagar Haveli,2002,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Daman & Diu,2002,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Delhi,2002,Natural Deaths of Policemen while in Service,1,9,14,13,4,41
Goa,2002,Natural Deaths of Policemen while in Service,0,1,8,0,1,10
Gujarat,2002,Natural Deaths of Policemen while in Service,0,13,46,39,6,104
Haryana,2002,Natural Deaths of Policemen while in Service,0,9,19,37,1,66
Himachal Pradesh,2002,Natural Deaths of Policemen while in Service,2,1,3,5,4,15
Jammu & Kashmir,2002,Natural Deaths of Policemen while in Service,0,3,4,9,3,19
Jharkhand,2002,Natural Deaths of Policemen while in Service,2,6,11,11,1,31
Karnataka,2002,Natural Deaths of Policemen while in Service,1,22,28,59,8,118
Kerala,2002,Natural Deaths of Policemen while in Service,0,5,13,34,0,52
Lakshadweep,2002,Natural Deaths of Policemen while in Service,0,0,0,0,1,1
Madhya Pradesh,2002,Natural Deaths of Policemen while in Service,0,13,38,48,20,119
Maharashtra,2002,Natural Deaths of Policemen while in Service,4,66,143,128,50,391
Manipur,2002,Natural Deaths of Policemen while in Service,2,3,7,6,0,18
Meghalaya,2002,Natural Deaths of Policemen while in Service,2,0,0,4,0,6
Mizoram,2002,Natural Deaths of Policemen while in Service,0,1,3,4,0,8
Nagaland,2002,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Odisha,2002,Natural Deaths of Policemen while in Service,0,5,8,7,4,24
Puducherry,2002,Natural Deaths of Policemen while in Service,0,0,3,1,4,8
Punjab,2002,Natural Deaths of Policemen while in Service,4,27,39,37,3,110
Rajasthan,2002,Natural Deaths of Policemen while in Service,1,17,19,21,5,63
Sikkim,2002,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Tamil Nadu,2002,Natural Deaths of Policemen while in Service,0,22,70,108,45,245
Tripura,2002,Natural Deaths of Policemen while in Service,0,0,6,15,8,29
Uttar Pradesh,2002,Natural Deaths of Policemen while in Service,1,7,42,33,9,92
Uttarakhand,2002,Natural Deaths of Policemen while in Service,0,3,11,13,5,32
West Bengal,2002,Natural Deaths of Policemen while in Service,2,4,25,22,6,59
Andaman & Nicobar Islands,2003,Natural Deaths of Policemen while in Service,0,0,0,6,1,7
Andhra Pradesh,2003,Natural Deaths of Policemen while in Service,6,43,73,160,15,297
Arunachal Pradesh,2003,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Assam,2003,Natural Deaths of Policemen while in Service,0,3,4,23,11,41
Bihar,2003,Natural Deaths of Policemen while in Service,0,7,19,29,3,58
Chandigarh,2003,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Chhattisgarh,2003,Natural Deaths of Policemen while in Service,0,10,16,5,1,32
Dadra & Nagar Haveli,2003,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Daman & Diu,2003,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Delhi,2003,Natural Deaths of Policemen while in Service,1,17,36,55,29,138
Goa,2003,Natural Deaths of Policemen while in Service,1,1,3,4,1,10
Gujarat,2003,Natural Deaths of Policemen while in Service,2,19,58,55,8,142
Haryana,2003,Natural Deaths of Policemen while in Service,0,15,22,26,0,63
Himachal Pradesh,2003,Natural Deaths of Policemen while in Service,1,4,6,3,2,16
Jammu & Kashmir,2003,Natural Deaths of Policemen while in Service,0,1,8,11,6,26
Jharkhand,2003,Natural Deaths of Policemen while in Service,1,2,2,1,2,8
Karnataka,2003,Natural Deaths of Policemen while in Service,0,16,58,106,2,182
Kerala,2003,Natural Deaths of Policemen while in Service,1,2,15,30,0,48
Lakshadweep,2003,Natural Deaths of Policemen while in Service,0,0,1,0,1,2
Madhya Pradesh,2003,Natural Deaths of Policemen while in Service,6,16,65,69,37,193
Maharashtra,2003,Natural Deaths of Policemen while in Service,14,71,132,131,40,388
Manipur,2003,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Meghalaya,2003,Natural Deaths of Policemen while in Service,0,0,1,0,0,1
Mizoram,2003,Natural Deaths of Policemen while in Service,1,4,7,4,0,16
Nagaland,2003,Natural Deaths of Policemen while in Service,0,4,2,3,0,9
Odisha,2003,Natural Deaths of Policemen while in Service,3,0,5,10,6,24
Puducherry,2003,Natural Deaths of Policemen while in Service,0,1,2,4,1,8
Punjab,2003,Natural Deaths of Policemen while in Service,0,19,38,50,6,113
Rajasthan,2003,Natural Deaths of Policemen while in Service,4,13,46,30,4,97
Sikkim,2003,Natural Deaths of Policemen while in Service,0,0,5,5,0,10
Tamil Nadu,2003,Natural Deaths of Policemen while in Service,1,15,62,101,14,193
Tripura,2003,Natural Deaths of Policemen while in Service,0,6,10,4,0,20
Uttar Pradesh,2003,Natural Deaths of Policemen while in Service,0,14,29,26,4,73
Uttarakhand,2003,Natural Deaths of Policemen while in Service,1,4,6,4,0,15
West Bengal,2003,Natural Deaths of Policemen while in Service,2,17,37,118,93,267
Andaman & Nicobar Islands,2004,Natural Deaths of Policemen while in Service,0,1,0,4,0,5
Andhra Pradesh,2004,Natural Deaths of Policemen while in Service,3,23,77,113,8,224
Arunachal Pradesh,2004,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Assam,2004,Natural Deaths of Policemen while in Service,3,1,3,19,3,29
Bihar,2004,Natural Deaths of Policemen while in Service,0,10,40,37,6,93
Chandigarh,2004,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Chhattisgarh,2004,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Dadra & Nagar Haveli,2004,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Daman & Diu,2004,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Delhi,2004,Natural Deaths of Policemen while in Service,1,28,38,51,12,130
Goa,2004,Natural Deaths of Policemen while in Service,3,2,4,1,4,14
Gujarat,2004,Natural Deaths of Policemen while in Service,0,18,60,62,11,151
Haryana,2004,Natural Deaths of Policemen while in Service,0,4,21,27,3,55
Himachal Pradesh,2004,Natural Deaths of Policemen while in Service,0,1,5,5,3,14
Jammu & Kashmir,2004,Natural Deaths of Policemen while in Service,0,4,13,2,1,20
Jharkhand,2004,Natural Deaths of Policemen while in Service,2,6,11,11,1,31
Karnataka,2004,Natural Deaths of Policemen while in Service,2,18,46,81,14,161
Kerala,2004,Natural Deaths of Policemen while in Service,0,0,9,28,0,37
Lakshadweep,2004,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Madhya Pradesh,2004,Natural Deaths of Policemen while in Service,3,15,32,39,18,107
Maharashtra,2004,Natural Deaths of Policemen while in Service,0,38,158,155,35,386
Manipur,2004,Natural Deaths of Policemen while in Service,0,2,6,7,1,16
Meghalaya,2004,Natural Deaths of Policemen while in Service,0,6,9,6,3,24
Mizoram,2004,Natural Deaths of Policemen while in Service,0,1,2,1,0,4
Nagaland,2004,Natural Deaths of Policemen while in Service,1,0,5,1,1,8
Odisha,2004,Natural Deaths of Policemen while in Service,0,2,6,5,1,14
Puducherry,2004,Natural Deaths of Policemen while in Service,0,0,2,5,3,10
Punjab,2004,Natural Deaths of Policemen while in Service,0,29,63,45,8,145
Rajasthan,2004,Natural Deaths of Policemen while in Service,0,23,35,30,6,94
Sikkim,2004,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Tamil Nadu,2004,Natural Deaths of Policemen while in Service,0,16,55,103,27,201
Tripura,2004,Natural Deaths of Policemen while in Service,0,1,5,10,6,22
Uttar Pradesh,2004,Natural Deaths of Policemen while in Service,1,8,16,19,11,55
Uttarakhand,2004,Natural Deaths of Policemen while in Service,1,2,9,2,1,15
West Bengal,2004,Natural Deaths of Policemen while in Service,0,13,31,46,52,142
Andaman & Nicobar Islands,2005,Natural Deaths of Policemen while in Service,1,0,4,5,0,10
Andhra Pradesh,2005,Natural Deaths of Policemen while in Service,1,28,47,107,12,195
Arunachal Pradesh,2005,Natural Deaths of Policemen while in Service,0,0,2,0,0,2
Assam,2005,Natural Deaths of Policemen while in Service,0,7,12,9,1,29
Bihar,2005,Natural Deaths of Policemen while in Service,0,8,37,22,8,75
Chandigarh,2005,Natural Deaths of Policemen while in Service,1,1,4,2,1,9
Chhattisgarh,2005,Natural Deaths of Policemen while in Service,1,2,19,22,5,49
Dadra & Nagar Haveli,2005,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Daman & Diu,2005,Natural Deaths of Policemen while in Service,0,0,0,0,0,0
Delhi,2005,Natural Deaths of Policemen while in Service,0,17,52,72,36,177
Goa,2005,Natural Deaths of Policemen while in Service,0,3,2,6,2,13
Gujarat,2005,Natural Deaths of Policemen while in Service,0,12,43,61,12,128
