column_a,column_b,column_c,column_d,column_e,column_f,column_g,column_h,column_i,column_j,column_k
STATE/UT,YEAR,Place Of Occurrence,Dacoity (Section 395-398 IPC) - Number of cases registered,Dacoity (Section 395-398 IPC) - Value Of Property Stolen (in rupees),"Robbery(Section 392-394, 397, 398 IPC) - Number of cases registered","Robbery(Section 392-394, 397, 398 IPC) - Value Of Property Stolen (in rupees)","Burglary(Section 449-452, 454, 455, 457-460 IPC) - Number of cases registered","Burglary(Section 449-452, 454, 455, 457-460 IPC) - Value Of Property Stolen (in rupees)",Theft (Section 379-382 IPC) - Number of cases registered,Theft (Section 379-382 IPC) - Value Of Property Stolen (in rupees)
Andhra Pradesh,2001,RESIDENTIAL PREMISES,100,4446961,177,5962460,5158,105324332,4257,53517835
Andhra Pradesh,2001,HIGH-WAY,57,5340335,172,6364866,31,2000574,74,1593092
Andhra Pradesh,2001,RIVER & SEA,2,145345,11,209330,101,1412516,110,1610200
Andhra Pradesh,2001,RAILWAYS,8,1750800,19,304336,6,24392,943,16418110
Andhra Pradesh,2001,RUNNING TRAINS,5,75000,3,164000,0,0,296,6170175
Andhra Pradesh,2001,OTHERS RLY.,3,1675800,16,140336,6,24392,647,10247935
Andhra Pradesh,2001,BANKS,0,0,2,151200,21,3300,16,637735
Andhra Pradesh,2001,COMMERCIAL ESTABLISHMENTS,10,11300237,16,816006,1041,26920123,2502,20121181
Andhra Pradesh,2001,OTHER PLACES,37,6144020,232,9064079,862,11334111,8849,130206356
Andhra Pradesh,2001,TOTAL (MANUAL),214,29127698,629,22872277,7220,147019348,16751,224104509
Andhra Pradesh,2001,TOTAL COMPUTER FROM 1 TO 7,214,29127698,629,22872277,7220,147019348,16751,224104509
Andhra Pradesh,2002,RESIDENTIAL PREMISES,110,11725067,230,5962470,5904,130934765,6129,73757449
Andhra Pradesh,2002,HIGH-WAY,36,6553957,164,4317745,11,234000,204,1647150
Andhra Pradesh,2002,RIVER & SEA,0,0,0,0,0,0,0,0
Andhra Pradesh,2002,RAILWAYS,3,170280,16,909538,9,23215,1123,15932976
Andhra Pradesh,2002,RUNNING TRAINS,0,0,3,61756,0,0,476,8662864
Andhra Pradesh,2002,OTHERS RLY.,3,170280,13,847782,9,23215,647,7270112
Andhra Pradesh,2002,BANKS,1,201100,1,57460,27,10137151,23,1573300
Andhra Pradesh,2002,COMMERCIAL ESTABLISHMENTS,1,370000,19,1588507,1083,26763811,2911,26244769
Andhra Pradesh,2002,OTHER PLACES,46,5820231,218,6635922,594,8131774,8832,122473193
Andhra Pradesh,2002,TOTAL (MANUAL),197,24840635,648,19471642,7628,176224716,19222,241628837
Andhra Pradesh,2002,TOTAL COMPUTER FROM 1 TO 7,197,24840635,648,19471642,7628,176224716,19222,241628837
Andhra Pradesh,2003,RESIDENTIAL PREMISES,86,7996473,254,8948027,6504,146350622,7487,84930387
Andhra Pradesh,2003,HIGH-WAY,34,9123386,120,5376497,20,128500,130,12032158
Andhra Pradesh,2003,RIVER & SEA,1,9000,1,12000,0,0,72,217200
Andhra Pradesh,2003,RAILWAYS,8,60500,43,1073667,2,1000,1151,16493031
Andhra Pradesh,2003,RUNNING TRAINS,1,6000,7,255500,0,0,503,9727702
Andhra Pradesh,2003,OTHERS RLY.,7,54500,36,818167,2,1000,648,6765329
Andhra Pradesh,2003,BANKS,1,5551698,1,200000,5,53713,5,188130
Andhra Pradesh,2003,COMMERCIAL ESTABLISHMENTS,5,15041740,16,594264,1330,29024934,2991,42500176
Andhra Pradesh,2003,OTHER PLACES,41,5067214,225,6138874,1189,20230075,11572,196938002
Andhra Pradesh,2003,TOTAL (MANUAL),176,42850011,660,22343329,9050,195788844,23408,353299084
Andhra Pradesh,2004,RESIDENTIAL PREMISES,120,6878778,257,8628298,6249,159433240,7710,96392330
Andhra Pradesh,2004,HIGH-WAY,51,6911813,126,5527927,23,1641481,333,16496345
Andhra Pradesh,2004,RIVER & SEA,0,0,2,10500,0,0,71,164300
Andhra Pradesh,2004,RAILWAYS,4,36000,21,37366,19,43851,851,17054851
Andhra Pradesh,2004,RUNNING TRAINS,1,32000,1,13000,0,0,389,8125932
Andhra Pradesh,2004,OTHERS RLY.,3,4000,20,24366,19,43851,462,8928919
Andhra Pradesh,2004,BANKS,0,0,0,0,25,105300,93,1437493
Andhra Pradesh,2004,COMMERCIAL ESTABLISHMENTS,4,175000,18,736388,1083,29873637,2656,55520704
Andhra Pradesh,2004,OTHER PLACES,20,3204473,172,7733785,1058,25284205,11864,203962563
Andhra Pradesh,2004,TOTAL (MANUAL),199,17206064,596,22674264,8457,216381714,23578,391028586
Andhra Pradesh,2005,RESIDENTIAL PREMISES,109,9020546,262,10040773,5502,173173164,6920,119707956
Andhra Pradesh,2005,HIGH-WAY,59,10883700,165,7231713,2,210000,150,6593170
