column_a,column_b,column_c,column_d,column_e,column_f,column_g,column_h,column_i,column_j,column_k
STATE/UT,YEAR,Place Of Occurrence,Dacoity (Section 395-398 IPC) - Number of cases registered,Dacoity (Section 395-398 IPC) - Value Of Property Stolen (in rupees),"Robbery(Section 392-394, 397, 398 IPC) - Number of cases registered","Robbery(Section 392-394, 397, 398 IPC) - Value Of Property Stolen (in rupees)","Burglary(Section 449-452, 454, 455, 457-460 IPC) - Number of cases registered","Burglary(Section 449-452, 454, 455, 457-460 IPC) - Value Of Property Stolen (in rupees)",Theft (Section 379-382 IPC) - Number of cases registered,Theft (Section 379-382 IPC) - Value Of Property Stolen (in rupees)
Andhra Pradesh,2013,RESIDENTIAL PREMISES,43,21295800,229,23719985,7264,409568072,10539,470463463
Andhra Pradesh,2013,HIGH-WAY,31,6713585,109,11701238,0,0,528,24368531
Andhra Pradesh,2013,RIVER & SEA,0,0,1,8000,0,0,58,6612000
Andhra Pradesh,2013,RAILWAYS,3,37500,14,246920,0,0,1627,75617986
Andhra Pradesh,2013,RUNNING TRAINS,2,4000,4,58000,0,0,818,33655111
Andhra Pradesh,2013,OTHERS RLY.,1,33500,10,188920,0,0,809,41962875
Andhra Pradesh,2013,BANKS,0,0,4,0,20,58578851,32,9881012
Andhra Pradesh,2013,COMMERCIAL ESTABLISHMENTS,3,209000,27,2553995,796,75936113,2578,157278686
Andhra Pradesh,2013,OTHER PLACES,45,17679650,325,30644184,1740,121416764,15670,812260965
Andhra Pradesh,2013,TOTAL (MANUAL),125,45935535,709,68874322,9820,665499800,31032,1556482643
Andhra Pradesh,2013,TOTAL COMPUTER FROM 1 TO 7,125,45935535,709,68874322,9820,665499800,31032,1556482643
Arunachal Pradesh,2013,RESIDENTIAL PREMISES,6,992000,19,331880,85,6772760,138,20473100
Arunachal Pradesh,2013,HIGH-WAY,3,24500,12,315500,0,0,7,407858
Arunachal Pradesh,2013,RIVER & SEA,0,0,1,9000,0,0,1,300000
Arunachal Pradesh,2013,RAILWAYS,0,0,0,0,0,0,0,0
Arunachal Pradesh,2013,RUNNING TRAINS,0,0,0,0,0,0,0,0
Arunachal Pradesh,2013,OTHERS RLY.,0,0,0,0,0,0,0,0
Arunachal Pradesh,2013,BANKS,0,0,2,9556465,0,0,0,0
Arunachal Pradesh,2013,COMMERCIAL ESTABLISHMENTS,0,0,13,573697,54,10548035,168,4095043
Arunachal Pradesh,2013,OTHER PLACES,15,295400,28,3877825,57,2440533,200,48995908
Arunachal Pradesh,2013,TOTAL (MANUAL),24,1311900,75,14664367,196,19761328,514,74271909
Arunachal Pradesh,2013,TOTAL COMPUTER FROM 1 TO 7,24,1311900,75,14664367,196,19761328,514,74271909
Assam,2013,RESIDENTIAL PREMISES,133,12380547,313,20039790,2652,41874757,6449,247764676
Assam,2013,HIGH-WAY,12,1560800,92,706420,17,47240,22,449913
