state_ut,year,residential_premises_dacoity,residential_premises_robbery,residential_premises_burglary,residential_premises_theft,highways_dacoity,highways_robbery,highways_burglary,highways_theft,river_and_sea_dacoity,river_and_sea_robbery,river_and_sea_burglary,river_and_sea_theft,railways_dacoity,railways_robbery,railways_burglary,railways_theft,banks_dacoity,banks_robbery,banks_burglary,banks_theft,commercial_establishments_dacoity,commercial_establishments_robbery,commercial_establishments_burglary,commercial_establishments_theft,other_places_dacoity,other_places_robbery,other_places_burglary,other_places_theft,total_dacoity,total_robbery,total_burglary,total_theft
ANDHRA PRADESH,2001,100,177,5158,4257,57,172,31,74,2,11,101,110,8,19,6,943,0,2,21,16,10,16,1041,2502,37,232,862,8849,214,629,7220,16751
ARUNACHAL PRADESH,2001,9,26,99,131,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,5,18,84,54,8,40,65,249,22,84,248,443
ASSAM,2001,381,191,1695,2901,46,136,7,87,1,0,0,8,4,5,3,39,1,11,5,23,22,83,442,967,77,261,271,1342,532,687,2423,5367
BIHAR,2001,818,326,2486,4741,162,826,0,257,1,0,0,0,50,52,0,1432,23,11,11,3,27,108,231,686,210,880,505,2582,1291,2203,3233,9701
CHHATTISGARH,2001,54,42,3336,1417,10,38,12,72,0,0,0,2,2,9,0,179,2,1,6,8,4,9,370,299,15,239,420,2835,87,338,4144,4812
GOA,2001,3,10,185,65,0,3,0,3,0,0,0,1,0,0,1,6,0,0,7,1,0,4,109,64,4,8,57,436,7,25,359,576
GUJARAT,2001,105,181,3217,3639,58,113,2,116,2,5,0,12,6,52,0,356,2,4,32,15,39,70,889,1343,115,566,1002,10353,327,991,5142,15834
HARYANA,2001,25,52,2072,1930,11,71,12,88,0,0,0,0,0,8,72,402,0,2,19,1,5,54,534,684,36,210,400,3012,77,397,3109,6117
HIMACHAL PRADESH,2001,0,2,328,55,0,2,0,10,0,0,0,0,0,1,0,1,0,1,75,1,1,3,235,45,3,19,206,488,4,28,844,600
JAMMU & KASHMIR,2001,11,65,879,447,0,3,2,19,0,0,0,0,0,0,0,0,4,3,9,0,1,20,235,193,8,70,220,1260,24,161,1345,1919
JHARKHAND,2001,339,175,1158,2377,209,337,0,110,0,0,0,0,13,17,0,187,4,3,1,37,16,11,15,380,55,104,92,736,636,647,1266,3827
KARNATAKA,2001,70,248,4194,4505,16,57,0,44,0,0,0,0,3,16,71,457,0,2,62,61,14,53,1026,1322,75,471,1041,6479,178,847,6394,12868
KERALA,2001,45,113,2409,1657,16,36,91,262,0,1,1,4,0,1,2,198,0,0,9,1,28,41,844,529,87,325,1118,2790,176,517,4474,5441
MADHYA PRADESH,2001,59,449,9551,8173,31,186,13,538,0,5,0,45,3,54,25,1106,4,2,52,7,11,81,1107,3117,58,987,2801,7277,166,1764,13549,20263
MAHARASHTRA,2001,162,444,9817,7470,76,296,0,326,0,1,0,9,8,57,69,3037,5,9,147,381,39,184,2697,3821,239,1248,2343,24822,529,2239,15073,39866
MANIPUR,2001,1,3,28,42,17,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,101,2,11,20,71,20,19,75,217
MEGHALAYA,2001,29,14,77,67,25,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,6,34,17,38,72,58,187,97,125,170,271
MIZORAM,2001,3,6,184,348,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,237,0,16,116,286,3,23,417,878
NAGALAND,2001,2,12,66,115,3,41,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,11,65,46,6,63,32,82,11,129,163,258
ODISHA,2001,90,255,2341,2191,26,268,0,95,0,0,0,0,5,14,2,393,6,4,5,0,22,90,383,616,50,327,362,2327,199,958,3093,5622
PUNJAB,2001,17,39,1233,994,3,6,0,44,0,0,0,3,0,3,0,41,0,3,15,4,6,5,299,342,19,75,355,1595,45,131,1902,3023
RAJASTHAN,2001,9,26,4377,2413,15,60,0,112,0,0,0,0,0,5,0,564,0,0,31,1,6,18,1875,1253,30,780,1001,12596,60,889,7284,16939
SIKKIM,2001,0,0,50,27,0,0,0,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,8,0,1,17,22,0,3,76,74
TAMIL NADU,2001,61,142,3680,3390,24,52,0,263,0,0,0,7,2,11,18,256,1,3,29,44,22,66,589,2255,48,398,1649,10494,158,672,5965,16709
TRIPURA,2001,23,35,161,186,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,8,42,0,0,29,31,26,63,198,259
UTTAR PRADESH,2001,402,504,6693,6383,208,2015,0,6121,1,0,0,0,21,49,4,3141,0,13,2,1,36,34,149,808,237,1210,1563,10557,905,3825,8411,27011
UTTARAKHAND,2001,18,38,376,598,4,68,7,72,0,0,0,0,0,2,12,52,1,0,1,0,2,4,45,169,7,79,92,528,32,191,533,1419
WEST BENGAL,2001,75,106,300,5369,40,129,0,159,0,0,0,3,10,22,0,1038,4,6,0,0,17,57,44,1875,128,340,82,5801,274,660,426,14245
TOTAL (STATES),2001,2911,3681,66150,65888,1058,4957,177,8922,7,23,102,205,135,399,285,13828,57,82,540,605,340,1071,13503,23775,1592,9032,16779,118087,6100,19245,97536,231310
A & N ISLANDS,2001,0,0,47,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,6,0,4,10,40,0,4,64,65
CHANDIGARH,2001,2,3,239,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,79,74,2,18,44,821,5,22,364,1529
D & N HAVELI,2001,0,0,18,22,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,10,0,2,3,10,0,2,34,45
DAMAN & DIU,2001,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,6,0,0,2,30,0,0,43,40
DELHI,2001,27,105,2175,2776,3,30,0,0,0,0,0,0,1,11,2,1430,0,0,0,0,5,58,624,1402,12,420,228,13668,48,624,3029,19276
LAKSHADWEEP,2001,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,10
PUDUCHERRY,2001,1,2,66,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,37,0,2,18,288,1,4,111,528
TOTAL (UTs),2001,30,110,2566,3663,3,30,0,0,0,0,0,4,1,11,2,1430,0,0,3,0,6,59,770,1535,14,446,305,14861,54,656,3646,21493
TOTAL (ALL-INDIA),2001,2941,3791,68716,69551,1061,4987,177,8922,7,23,102,209,136,410,287,15258,57,82,543,605,346,1130,14273,25310,1606,9478,17084,132948,6154,19901,101182,252803
ANDHRA PRADESH,2002,110,230,5904,6129,36,164,11,204,0,0,0,0,3,16,9,1123,1,1,27,23,1,19,1083,2911,46,218,594,8832,197,648,7628,19222
ARUNACHAL PRADESH,2002,18,75,195,297,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,14,34,40,2,6,20,55,22,96,249,395
ASSAM,2002,312,271,1635,3108,49,81,0,64,2,0,2,4,3,11,88,185,3,1,0,5,48,88,475,727,56,155,304,1462,473,607,2504,5555
BIHAR,2002,833,436,2434,4850,149,964,0,252,0,0,0,0,58,55,9,1270,15,10,0,6,36,94,269,785,198,729,476,2982,1289,2288,3188,10145
