state_ut,year,residential_premises_dacoity,residential_premises_robbery,residential_premises_burglary,residential_premises_theft,highways_dacoity,highways_robbery,highways_burglary,highways_theft,river_and_sea_dacoity,river_and_sea_robbery,river_and_sea_burglary,river_and_sea_theft,railways_dacoity,railways_robbery,railways_burglary,railways_theft,banks_dacoity,banks_robbery,banks_burglary,banks_theft,commercial_establishments_dacoity,commercial_establishments_robbery,commercial_establishments_burglary,commercial_establishments_theft,other_places_dacoity,other_places_robbery,other_places_burglary,other_places_theft,total_dacoity,total_robbery,total_burglary,total_theft
Andhra Pradesh,2013,43,229,7264,10539,31,109,0,528,0,1,0,58,3,14,0,1627,0,4,20,32,3,27,796,2578,45,325,1740,15670,125,709,9820,31032
Arunachal Pradesh,2013,6,19,85,138,3,12,0,7,0,1,0,1,0,0,0,0,0,2,0,0,0,13,54,168,15,28,57,200,24,75,196,514
Assam,2013,133,313,2652,6449,12,92,17,22,0,0,0,0,0,0,7,21,1,1,1,3,8,80,542,797,92,437,1072,3223,246,923,4291,10515
Bihar,2013,260,85,3084,9360,240,1244,9,588,0,0,0,0,9,33,3,1350,9,2,0,7,19,38,312,2129,42,119,777,7989,579,1521,4185,21423
Chhattisgarh,2013,7,15,2759,1356,7,51,67,37,1,0,0,1,0,3,2,193,0,2,10,0,1,9,313,402,31,271,376,3200,47,351,3527,5189
Goa,2013,2,7,229,195,3,4,0,6,0,0,0,0,0,1,0,26,0,0,2,4,6,25,154,907,0,0,0,0,11,37,385,1138
Gujarat,2013,89,186,2919,3656,24,68,15,105,0,1,0,14,2,14,0,678,0,2,15,32,38,66,883,1406,135,1092,1148,9422,288,1429,4980,15313
Haryana,2013,21,81,3618,6070,43,167,414,1378,0,0,0,0,1,20,1,453,0,3,22,2,18,74,1157,2914,71,418,909,7803,154,763,6121,18620
Himachal Pradesh,2013,4,3,443,73,2,1,0,22,0,0,0,0,1,0,0,3,0,0,9,4,1,1,145,62,6,9,335,654,14,14,932,818
Jammu & Kashmir,2013,0,15,801,359,1,1,9,23,0,0,0,0,0,18,0,4,0,1,0,0,0,1,231,91,5,51,346,1385,6,87,1387,1862
Jharkhand,2013,125,88,924,1850,60,259,0,141,0,0,0,0,9,14,6,409,0,2,0,1,6,3,105,1064,32,202,304,3374,232,568,1339,6839
Karnataka,2013,54,201,3903,5078,33,93,5,122,0,0,0,1,7,72,2,738,0,5,55,15,11,83,845,2256,175,1696,1193,11546,280,2150,6003,19756
Kerala,2013,21,131,1494,719,7,55,0,101,0,0,1,5,0,3,2,180,0,0,10,62,4,34,496,361,35,561,926,2651,67,784,2929,4079
Madhya Pradesh,2013,38,212,8318,7642,10,256,24,781,0,15,9,77,0,56,10,2761,0,2,11,64,3,67,993,2751,47,1224,1642,10969,98,1832,11007,25045
Maharashtra,2013,140,423,11977,8897,77,555,52,251,0,1,1,676,7,309,0,2403,1,5,66,44,50,158,2458,2945,558,8295,3774,37454,833,9746,18328,52670
Manipur,2013,0,1,18,221,0,1,3,39,0,0,3,1,0,0,0,0,0,0,0,2,0,0,27,224,0,1,34,367,0,3,85,854
Meghalaya,2013,7,6,57,121,18,9,0,14,0,0,0,0,0,0,0,0,0,0,1,18,1,8,61,123,25,45,68,341,51,68,187,617
Mizoram,2013,1,0,268,417,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,112,0,2,19,114,4,3,374,643
Nagaland,2013,2,9,17,170,1,22,1,11,0,4,0,8,0,3,3,9,0,0,0,2,0,5,5,43,0,6,10,163,3,49,36,406
Odisha,2013,104,199,2199,2424,97,421,2,258,0,0,0,0,9,45,28,633,3,8,23,0,60,162,663,725,163,843,832,6004,436,1678,3747,10044
Punjab,2013,4,14,1289,992,3,27,6,141,0,0,0,0,0,3,2,85,0,2,27,5,0,8,562,850,11,87,821,2812,18,141,2707,4885
Rajasthan,2013,2,25,3370,3009,25,107,0,98,0,0,0,0,4,3,0,781,0,1,31,2,4,9,1228,1043,24,920,1154,23995,59,1065,5783,28928
Sikkim,2013,0,2,62,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,19,22,0,6,85,122
Tamil Nadu,2013,27,566,3577,3048,17,197,0,151,1,3,0,9,1,43,7,359,0,1,24,6,4,201,571,1948,33,1175,946,6429,83,2186,5125,11950
Tripura,2013,8,19,114,292,0,4,0,3,0,0,0,0,0,1,0,5,0,0,3,1,1,1,46,26,0,19,60,206,9,44,223,533
Uttar Pradesh,2013,395,210,4806,5470,77,1584,0,24957,0,0,0,0,8,52,1,2870,7,2,5,2,13,22,271,1213,96,1721,1600,7437,596,3591,6683,41949
Uttarakhand,2013,15,54,156,498,0,20,0,48,0,0,0,0,0,0,0,73,0,0,2,0,1,4,21,85,1,60,69,892,17,138,248,1596
West Bengal,2013,79,91,295,6065,25,78,2,180,0,0,0,0,0,9,0,965,7,3,7,2,31,62,41,2888,64,404,95,12804,206,647,440,22904
Total (State),2013,1587,3204,66698,85208,819,5439,626,30012,2,26,14,851,61,716,74,16626,28,48,344,310,283,1162,13071,30111,1706,20013,20326,177126,4486,30608,101153,340244
A&N Islands,2013,0,1,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,13,30,1,1,42,37
Chandigarh,2013,0,9,184,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,12,73,226,9,41,1,885,11,62,258,1519
D&N Haveli,2013,1,0,15,12,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,2,14,1,0,21,58
Daman & Diu,2013,2,1,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,2,2,0,2,12,6,1,19,38
Delhi UT,2013,5,121,1908,10055,1,37,0,423,0,0,0,0,0,25,0,1426,0,0,0,20,6,82,551,1567,21,980,376,16633,33,1245,2835,30124
Lakshadweep,2013,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8
Puducherry,2013,0,2,48,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,21,30,0,7,0,507,1,10,71,594
Total (UTs),2013,8,134,2189,10559,1,37,0,445,0,0,0,0,0,25,0,1426,0,0,2,30,11,95,663,1837,33,1028,394,18081,53,1319,3248,32378
