states_uts,year,residence_dacoity_cases_reported,residence_dacoity_value_of_property_stolen,residence_robbery_cases_reported,residence_robbery_value_of_property_stolen,residence_burglary_cases_reported,residence_burglary_value_of_property_stolen,residence_theft_cases_reported,residence_theft_value_of_property_stolen,highways_dacoity_cases_reported,highways_dacoity_value_of_property_stolen,highways_robbery_cases_reported,highways_robbery_value_of_property_stolen,highways_burglary_cases_reported,highways_burglary_value_of_property_stolen,highways_theft_cases_reported,highways_theft_value_of_property_stolen,riverorsea_dacoity_cases_reported,riverorsea_dacoity_value_of_property_stolen,riverorsea_robbery_cases_reported,riverorsea_robbery_value_of_property_stolen,riverorsea_burglary_cases_reported,riverorsea_burglary_value_of_property_stolen,riverorsea_theft_cases_reported,riverorsea_theft_value_of_property_stolen,railways_dacoity_cases_reported,railways_dacoity_value_of_property_stolen,railways_robbery_cases_reported,railways_robbery_value_of_property_stolen,railways_burglary_cases_reported,railways_burglary_value_of_property_stolen,railways_theft_cases_reported,railways_theft_value_of_property_stolen,religious_places_dacoity_cases_reported,religious_places_dacoity_value_of_property_stolen,religious_places_robbery_cases_reported,religious_places_robbery_value_of_property_stolen,religious_places_burglary_cases_reported,religious_places_burglary_value_of_property_stolen,religious_places_theft_cases_reported,religious_places_theft_value_of_property_stolen,atm_dacoity_cases_reported,atm_dacoity_value_of_property_stolen,atm_robbery_cases_reported,atm_robbery_value_of_property_stolen,atm_burglary_cases_reported,atm_burglary_value_of_property_stolen,atm_theft_cases_reported,atm_theft_value_of_property_stolen,bank_dacoity_cases_reported,bank_dacoity_value_of_property_stolen,bank_robbery_cases_reported,bank_robbery_value_of_property_stolen,bank_burglary_cases_reported,bank_burglary_value_of_property_stolen,bank_theft_cases_reported,bank_theft_value_of_property_stolen,commest_dacoity_cases_reported,commest_dacoity_value_of_property_stolen,commest_robbery_cases_reported,commest_robbery_value_of_property_stolen,commest_burglary_cases_reported,commest_burglary_value_of_property_stolen,commest_theft_cases_reported,commest_theft_value_of_property_stolen,otherplaces_dacoity_cases_reported,otherplaces_dacoity_value_of_property_stolen,otherplaces_robbery_cases_reported,otherplaces_robbery_value_of_property_stolen,otherplaces_burglary_cases_reported,otherplaces_burglary_value_of_property_stolen,otherplaces_theft_cases_reported,otherplaces_theft_value_of_property_stolen,total_dacoity_cases_reported,total_dacoity_value_of_property_stolen,total_robbery_cases_reported,total_robbery_value_of_property_stolen,total_burglary_cases_reported,total_burglary_value_of_property_stolen,total_theft_cases_reported,total_theft_value_of_property_stolen
Andhra Pradesh,2014,27,7983001,124,10577950,3530,226363051,5757,199348324,25,11356187,155,9135413,1,65000,2063,133931812,false,0,1,25000,0,0,6,48500,2,15000,11,4015320,0,0,1499,57043722,1,30000,48,7813627,137,5771775,121,4044289,0,0,0,0,11,1216300,57,1565651,0,0,0,0,4,215000,70,2597500,2,5656000,4,1537200,453,58698377,1047,44014781,18,2112180,90,8044133,583,29022813,4997,199285711,75,27152368,433,41148643,4719,321352316,15617,641880290
Arunachal Pradesh,2014,3,67500,8,86350,103,6637940,173,15422078,2,160000,23,2041480,0,0,84,11213650,false,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35000,0,0,0,0,0,0,21,969280,0,0,0,0,2,50000,0,0,0,0,1,4200000,1,30000,0,0,2,23500,6,126500,51,3678635,61,13901750,5,226000,23,2264600,67,1928240,158,37247470,12,477000,61,8718930,224,12324815,498,78789228
Assam,2014,144,10693775,315,4191631,2293,26376373,4503,131897564,25,517160,74,887600,65,277000,317,3798500,false,0,1,150000,0,0,0,0,0,0,0,0,0,0,12,91000,0,0,9,35000,57,11700,5,205000,5,1475000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,587900,110,1458386,647,5167008,1919,45335294,69,3329396,529,11398536,1892,17537489,5981,130654964,267,16603231,1038,18121153,4954,49369570,12737,311982322
Bihar,2014,174,27725940,117,6558972,3693,262152615,6655,116467719,213,59028180,1224,57521104,29,1190150,1849,46605294,false,0,12,109800,0,0,51,156000,12,729832,22,343236,8,31000,1182,17575022,0,0,0,0,1,350000,99,1663235,1,400000,2,135000,1,20000,97,5185000,8,49338970,9,914395,2,18000,165,5973000,12,2413730,14,970960,594,11825555,1916,83127467,118,11880081,200,7459492,346,3885065,10874,416911296,538,151516733,1600,74012959,4674,279472385,22888,693664033
Chhattisgarh,2014,27,3076170,25,1137900,1985,85802275,1235,53896428,5,154300,92,2947100,374,10388186,477,21201575,false,0,0,0,0,0,1,800000,0,0,5,108860,0,0,181,10032481,0,0,2,31100,15,364510,2,1350,0,0,1,122350,3,361000,2,136698,0,0,4,490359,7,515410,415,13018374,2,157883,60,698427,275,11094928,728,41883909,24,907713067,216,20941730,588,41656363,3057,125524854,58,911101420,405,26477826,3247,150182672,6098,266495669
Goa,2014,3,1862000,7,819320,225,32980025,210,20466382,2,250000,5,372000,0,0,41,5264590,false,0,0,0,1,0,15,1038500,0,0,0,0,0,0,53,4843461,0,0,0,0,15,1634900,31,867474,0,0,0,0,0,0,0,0,0,0,1,0,4,147000,4,270268,1,18000,3,755875,92,12461903,154,8273506,7,1263500,16,764490,35,1717326,646,348934959,13,3393500,32,2711685,372,48941154,1154,389959140
Gujarat,2014,125,33262196,413,26513333,3037,335823673,4822,399200360,52,45397801,230,43444989,52,6577505,662,87560039,false,0,1,22000,0,0,15,1502457,3,36700,16,2235910,4,436700,889,48021776,2,61500,5,147900,73,7295852,104,5149916,0,0,0,0,1,500,9,1122400,0,0,4,1165100,9,79000,24,1952550,20,3164530,66,23608235,638,71316656,1218,97192661,94,39372445,474,56294576,663,36208038,6594,679416572,296,121295172,1209,153432043,4477,457737924,14337,1321118731
Haryana,2014,20,3483000,98,11217100,4000,301606799,8083,337001875,72,46294820,236,71995377,36,2411100,1076,37730879,false,0,0,0,0,0,1,80000,1,1400000,31,2428450,27,1253000,414,1984200,0,0,10,563000,56,1796257,369,12204660,0,0,4,1793200,48,15564800,24,3042500,1,0,0,0,16,1493000,13,175000,18,7591085,105,17652937,1694,107586488,3718,183051913,60,33425280,390,108881046,840,59838405,6616,308319331,172,92194185,874,214531110,6717,491549849,20314,883590358
Himachal Pradesh,2014,0,0,4,125000,535,53694314,88,8982206,2,620200,3,124000,6,1121445,164,52908638,false,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45000,0,0,1,368000,49,12050451,6,165566,0,0,0,0,21,12041900,8,1262926,0,0,0,0,6,3296100,0,0,0,0,1,27650,145,20115354,58,3465088,2,950000,7,651870,122,14220600,327,31675289,4,1570200,16,1296520,884,116540164,652,101904713
Jammu & Kashmir,2014,3,103500,13,987070,548,31093785,251,23769249,0,0,0,0,0,0,18,2770975,false,0,0,0,0,0,0,0,0,0,0,0,2,174257,8,1200074,0,0,0,0,14,175481,3,69000,0,0,0,0,0,0,2,235000,0,0,0,0,1,621,0,0,0,0,0,0,215,10464988,39,1837520,3,51625,76,11774862,587,31099361,1452,88851838,6,155125,89,12761932,1367,73008493,1773,118733656
