area_name,year,sub_group_name,education_above_primary_but_below_matric_or_higher_secondary,education_illiterate,education_matric_or_higher_secondary_above,education_total,education_upto_primary
Andaman & Nicobar Islands,2001,1. Education,12,0,0,16,4
Andhra Pradesh,2001,1. Education,178,640,64,1565,683
Arunachal Pradesh,2001,1. Education,39,16,12,137,70
Assam,2001,1. Education,74,91,0,253,88
Bihar,2001,1. Education,87,190,56,586,253
Chandigarh,2001,1. Education,33,12,0,71,26
Chhattisgarh,2001,1. Education,348,205,61,1362,748
Dadra & Nagar Haveli,2001,1. Education,0,0,0,2,2
Daman & Diu,2001,1. Education,0,2,0,2,0
Delhi,2001,1. Education,228,268,39,858,323
Goa,2001,1. Education,34,31,9,93,19
Gujarat,2001,1. Education,1144,835,266,4370,2125
Haryana,2001,1. Education,879,343,232,2015,561
Himachal Pradesh,2001,1. Education,69,1,41,142,31
Jammu & Kashmir,2001,1. Education,1,1,0,2,0
Jharkhand,2001,1. Education,43,126,15,298,114
Karnataka,2001,1. Education,91,566,19,843,167
Kerala,2001,1. Education,59,23,7,132,43
Lakshadweep,2001,1. Education,0,0,1,1,0
Madhya Pradesh,2001,1. Education,1330,1757,560,7328,3681
Maharashtra,2001,1. Education,1973,832,168,4990,2017
Manipur,2001,1. Education,0,0,0,0,0
Meghalaya,2001,1. Education,3,39,1,66,23
Mizoram,2001,1. Education,20,6,0,49,23
Nagaland,2001,1. Education,12,1,1,26,12
Odisha,2001,1. Education,51,39,12,212,110
Puducherry,2001,1. Education,0,0,0,3,3
Punjab,2001,1. Education,4,10,7,29,8
Rajasthan,2001,1. Education,910,957,194,3245,1184
Sikkim,2001,1. Education,12,0,0,17,5
Tamil Nadu,2001,1. Education,163,855,21,4555,3516
Tripura,2001,1. Education,2,10,2,20,6
Uttar Pradesh,2001,1. Education,103,35,33,256,85
Uttarakhand,2001,1. Education,28,0,29,57,0
West Bengal,2001,1. Education,7,7,0,27,13
Andaman & Nicobar Islands,2002,1. Education,4,0,0,6,2
Andhra Pradesh,2002,1. Education,291,1033,115,2084,645
Arunachal Pradesh,2002,1. Education,32,41,10,132,49
Assam,2002,1. Education,120,100,18,332,94
Bihar,2002,1. Education,118,157,76,660,309
Chandigarh,2002,1. Education,46,6,5,75,18
Chhattisgarh,2002,1. Education,409,404,32,1407,562
Dadra & Nagar Haveli,2002,1. Education,0,0,0,0,0
Daman & Diu,2002,1. Education,0,0,0,0,0
Delhi,2002,1. Education,310,397,168,1192,317
Goa,2002,1. Education,11,25,8,68,24
Gujarat,2002,1. Education,843,750,130,3335,1612
Haryana,2002,1. Education,1104,424,331,2511,652
Himachal Pradesh,2002,1. Education,50,14,20,121,37
Jammu & Kashmir,2002,1. Education,0,3,0,3,0
Jharkhand,2002,1. Education,13,194,160,746,379
Karnataka,2002,1. Education,64,116,5,277,92
Kerala,2002,1. Education,115,7,59,234,53
Lakshadweep,2002,1. Education,0,0,0,0,0
Madhya Pradesh,2002,1. Education,2684,3488,282,8536,2082
Maharashtra,2002,1. Education,2133,759,302,5379,2185
Manipur,2002,1. Education,0,0,0,0,0
Meghalaya,2002,1. Education,8,33,0,68,27
Mizoram,2002,1. Education,20,4,0,60,36
Nagaland,2002,1. Education,12,0,0,14,2
Odisha,2002,1. Education,43,63,17,192,69
Puducherry,2002,1. Education,5,2,0,16,9
