area_name,year,sub_group_name,recidivism_new_delinquent,recidivism_old_delinquent,recidivism_total
Andaman & Nicobar Islands,2001,4. Recidivism,16,0,16
Andhra Pradesh,2001,4. Recidivism,1392,173,1565
Arunachal Pradesh,2001,4. Recidivism,130,7,137
Assam,2001,4. Recidivism,248,5,253
Bihar,2001,4. Recidivism,576,10,586
Chandigarh,2001,4. Recidivism,71,0,71
Chhattisgarh,2001,4. Recidivism,1210,152,1362
Dadra & Nagar Haveli,2001,4. Recidivism,2,0,2
Daman & Diu,2001,4. Recidivism,2,0,2
Delhi,2001,4. Recidivism,835,23,858
Goa,2001,4. Recidivism,93,0,93
Gujarat,2001,4. Recidivism,4082,288,4370
Haryana,2001,4. Recidivism,1955,60,2015
Himachal Pradesh,2001,4. Recidivism,116,26,142
Jammu & Kashmir,2001,4. Recidivism,2,0,2
Jharkhand,2001,4. Recidivism,213,85,298
Karnataka,2001,4. Recidivism,786,57,843
Kerala,2001,4. Recidivism,132,0,132
Lakshadweep,2001,4. Recidivism,1,0,1
Madhya Pradesh,2001,4. Recidivism,3816,3512,7328
Maharashtra,2001,4. Recidivism,4778,212,4990
Manipur,2001,4. Recidivism,0,0,0
Meghalaya,2001,4. Recidivism,59,7,66
Mizoram,2001,4. Recidivism,39,10,49
Nagaland,2001,4. Recidivism,12,14,26
Odisha,2001,4. Recidivism,208,4,212
Puducherry,2001,4. Recidivism,3,0,3
Punjab,2001,4. Recidivism,20,9,29
Rajasthan,2001,4. Recidivism,3087,158,3245
Sikkim,2001,4. Recidivism,17,0,17
Tamil Nadu,2001,4. Recidivism,4444,111,4555
Tripura,2001,4. Recidivism,8,12,20
Uttar Pradesh,2001,4. Recidivism,256,0,256
Uttarakhand,2001,4. Recidivism,57,0,57
West Bengal,2001,4. Recidivism,27,0,27
Andaman & Nicobar Islands,2002,4. Recidivism,6,0,6
Andhra Pradesh,2002,4. Recidivism,1676,408,2084
Arunachal Pradesh,2002,4. Recidivism,132,0,132
Assam,2002,4. Recidivism,296,36,332
Bihar,2002,4. Recidivism,647,13,660
Chandigarh,2002,4. Recidivism,75,0,75
Chhattisgarh,2002,4. Recidivism,1208,199,1407
Dadra & Nagar Haveli,2002,4. Recidivism,0,0,0
Daman & Diu,2002,4. Recidivism,0,0,0
Delhi,2002,4. Recidivism,1146,46,1192
Goa,2002,4. Recidivism,67,1,68
Gujarat,2002,4. Recidivism,3109,226,3335
Haryana,2002,4. Recidivism,2421,90,2511
Himachal Pradesh,2002,4. Recidivism,120,1,121
Jammu & Kashmir,2002,4. Recidivism,3,0,3
Jharkhand,2002,4. Recidivism,510,236,746
Karnataka,2002,4. Recidivism,258,19,277
Kerala,2002,4. Recidivism,230,4,234
Lakshadweep,2002,4. Recidivism,0,0,0
