area_name,year,chnamurder_cause_by_terroristextremist,chnamurder_cause_casteism,chnamurder_cause_class_conflict,chnamurder_cause_communalism,chnamurder_cause_dowry,chnamurder_cause_for_political_reason,chnamurder_cause_gain,chnamurder_cause_love_affairssexual_relations,chnamurder_cause_lunacy,chnamurder_cause_other_causes_or_motives,chnamurder_cause_personal_vendetta_or_enmity,chnamurder_cause_property_dispute,chnamurder_cause_total,chnamurder_cause_witchcraft,murder_cause_by_terroristextremist,murder_cause_casteism,murder_cause_class_conflict,murder_cause_communalism,murder_cause_dowry,murder_cause_for_political_reason,murder_cause_gain,murder_cause_love_affairssexual_relations,murder_cause_lunacy,murder_cause_other_causes_or_motives,murder_cause_personal_vendetta_or_enmity,murder_cause_property_dispute,murder_cause_total,murder_cause_witchcraft
Odisha,2007,0,11,0,0,2,0,0,0,0,4,1,4,22,0,6,1,0,0,138,4,60,61,1,755,113,43,1210,28
Jharkhand,2002,0,3,2,2,13,3,7,9,3,61,1,9,115,2,22,9,3,0,70,25,103,158,3,599,242,228,1488,26
Jharkhand,2004,0,3,2,2,13,3,7,9,3,61,1,9,115,2,22,9,3,0,70,25,103,158,3,599,242,228,1488,26
Bihar,2010,0,2,2,0,11,0,47,35,0,120,30,97,344,0,22,11,6,0,168,24,352,187,5,1228,441,916,3362,2
Karnataka,2002,0,1,0,0,0,0,0,1,0,53,0,0,55,0,0,1,0,4,52,6,55,130,0,1093,188,98,1627,0
Haryana,2006,0,1,1,0,1,0,3,1,0,29,10,13,59,0,0,0,2,0,19,2,50,74,0,319,192,181,873,34
Andaman & Nicobar Islands,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,4,1,13,0
Andhra Pradesh,2001,0,0,1,0,0,0,1,2,0,124,5,3,136,0,120,1,2,1,96,39,122,355,7,1348,332,159,2602,20
Arunachal Pradesh,2001,0,0,0,0,0,0,0,1,0,2,0,0,3,0,4,0,0,0,0,0,8,5,0,48,16,2,83,0
Assam,2001,0,0,1,0,0,0,2,0,0,35,0,2,40,0,111,1,25,0,62,2,94,37,1,812,83,125,1356,3
Bihar,2001,0,0,1,0,12,0,15,6,0,164,22,30,250,0,22,27,6,0,288,47,310,178,4,1293,579,888,3643,1
Chandigarh,2001,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,11,2,2,15,0
Chhattisgarh,2001,0,0,0,0,1,0,1,2,1,31,2,5,45,2,57,1,0,0,21,0,25,75,21,456,129,81,880,14
Dadra & Nagar Haveli,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0
Daman & Diu,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,1,7,0
Delhi,2001,0,0,0,0,0,0,1,0,0,57,3,2,63,0,2,0,0,0,20,0,36,67,3,307,56,56,547,0
Goa,2001,0,0,0,0,0,0,0,0,1,3,0,1,5,0,0,0,0,0,0,0,8,4,0,20,4,0,36,0
Gujarat,2001,0,0,0,0,0,0,77,0,0,17,0,0,94,0,1,2,0,1,24,0,89,152,14,681,133,127,1226,2
Haryana,2001,0,0,0,3,0,0,5,1,0,44,14,11,78,0,0,0,0,27,3,0,41,54,0,336,134,184,781,2
Himachal Pradesh,2001,0,0,0,0,0,0,0,0,0,9,2,0,11,0,0,0,0,0,1,0,4,11,0,72,15,16,119,0
Jammu & Kashmir,2001,6,0,0,0,0,0,0,0,0,27,0,0,33,0,958,0,1,0,1,0,0,4,0,69,18,23,1075,1
Jharkhand,2001,0,0,0,0,17,0,2,4,0,111,4,4,143,1,38,13,8,0,31,4,84,69,1,937,160,141,1507,21
Karnataka,2001,0,0,0,0,0,0,0,1,0,70,3,0,74,0,0,1,0,3,33,7,66,143,0,1142,140,91,1626,0
Kerala,2001,0,0,0,0,0,1,0,1,0,109,0,0,111,0,0,0,0,0,1,16,27,5,6,215,188,14,472,0
Lakshadweep,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Madhya Pradesh,2001,0,0,0,0,6,0,0,0,0,116,1,2,125,0,1,0,1,7,67,9,86,149,5,1407,440,240,2425,13
Maharashtra,2001,0,0,3,1,3,0,4,0,0,89,1,0,101,0,10,2,43,4,112,4,96,338,9,1837,228,150,2839,6
Manipur,2001,0,0,0,0,0,0,0,0,0,5,0,0,5,0,129,0,0,0,0,0,8,0,0,72,0,0,209,0
Meghalaya,2001,0,0,0,0,0,0,0,0,0,2,0,0,2,0,13,0,0,0,0,0,11,2,1,122,7,8,164,0
Mizoram,2001,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,3,3,0,16,9,0,31,0
Nagaland,2001,0,0,0,0,0,0,0,0,0,9,0,0,9,0,4,0,0,5,0,4,0,0,0,86,1,1,101,0
