area_name,year,offenders_arrested,offenders_arrested_for_the_first_time,offenders_conviction_in_the_past_once,offenders_conviction_in_the_past_three_times_or_more,offenders_conviction_in_the_past_twice
Uttar Pradesh,2001,314055,305811,6528,305,1411
Maharashtra,2008,311598,304892,5622,246,838
Maharashtra,2010,305629,301091,3139,375,1024
Madhya Pradesh,2010,343192,294222,37544,3119,8307
Uttar Pradesh,2010,292050,289905,1562,76,507
Madhya Pradesh,2008,343047,286774,39703,4287,12283
Maharashtra,2009,294753,285875,7576,381,921
Maharashtra,2007,291313,284047,6142,350,774
Uttar Pradesh,2009,285286,282722,1837,136,591
Maharashtra,2005,287114,280294,6018,291,511
Madhya Pradesh,2002,317436,279775,27851,2701,7109
Maharashtra,2006,290546,279662,9592,378,914
Madhya Pradesh,2004,322078,279621,30344,2450,9663
Madhya Pradesh,2003,303605,277369,18310,1859,6067
Madhya Pradesh,2005,314961,275271,25637,3972,10081
Maharashtra,2001,280202,272756,6117,564,765
Uttar Pradesh,2008,275250,272179,2267,175,629
Madhya Pradesh,2009,331978,271357,40276,6812,13533
Madhya Pradesh,2007,329280,269787,43767,3487,12239
Maharashtra,2004,269712,263646,4598,346,1122
Maharashtra,2002,267551,262081,4322,507,641
Madhya Pradesh,2006,310782,261735,40126,1980,6941
Maharashtra,2003,260231,256911,2474,334,512
Madhya Pradesh,2001,285193,253856,23071,1424,6842
Uttar Pradesh,2002,261054,252226,6988,373,1467
Uttar Pradesh,2007,246821,243948,2149,120,604
Bihar,2008,232962,232014,897,9,42
Bihar,2007,219895,215904,3585,36,370
Bihar,2004,220666,214077,5665,67,857
Uttar Pradesh,2006,217758,211808,4509,215,1226
Uttar Pradesh,2004,219313,211329,5655,400,1929
Andhra Pradesh,2008,231386,210823,15754,788,4021
Andhra Pradesh,2010,228605,209973,14579,784,3269
Andhra Pradesh,2009,234920,209278,21516,663,3463
Bihar,2002,214448,205335,7735,182,1196
Uttar Pradesh,2005,211275,204017,5213,269,1776
Andhra Pradesh,2006,227935,203350,17512,1463,5610
Andhra Pradesh,2007,236176,200281,28595,996,6304
Bihar,2009,205005,199879,3052,917,1157
Kerala,2010,197512,196397,878,46,191
Bihar,2001,202285,195055,6322,150,758
Bihar,2003,199132,192469,5713,100,850
Tamil Nadu,2010,211631,187448,17802,1016,5365
Tamil Nadu,2008,212832,187310,17445,2387,5690
Andhra Pradesh,2005,216277,184994,23641,1487,6155
Andhra Pradesh,2003,204553,184704,15003,988,3858
Tamil Nadu,2009,208677,184485,16317,2443,5432
Rajasthan,2004,194547,184345,7976,591,1635
Bihar,2010,196289,183653,10433,1075,1128
Andhra Pradesh,2004,214763,183483,23759,1870,5651
Rajasthan,2001,199980,182922,13646,826,2586
Rajasthan,2009,189997,180586,6961,540,1910
Andhra Pradesh,2002,196661,180552,12951,1012,2146
Tamil Nadu,2002,217590,179116,27879,1980,8615
Bihar,2005,186140,177362,7914,38,826
Rajasthan,2006,185350,177356,6453,334,1207
Rajasthan,2007,183814,176760,5274,391,1389
Bihar,2006,180446,175325,4573,56,492
Rajasthan,2002,188929,175191,10758,763,2217
Tamil Nadu,2007,201372,173913,19471,2668,5320
Rajasthan,2008,181167,172544,6449,365,1809
Tamil Nadu,2004,206002,172389,23182,2714,7717
Rajasthan,2003,179807,171453,5862,626,1866
Rajasthan,2005,178811,169108,7864,436,1403
Gujarat,2002,173200,166815,5761,99,525
Andhra Pradesh,2001,188419,161688,19481,2454,4796
Tamil Nadu,2005,194845,161529,24177,1955,7184
Kerala,2009,162016,161144,647,62,163
Rajasthan,2010,177537,160415,14219,571,2332
