area_name,year,ac01_no_of_cases_pending_investigation_from_previous_year,ac02_no_of_cases_registered_during_the_year,ac03_total_no_of_cases_for_investigation_during_the_year,ac04_no_of_cases_investigated_during_the_year,ac05_no_of_cases_not_investigatedor_in_which_investigation_was_dropped_due_to_any_reason_during_the_year,ac06_no_of_cases_transferred_to_local_police_during_the_year,ac07_no_of_cases_declared_false_mistake_of_fact_or_of_law_or_non_cognizable_or_civil_in_nature,ac08_no_of_cases_in_which_charge_sheets_were_laid_during_the_year,ac09_no_of_cases_pending_departmental_sanction_for_prosecution_during_the_year,ac10_no_of_cases_sent_up_for_trial_and_also_reported_for_departmental_action_during_the_year,ac11_no_of_cases_reported_for_regular_departmental_action_during_the_year,ac12_no_of_cases_reported_for_suitable_action_during_the_year,ac13_no_of_cases_in_which_charge_sheets_were_not_laid_but_final_report_submitted_during_the_year,ac14_no_of_cases_pending_investigation_at_the_end_of_the_year,ac15_no_of_cases_resulted_in_recoveries_or_seizures_during_the_year,ac16_value_of_property_recoveredseized_during_the_year_in_rs,ac17_percentage_of_cases_charge_sheeted_to_total_cases_investigated,ac18_no_of_cases_pending_trial_from_the_previous_year,ac19_no_of_cases_sent_up_for_trial_during_the_year,ac20_total_no_of_cases_for_trial_during_the_year,ac21_no_of_cases_withdrawn_or_other_wise_disposed_off_on_account_of_death_of_the_accused_during_the_year,ac22_no_of_cases_in_which_trials_were_completed_during_the_year,ac23_no_of_cases_convicted_during_the_year,ac24_no_of_cases_acquitted_or_discharged_during_the_year,ac25_no_of_cases_pending_trial_at_the_end_of_the_year,ac26_percentage_of_cases_convicted_to_cases_in_which_trials_were_completed_during_the_year,ac27_total_amount_of_fine_imposed_during_the_year_in_rs
Rajasthan,2010,740.0000,576.0000,1316.0000,1316.0000,0.0000,0.0000,0.0000,281.0000,196.0000,126.0000,126.0000,48.0000,70.0000,965.0000,225.0000,1481450.0000,0.0000,1817.0000,281.0000,2098.0000,8.0000,57.0000,11.0000,46.0000,2033.0000,0.0000,33750.0000
Maharashtra,2010,724.0000,528.0000,1252.0000,1252.0000,2.0000,0.0000,4.0000,446.0000,250.0000,1.0000,37.0000,0.0000,26.0000,780.0000,155.0000,28841870.0000,0.0000,2042.0000,446.0000,2488.0000,5.0000,366.0000,68.0000,298.0000,2117.0000,0.0000,383000.0000
Maharashtra,2003,509.0000,521.0000,1030.0000,1030.0000,3.0000,3.0000,1.0000,479.0000,237.0000,0.0000,2.0000,0.0000,44.0000,520.0000,154.0000,9114731.0000,0.0000,2602.0000,479.0000,3081.0000,5.0000,396.0000,113.0000,283.0000,2680.0000,0.0000,404600.0000
Tamil Nadu,2009,347.0000,498.0000,845.0000,845.0000,0.0000,0.0000,0.0000,156.0000,90.0000,67.0000,115.0000,19.0000,243.0000,492.0000,182.0000,10466646.0000,0.0000,308.0000,156.0000,464.0000,13.0000,52.0000,26.0000,26.0000,399.0000,0.0000,149300.0000
Maharashtra,2001,505.0000,497.0000,1002.0000,1002.0000,2.0000,6.0000,6.0000,472.0000,199.0000,1.0000,8.0000,0.0000,27.0000,491.0000,32.0000,7993106.0000,0.0000,2321.0000,472.0000,2793.0000,3.0000,287.0000,97.0000,190.0000,2503.0000,0.0000,1061500.0000
Maharashtra,2002,491.0000,478.0000,969.0000,969.0000,2.0000,1.0000,1.0000,440.0000,198.0000,1.0000,5.0000,0.0000,18.0000,509.0000,9.0000,28272096.0000,0.0000,2503.0000,440.0000,2943.0000,11.0000,329.0000,88.0000,241.0000,2603.0000,0.0000,328350.0000
Maharashtra,2006,536.0000,476.0000,1012.0000,1012.0000,0.0000,0.0000,1.0000,334.0000,176.0000,0.0000,16.0000,0.0000,19.0000,682.0000,181.0000,9079519.0000,0.0000,2301.0000,334.0000,2635.0000,4.0000,408.0000,102.0000,306.0000,2223.0000,0.0000,2333300.0000
Maharashtra,2007,682.0000,451.0000,1133.0000,1133.0000,0.0000,1.0000,4.0000,326.0000,227.0000,0.0000,20.0000,0.0000,43.0000,801.0000,192.0000,11702425.0000,0.0000,2223.0000,326.0000,2549.0000,13.0000,365.0000,90.0000,275.0000,2171.0000,0.0000,823100.0000
Punjab,2005,476.0000,449.0000,925.0000,444.0000,102.0000,2.0000,8.0000,340.0000,166.0000,176.0000,0.0000,21.0000,68.0000,522.0000,346.0000,1317150.0000,0.0000,994.0000,340.0000,1334.0000,32.0000,189.0000,80.0000,109.0000,1113.0000,0.0000,739000.0000
Maharashtra,2004,520.0000,446.0000,966.0000,966.0000,0.0000,0.0000,4.0000,460.0000,206.0000,0.0000,2.0000,0.0000,66.0000,471.0000,183.0000,9866815.0000,0.0000,2680.0000,460.0000,3140.0000,22.0000,557.0000,168.0000,389.0000,2561.0000,0.0000,658900.0000
