area_name,year,aca01_no_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,aca02_no_of_persons_arrested_during_the_year,aca04_no_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,aca05_no_of_persons_in_whose_cases_charge_sheets_were_laid_during_the_year,aca06_no_of_persons_under_trial_at_the_beginning_of_the_year,aca07_total_no_of_persons_under_trial_during_the_year,aca08_no_of_persons_whose_cases_were_withdrawn_or_otherwise_disposed_off_during_the_year,aca09_no_of_persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,aca10_no_of_persons_in_whose_cases_trials_were_completed_during_the_year,aca11_no_of_persons_convicted_during_the_year,aca12_no_of_persons_acquitted_during_the_year,aca13_percentage_of_persons_convicted_to_total_persons_in_whose_cases_trials_were_completed_during_the_year,aca14_no_of_persons_involved_in_the_cases_reported_for_regular_departmental_action_during_the_year,aca15_no_of_persons_involved_in_the_cases_reported_for_suitable_action_during_the_year,aca16_no_of_persons_punished_departmentally_during_the_year,aca161_no_of_persons_dismissed_from_service_during_the_year,aca162_no_of_persons_removed_from_service_during_the_year,aca163_no_of_persons_awarded_other_major_punishments_during_the_year,aca164_no_of_persons_awarded_minor_punishments_during_the_year,aca171_no_of_group_a_officers_out_of_above,aca172_no_of_group_b_officers_out_of_above,aca19_no_of_private_persons_involved_during_the_year
Bihar,2007,13.0000,950.0000,20.0000,943.0000,0.0000,0.0000,4.0000,0.0000,4.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,246.0000,150.0000,215.0000
Gujarat,2010,144.0000,947.0000,449.0000,642.0000,959.0000,1601.0000,0.0000,1378.0000,223.0000,51.0000,172.0000,0.0000,5.0000,35.0000,6.0000,1.0000,0.0000,2.0000,3.0000,9.0000,46.0000,35.0000
Maharashtra,2007,775.0000,870.0000,1188.0000,453.0000,3588.0000,4041.0000,21.0000,3553.0000,467.0000,97.0000,370.0000,0.0000,10.0000,0.0000,3.0000,1.0000,0.0000,1.0000,1.0000,88.0000,72.0000,73.0000
Maharashtra,2003,825.0000,792.0000,869.0000,730.0000,3717.0000,4447.0000,14.0000,3929.0000,504.0000,131.0000,373.0000,0.0000,5.0000,0.0000,3.0000,0.0000,0.0000,0.0000,3.0000,54.0000,81.0000,93.0000
Punjab,2005,338.0000,748.0000,523.0000,529.0000,1037.0000,1566.0000,35.0000,1244.0000,287.0000,95.0000,192.0000,0.0000,0.0000,26.0000,8.0000,8.0000,0.0000,0.0000,0.0000,79.0000,0.0000,115.0000
Odisha,2010,305.0000,733.0000,543.0000,489.0000,3147.0000,3636.0000,41.0000,3286.0000,309.0000,98.0000,211.0000,0.0000,212.0000,68.0000,54.0000,21.0000,1.0000,22.0000,10.0000,100.0000,451.0000,147.0000
Maharashtra,2001,835.0000,712.0000,803.0000,729.0000,3205.0000,3934.0000,7.0000,3564.0000,363.0000,117.0000,246.0000,0.0000,8.0000,0.0000,68.0000,0.0000,0.0000,45.0000,23.0000,37.0000,83.0000,78.0000
Maharashtra,2010,1015.0000,676.0000,1016.0000,645.0000,3463.0000,4108.0000,83.0000,3482.0000,543.0000,85.0000,458.0000,0.0000,45.0000,0.0000,8.0000,0.0000,0.0000,4.0000,4.0000,114.0000,83.0000,107.0000
Odisha,2009,119.0000,657.0000,305.0000,461.0000,2895.0000,3356.0000,18.0000,3147.0000,191.0000,86.0000,105.0000,0.0000,74.0000,24.0000,26.0000,9.0000,7.0000,7.0000,3.0000,74.0000,87.0000,96.0000
Maharashtra,2002,803.0000,651.0000,825.0000,612.0000,3564.0000,4176.0000,16.0000,3717.0000,443.0000,105.0000,338.0000,0.0000,6.0000,0.0000,4.0000,0.0000,1.0000,0.0000,3.0000,38.0000,50.0000,81.0000
Maharashtra,2006,838.0000,625.0000,775.0000,687.0000,3495.0000,4182.0000,39.0000,3588.0000,555.0000,134.0000,421.0000,0.0000,35.0000,0.0000,14.0000,0.0000,0.0000,4.0000,10.0000,52.0000,62.0000,63.0000
Maharashtra,2008,1188.0000,614.0000,1148.0000,641.0000,3553.0000,4194.0000,23.0000,3493.0000,678.0000,151.0000,527.0000,0.0000,6.0000,0.0000,12.0000,0.0000,0.0000,12.0000,0.0000,49.0000,52.0000,55.0000
Odisha,2008,25.0000,599.0000,119.0000,448.0000,2641.0000,3089.0000,39.0000,2895.0000,155.0000,61.0000,94.0000,39.0000,66.0000,6.0000,0.0000,7.0000,3.0000,6.0000,5.0000,93.0000,66.0000,111.0000
Maharashtra,2004,869.0000,575.0000,789.0000,634.0000,3929.0000,4563.0000,13.0000,3815.0000,735.0000,193.0000,542.0000,0.0000,2.0000,0.0000,5.0000,0.0000,0.0000,1.0000,4.0000,60.0000,61.0000,77.0000
Maharashtra,2005,789.0000,556.0000,838.0000,502.0000,3815.0000,4317.0000,11.0000,3495.0000,811.0000,195.0000,616.0000,0.0000,32.0000,0.0000,2.0000,0.0000,0.0000,0.0000,2.0000,57.0000,47.0000,66.0000
Maharashtra,2009,1148.0000,531.0000,1015.0000,651.0000,3493.0000,4144.0000,34.0000,3463.0000,647.0000,137.0000,510.0000,0.0000,18.0000,0.0000,11.0000,0.0000,0.0000,7.0000,4.0000,49.0000,74.0000,74.0000
Punjab,2004,338.0000,528.0000,338.0000,371.0000,1037.0000,1408.0000,109.0000,1037.0000,262.0000,114.0000,148.0000,0.0000,15.0000,62.0000,13.0000,13.0000,0.0000,0.0000,0.0000,125.0000,0.0000,136.0000
Karnataka,2010,636.0000,497.0000,639.0000,368.0000,1309.0000,1677.0000,50.0000,1350.0000,277.0000,87.0000,190.0000,31.4000,59.0000,70.0000,0.0000,2.0000,0.0000,3.0000,0.0000,51.0000,104.0000,72.0000
Punjab,2010,57.0000,459.0000,112.0000,378.0000,1135.0000,1513.0000,12.0000,1122.0000,379.0000,104.0000,275.0000,0.0000,13.0000,22.0000,0.0000,0.0000,45.0000,0.0000,0.0000,0.0000,0.0000,35.0000
Karnataka,2009,264.0000,430.0000,636.0000,344.0000,928.0000,1272.0000,18.0000,1309.0000,165.0000,29.0000,115.0000,17.5000,41.0000,79.0000,2.0000,2.0000,0.0000,0.0000,0.0000,41.0000,74.0000,28.0000
Andhra Pradesh,2003,209.0000,413.0000,402.0000,220.0000,932.0000,1152.0000,4.0000,1039.0000,109.0000,43.0000,66.0000,0.0000,55.0000,0.0000,26.0000,6.0000,1.0000,2.0000,17.0000,0.0000,0.0000,6.0000
