area_name,year,sub_group,cpa_cases_registered,cpa_cases_reported_for_dept_action,cpa_complaints_cases_declared_false_unsubstantiated,cpa_complaints_received_alleged,cpa_no_of_departmental_enquiries,cpa_no_of_magisterial_enquiries,cpa_cases_sent_for_trials_charge_sheeted,cpa_no_of_judicial_enquiries,cpb_police_personnel_acquitted,cpb_police_personnel_convicted,cpb_police_personnel_sent_up_for_trial,cpb_police_personnel_trial_completed,cpb_police_personnel_cases_withdrawn_or_otherwise_disposed_of,cpc_police_personnel_cases_trial_completed,cpc_police_personnel_cases_withdrawn_or_otherwise_disposed_of,cpc_police_personnel_disciplinary_action_initiated,cpc_police_personnel_dismissal_removal_from_service,cpc_police_personnel_major_punishment_awarded,cpc_police_personnel_minor_punishment_awarded
Andaman & Nicobar Islands,2001,Complaints Against Police Personnel,10,4,0,10,4,0,5,0,1,0,5,1,0,6,25,73,2,11,20
Andhra Pradesh,2001,Complaints Against Police Personnel,3078,72,109,3229,160,2969,3039,23,12,3,92,15,16,23,476,1506,47,248,1085
Arunachal Pradesh,2001,Complaints Against Police Personnel,24,39,5,54,44,0,17,0,0,0,17,0,1,8,43,107,4,17,15
Assam,2001,Complaints Against Police Personnel,17,3,1,52,52,3,9,1,1,0,7,1,1,0,7,144,5,61,102
Bihar,2001,Complaints Against Police Personnel,1,1,12,125,3,15,18,81,0,0,81,0,6,537,141,1385,33,470,1557
Chandigarh,2001,Complaints Against Police Personnel,6,1,42,52,1,0,2,0,0,0,2,0,1,141,14,131,11,57,17
Chhattisgarh,2001,Complaints Against Police Personnel,137,51,2008,2618,748,5,13,1,2,4,30,6,1,22,44,131,0,26,36
Dadra & Nagar Haveli,2001,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2001,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2001,Complaints Against Police Personnel,184,99,368,6572,428,0,5,0,0,0,5,0,0,0,0,99,103,487,1864
Goa,2001,Complaints Against Police Personnel,2,7,0,8,7,0,1,1,4,0,1,4,0,90,113,168,0,6,84
Gujarat,2001,Complaints Against Police Personnel,417,1736,548,2358,555,2,364,53,26,18,419,44,32,2441,191,3429,67,143,2682
Haryana,2001,Complaints Against Police Personnel,9,11,1635,1681,792,0,4,0,0,0,5,0,0,0,0,21,0,2,5
Himachal Pradesh,2001,Complaints Against Police Personnel,7,0,118,179,1,0,4,0,18,2,4,20,0,4,40,35,2,23,27
Jammu & Kashmir,2001,Complaints Against Police Personnel,44,6,447,560,168,1,30,1,0,0,74,0,29,634,778,2938,81,1573,923
Jharkhand,2001,Complaints Against Police Personnel,12,0,2,11,0,0,2,8,0,0,3,0,2,193,91,379,41,202,42
Karnataka,2001,Complaints Against Police Personnel,183,33,9,2209,196,2,169,7,1,0,20,1,1,334,288,1094,15,79,810
Kerala,2001,Complaints Against Police Personnel,115,34,729,1336,1118,3,44,0,6,1,52,7,9,135,102,548,1,87,123
Lakshadweep,2001,Complaints Against Police Personnel,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Madhya Pradesh,2001,Complaints Against Police Personnel,635,452,13907,19390,7605,398,90,0,4,1,27,5,4,166,312,513,28,115,212
Maharashtra,2001,Complaints Against Police Personnel,464,296,2899,5001,2327,21,283,121,19,7,305,26,16,3829,1275,7920,178,486,14531
Manipur,2001,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2001,Complaints Against Police Personnel,6,1,0,6,4,0,1,2,0,0,2,0,2,0,2,28,2,60,52
Mizoram,2001,Complaints Against Police Personnel,9,1,0,7,1,0,6,0,4,0,7,4,3,32,0,43,3,28,6
Nagaland,2001,Complaints Against Police Personnel,76,74,1,99,1,0,35,0,3,0,2,3,1,2,1,8,0,2,1
Odisha,2001,Complaints Against Police Personnel,72,13,9,81,10,5,16,47,0,1,27,1,2,68,36,191,11,72,260
Puducherry,2001,Complaints Against Police Personnel,4,0,2,6,0,0,4,0,1,1,4,2,0,17,18,35,3,7,7
Punjab,2001,Complaints Against Police Personnel,191,186,3023,4046,2459,45,9,4,9,3,30,12,7,30,7,1216,118,600,809
Rajasthan,2001,Complaints Against Police Personnel,110,110,944,1858,909,4,60,1,4,1,70,5,5,2777,1060,4243,90,328,2359
