area_name,year,pc1_oral_complaints,pc2_written_complaints,pc3_distress_call_over_phoneno_100_etc,pc4_complaints_initiated_sue_motto_by_police,pc5_total_complaints_sum_of_1_4_above,pc6_total_complaints_as_recorded_in_gd,pc7_ipc_cases_registered,pc8_sll_cases_registered
Maharashtra,2010,239448,561217,13049,549410,1363124,1106219,208168,127940
Maharashtra,2009,242585,525157,7697,436688,1212127,979735,199598,135418
Maharashtra,2008,233929,499832,7307,404182,1145250,1019301,206243,120138
Maharashtra,2005,221580,474289,5013,209806,910688,811193,187027,142293
Maharashtra,2007,209595,470614,6479,203440,890128,696871,195707,120310
Maharashtra,2006,215481,452895,5225,174076,847677,922484,191788,129397
Andhra Pradesh,2006,107851,440345,47714,244021,839931,795772,173909,602146
Maharashtra,2001,188753,377917,5245,203216,775131,737513,171233,202160
Maharashtra,2003,152953,371751,3198,220910,748812,777504,164306,174606
Maharashtra,2002,152081,368631,3801,210423,734936,902581,165462,192768
Maharashtra,2004,153497,365190,2875,222691,744253,822753,176302,169317
Andhra Pradesh,2010,403194,357895,13117,35790,809996,809996,181438,628558
Andhra Pradesh,2005,56535,339358,26957,308664,731514,731514,157123,509090
Kerala,2010,108103,317603,11885,274005,711596,503320,148313,225458
Andhra Pradesh,2007,220603,313873,31238,349168,914882,1125682,175087,711946
Andhra Pradesh,2008,124805,307329,14900,62866,509900,415538,179275,246829
Andhra Pradesh,2009,186671,282928,15562,165405,650566,650566,180441,470125
Delhi,2010,16984,278114,1936203,12574,2243875,232711,51292,4667
Andhra Pradesh,2004,59619,273702,25220,273218,631759,631613,158756,452858
Kerala,2009,96128,266742,11055,193081,567006,421824,118369,166374
Tamil Nadu,2010,43373,265873,6351,385869,701466,701466,185678,515788
Tamil Nadu,2009,47753,260640,3080,406484,717957,717957,174691,543266
Delhi,2009,16079,257313,1869989,2256,2145637,244961,50251,4053
Delhi,2008,13747,256013,489679,2305,761744,247994,49350,6754
Uttar Pradesh,2004,6924,253736,1491,725808,987959,987959,130181,857586
West Bengal,2002,1649886,246652,142919,2826204,4865661,3708041,58962,1158861
Uttar Pradesh,2002,9062,242913,16,468676,720667,720667,146037,574630
Andhra Pradesh,2001,136948,240291,11063,18834,407136,344882,130089,525527
Andhra Pradesh,2003,154523,239205,53276,173798,620802,457767,156951,463272
Punjab,2008,5363,238283,6270,594,250510,94470,35314,20044
Andhra Pradesh,2002,99729,235704,14885,47961,398279,387593,143610,506354
Uttar Pradesh,2003,7256,227188,214,591076,825734,825734,95073,730661
West Bengal,2003,1624786,222475,18619,1956780,3822660,2865767,61174,1058493
Kerala,2008,100411,222140,8298,147581,478430,375069,110620,141788
Uttar Pradesh,2001,7332,217935,211,430888,656366,656366,178129,478237
Kerala,2007,87909,217327,8674,93581,407491,306256,108530,88726
Punjab,2009,10794,216724,38697,1063,267278,93481,35545,17911
Tamil Nadu,2008,32053,214206,10037,412334,668630,668630,176833,491797
Tamil Nadu,2003,73302,210295,8193,442259,734049,734049,157186,576863
Punjab,2010,9298,204962,28963,1180,244403,100186,36648,18338
Tamil Nadu,2004,53815,200754,11880,536368,802817,802817,166606,636211
Delhi,2006,29125,200253,407050,8173,644601,154295,57963,30372
Tamil Nadu,2005,47143,196601,10634,441703,696081,696081,162360,533721
Tamil Nadu,2002,109251,194648,1552,432499,737950,737950,166942,571008
Punjab,2007,4957,192967,7614,1843,207381,76347,35793,22612
Punjab,2006,1938,191281,9769,4261,207249,62484,32068,20730
Kerala,2006,63536,187567,5485,58944,315532,245940,105255,54176
Tamil Nadu,2007,31497,187250,8456,420514,647717,647717,172754,474963
Kerala,2005,96813,185408,5307,63041,350569,287211,104350,57821
Delhi,2007,55712,181887,485592,28164,751355,243305,56065,20994
Punjab,2005,1472,181224,270,10442,193408,55071,27136,26592
Tamil Nadu,2001,63976,178971,13491,419148,675586,665751,154801,510950
Uttar Pradesh,2010,1078,178098,126,2108497,2287799,2287799,174179,2113620
Uttar Pradesh,2009,1126,174532,117,2340553,2516328,2516328,172884,2343444
Uttar Pradesh,2008,1070,173441,95,1896102,2070708,2070708,168996,1901712
Tamil Nadu,2006,35715,170769,21646,370049,598179,598179,148972,449207
West Bengal,2004,690642,169042,17464,845165,1722313,1722313,69350,1278298
Punjab,2003,1847,166802,813,1294,170756,58132,28756,25739
Punjab,2004,1199,165491,222,1417,168329,48316,25630,24294
Delhi,2005,41556,164830,381613,7229,595228,164368,56065,26573
Gujarat,2010,96245,162716,3487,73298,335746,75433,116439,218751
Rajasthan,2009,9453,154880,101,45911,210345,226271,166565,43780
Rajasthan,2010,8602,154127,228,49810,212767,217628,162957,49810
Uttar Pradesh,2007,710,152608,76,1441206,1594600,1594600,150258,1444342
Gujarat,2009,100965,149543,2865,77771,331144,77819,115183,213339
Punjab,2002,2696,149358,605,1214,153873,34322,28794,26111
West Bengal,2010,34840,147653,8901,6915,198309,207203,129616,7434
Chhattisgarh,2008,140978,146979,2080,8240,298277,101317,51442,246835
Rajasthan,2001,18714,144011,6,24365,187096,203920,155185,31911
Delhi,2004,60933,142906,329285,46266,579390,156356,53623,25136
Punjab,2001,2876,141941,448,1504,146769,28552,27774,22883
Madhya Pradesh,2007,181591,138646,191,39238,359666,320944,202386,196849
Rajasthan,2007,11048,138612,,36841,186501,196119,148870,37631
Rajasthan,2008,12549,138247,1,40736,191533,201187,151174,40359
Rajasthan,2002,19608,138215,,27876,185699,199688,151248,34451
Rajasthan,2004,17442,138115,3,30601,186161,203790,154859,31302
Gujarat,2008,112749,134124,2299,74951,324123,38398,123808,200315
Madhya Pradesh,2004,225284,132186,450,40065,397985,397985,196867,201118
Rajasthan,2006,11585,132110,84,34155,177934,186939,141992,35942
Rajasthan,2003,18420,131259,,29750,179429,182243,145579,33850
Rajasthan,2005,14588,128775,2,28624,171989,185916,140917,31072
Uttar Pradesh,2006,895,127990,310,1187022,1316217,1316217,127001,1189216
Uttar Pradesh,2005,723,126775,215,1005049,1132762,1132762,122108,1010654
Kerala,2004,107906,124280,19272,56890,308348,199698,104025,52110
Bihar,2010,11987,123679,,1906,137572,137572,127453,10119
West Bengal,2005,26677,123312,18576,4879,173444,173444,66406,9235
Delhi,2002,22376,120835,264926,33080,441217,115425,49137,18272
Delhi,2003,29819,120835,227310,6877,384841,134771,47404,21910
Bihar,2009,11745,120211,0,1569,133525,133525,122931,10594
Karnataka,2009,25033,115632,127,15721,156513,140806,134042,17225
Chhattisgarh,2007,125272,115272,544,5646,246734,83739,45845,200889
Gujarat,2007,117123,113897,3467,83459,317946,64408,123195,194751
Haryana,2010,0,112944,4530,2957,120431,80895,59120,21775
Karnataka,2010,30693,112583,627,14593,158496,158496,142322,16174
West Bengal,2006,15931,111343,17448,3747,148469,148469,68052,7588
Bihar,2008,14237,110788,1113,6407,132545,132545,122669,9876
Kerala,2003,84345,109936,17330,40400,252011,178192,98824,41055
Bihar,2007,10809,106684,211,1195,118899,118899,109420,9479
Madhya Pradesh,2006,237594,104028,206,36552,378380,378380,194711,183669
Haryana,2009,0,103669,4614,3504,111787,65749,56229,23143
