area_name,year,group_name,sub_group_name,trial_of_violent_crimes_by_courts_by_confession,trial_of_violent_crimes_by_courts_by_trial,trial_of_violent_crimes_by_courts_total
Andhra Pradesh,2001,TVC- Arson,10. Arson,20,517,537
Arunachal Pradesh,2001,TVC- Arson,10. Arson,0,3,3
Assam,2001,TVC- Arson,10. Arson,5,142,147
Bihar,2001,TVC- Arson,10. Arson,0,208,208
Chandigarh,2001,TVC- Arson,10. Arson,0,3,3
Chhattisgarh,2001,TVC- Arson,10. Arson,22,41,63
Dadra & Nagar Haveli,2001,TVC- Arson,10. Arson,,2,2
Delhi,2001,TVC- Arson,10. Arson,18,75,93
Goa,2001,TVC- Arson,10. Arson,,41,41
Gujarat,2001,TVC- Arson,10. Arson,2,228,230
Haryana,2001,TVC- Arson,10. Arson,3,106,109
Himachal Pradesh,2001,TVC- Arson,10. Arson,0,66,66
Jammu & Kashmir,2001,TVC- Arson,10. Arson,0,48,48
Jharkhand,2001,TVC- Arson,10. Arson,0,66,66
Karnataka,2001,TVC- Arson,10. Arson,0,181,181
Kerala,2001,TVC- Arson,10. Arson,2,92,94
Madhya Pradesh,2001,TVC- Arson,10. Arson,,788,788
Maharashtra,2001,TVC- Arson,10. Arson,4,666,670
Meghalaya,2001,TVC- Arson,10. Arson,0,8,8
Mizoram,2001,TVC- Arson,10. Arson,2,11,13
Nagaland,2001,TVC- Arson,10. Arson,0,0,0
Odisha,2001,TVC- Arson,10. Arson,0,190,190
Puducherry,2001,TVC- Arson,10. Arson,,1,1
Punjab,2001,TVC- Arson,10. Arson,2,16,18
Rajasthan,2001,TVC- Arson,10. Arson,,476,476
Tamil Nadu,2001,TVC- Arson,10. Arson,34,395,429
Tripura,2001,TVC- Arson,10. Arson,0,17,17
Uttar Pradesh,2001,TVC- Arson,10. Arson,,398,398
Uttarakhand,2001,TVC- Arson,10. Arson,,12,12
West Bengal,2001,TVC- Arson,10. Arson,0,40,40
Andaman & Nicobar Islands,2002,TVC- Arson,10. Arson,0,1,1
Andhra Pradesh,2002,TVC- Arson,10. Arson,0,499,499
Assam,2002,TVC- Arson,10. Arson,5,125,130
Bihar,2002,TVC- Arson,10. Arson,0,148,148
Chandigarh,2002,TVC- Arson,10. Arson,0,1,1
Chhattisgarh,2002,TVC- Arson,10. Arson,30,55,85
Dadra & Nagar Haveli,2002,TVC- Arson,10. Arson,,1,1
Daman & Diu,2002,TVC- Arson,10. Arson,0,0,0
Delhi,2002,TVC- Arson,10. Arson,,3,3
Goa,2002,TVC- Arson,10. Arson,0,18,18
Gujarat,2002,TVC- Arson,10. Arson,0,207,207
Haryana,2002,TVC- Arson,10. Arson,0,168,168
Himachal Pradesh,2002,TVC- Arson,10. Arson,7,48,55
Jammu & Kashmir,2002,TVC- Arson,10. Arson,0,35,35
Jharkhand,2002,TVC- Arson,10. Arson,,102,102
Karnataka,2002,TVC- Arson,10. Arson,0,137,137
Kerala,2002,TVC- Arson,10. Arson,,83,83
Madhya Pradesh,2002,TVC- Arson,10. Arson,0,696,696
Maharashtra,2002,TVC- Arson,10. Arson,2,684,686
Meghalaya,2002,TVC- Arson,10. Arson,0,4,4
Mizoram,2002,TVC- Arson,10. Arson,4,7,11
Nagaland,2002,TVC- Arson,10. Arson,0,1,1
Odisha,2002,TVC- Arson,10. Arson,0,218,218
Puducherry,2002,TVC- Arson,10. Arson,,5,5
Punjab,2002,TVC- Arson,10. Arson,0,44,44
Rajasthan,2002,TVC- Arson,10. Arson,,518,518
Sikkim,2002,TVC- Arson,10. Arson,,1,1
Tamil Nadu,2002,TVC- Arson,10. Arson,32,495,527
Tripura,2002,TVC- Arson,10. Arson,,15,15
Uttar Pradesh,2002,TVC- Arson,10. Arson,1,550,551
Uttarakhand,2002,TVC- Arson,10. Arson,0,17,17
West Bengal,2002,TVC- Arson,10. Arson,0,63,63
Andaman & Nicobar Islands,2003,TVC- Arson,10. Arson,0,3,3
Andhra Pradesh,2003,TVC- Arson,10. Arson,0,484,484
Arunachal Pradesh,2003,TVC- Arson,10. Arson,0,1,1
Assam,2003,TVC- Arson,10. Arson,8,173,181
Bihar,2003,TVC- Arson,10. Arson,0,233,233
Chandigarh,2003,TVC- Arson,10. Arson,0,2,2
Chhattisgarh,2003,TVC- Arson,10. Arson,0,57,57
Dadra & Nagar Haveli,2003,TVC- Arson,10. Arson,,1,1
Daman & Diu,2003,TVC- Arson,10. Arson,0,0,0
Delhi,2003,TVC- Arson,10. Arson,,6,6
Goa,2003,TVC- Arson,10. Arson,,12,12
Gujarat,2003,TVC- Arson,10. Arson,1,313,314
Haryana,2003,TVC- Arson,10. Arson,0,122,122
Himachal Pradesh,2003,TVC- Arson,10. Arson,6,46,52
Jammu & Kashmir,2003,TVC- Arson,10. Arson,0,17,17
Jharkhand,2003,TVC- Arson,10. Arson,0,104,104
Karnataka,2003,TVC- Arson,10. Arson,0,236,236
Kerala,2003,TVC- Arson,10. Arson,2,128,130
Madhya Pradesh,2003,TVC- Arson,10. Arson,,698,698
Maharashtra,2003,TVC- Arson,10. Arson,0,663,663
Meghalaya,2003,TVC- Arson,10. Arson,0,2,2
Mizoram,2003,TVC- Arson,10. Arson,8,4,12
Nagaland,2003,TVC- Arson,10. Arson,0,0,0
Odisha,2003,TVC- Arson,10. Arson,0,246,246
Puducherry,2003,TVC- Arson,10. Arson,,2,2
Punjab,2003,TVC- Arson,10. Arson,0,44,44
Rajasthan,2003,TVC- Arson,10. Arson,,456,456
Sikkim,2003,TVC- Arson,10. Arson,,1,1
Tamil Nadu,2003,TVC- Arson,10. Arson,9,404,413
Tripura,2003,TVC- Arson,10. Arson,,11,11
Uttar Pradesh,2003,TVC- Arson,10. Arson,,607,607
Uttarakhand,2003,TVC- Arson,10. Arson,0,10,10
