area_name,year,group_name,sub_group_name,pt_1_3_years,pt_3_5_years,pt_5_10_years,pt_6_12_months,pt_less_than_6_months,pt_over_10_years,pt_total
Andhra Pradesh,2004,PT1. District/Session Judge,1. District/Session Judge,1931,805,196,293,44,57,3326
Arunachal Pradesh,2004,PT1. District/Session Judge,1. District/Session Judge,13,6,0,5,0,0,24
Assam,2004,PT1. District/Session Judge,1. District/Session Judge,582,444,170,127,69,22,1414
Bihar,2004,PT1. District/Session Judge,1. District/Session Judge,297,590,594,11,0,233,1725
Chhattisgarh,2004,PT1. District/Session Judge,1. District/Session Judge,239,171,72,222,271,17,992
Dadra & Nagar Haveli,2004,PT1. District/Session Judge,1. District/Session Judge,2,4,1,6,1,1,15
Daman & Diu,2004,PT1. District/Session Judge,1. District/Session Judge,3,,2,,,0,5
Delhi,2004,PT1. District/Session Judge,1. District/Session Judge,150,30,22,18,,4,224
Goa,2004,PT1. District/Session Judge,1. District/Session Judge,22,15,10,14,,,61
Gujarat,2004,PT1. District/Session Judge,1. District/Session Judge,578,611,350,248,63,86,1936
Haryana,2004,PT1. District/Session Judge,1. District/Session Judge,435,145,69,144,17,4,814
Himachal Pradesh,2004,PT1. District/Session Judge,1. District/Session Judge,132,80,13,16,2,0,243
Jammu & Kashmir,2004,PT1. District/Session Judge,1. District/Session Judge,320,207,169,111,55,40,902
Jharkhand,2004,PT1. District/Session Judge,1. District/Session Judge,170,435,345,105,18,152,1225
Karnataka,2004,PT1. District/Session Judge,1. District/Session Judge,1158,1067,715,183,141,86,3350
Kerala,2004,PT1. District/Session Judge,1. District/Session Judge,697,490,240,203,299,30,1959
Madhya Pradesh,2004,PT1. District/Session Judge,1. District/Session Judge,2034,874,161,1586,1886,49,6590
Maharashtra,2004,PT1. District/Session Judge,1. District/Session Judge,797,687,484,160,34,227,2389
Manipur,2004,PT1. District/Session Judge,1. District/Session Judge,0,0,1,0,0,8,9
Meghalaya,2004,PT1. District/Session Judge,1. District/Session Judge,0,0,0,0,0,0,0
Mizoram,2004,PT1. District/Session Judge,1. District/Session Judge,18,90,0,57,46,0,211
Nagaland,2004,PT1. District/Session Judge,1. District/Session Judge,36,0,0,42,165,0,243
Odisha,2004,PT1. District/Session Judge,1. District/Session Judge,476,549,391,328,1,39,1784
Punjab,2004,PT1. District/Session Judge,1. District/Session Judge,405,233,51,201,15,3,908
Rajasthan,2004,PT1. District/Session Judge,1. District/Session Judge,759,597,275,303,185,59,2178
Sikkim,2004,PT1. District/Session Judge,1. District/Session Judge,20,5,0,,,0,25
Tamil Nadu,2004,PT1. District/Session Judge,1. District/Session Judge,895,666,303,296,162,32,2354
Tripura,2004,PT1. District/Session Judge,1. District/Session Judge,45,41,36,2,44,4,172
Uttar Pradesh,2004,PT1. District/Session Judge,1. District/Session Judge,1838,2754,1289,254,29,592,6756
Uttarakhand,2004,PT1. District/Session Judge,1. District/Session Judge,180,198,105,36,0,10,529
West Bengal,2004,PT1. District/Session Judge,1. District/Session Judge,345,194,141,189,89,71,1029
Andaman & Nicobar Islands,2005,PT1. District/Session Judge,1. District/Session Judge,9,7,1,2,3,0,22
