area_name,year,group_name,sub_group_name,auto_theft_coordinated_traced,auto_theft_recovered,auto_theft_stolen
Andaman & Nicobar Islands,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,4,4
Andhra Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,136,1311,2725
Arunachal Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,21,27
Assam,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,94,205
Bihar,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,44,205,946
Chandigarh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,107,281
Chhattisgarh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,338,790
Dadra & Nagar Haveli,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,4,12
Delhi,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,62,688,3185
Goa,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,9,68,152
Gujarat,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,401,1345,4830
Haryana,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,34,882,1967
Himachal Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7,31,47
Jammu & Kashmir,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1,81,460
Jharkhand,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,10,38,211
Karnataka,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,183,993,3087
Kerala,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,47,300,1038
Madhya Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,1063,3756
Maharashtra,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,653,1968,6244
Manipur,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,5,57
Meghalaya,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,5,22
Mizoram,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2,11,11
Nagaland,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,15,53
Odisha,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,22,222,778
Puducherry,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,136,136,281
Punjab,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,123,229,609
Rajasthan,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,58,628,3273
Sikkim,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2,2,2
Tamil Nadu,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,2523,3858
Tripura,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,3,10
Uttar Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,15,727,4046
Uttarakhand,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,60,236
West Bengal,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,14,461,1904
Andaman & Nicobar Islands,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1,1,2
Andhra Pradesh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,12,1420,3025
Arunachal Pradesh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,19,49
Assam,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,115,485
Bihar,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,13,197,996
Chandigarh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,126,328
Chhattisgarh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,244,752
Dadra & Nagar Haveli,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,19,31
Daman & Diu,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,16,32
Delhi,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,111,665,3291
