area_name,year,group_name,sub_group_name,ph_houses_provided_by_department,ph_houses_provided_on_leaserentgpra,ph_sanctioned_strength
Andaman & Nicobar Islands,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),7,NULL,17
Andhra Pradesh,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),102,189,569
Arunachal Pradesh,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),81,11,92
Assam,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),0,0,531
Bihar,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),130,89,222
Chandigarh,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),10,0,17
Chhattisgarh,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),70,168,140
Dadra & Nagar Haveli,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,2,2
Delhi,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),168,NULL,371
Goa,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),8,8,34
Gujarat,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),111,23,374
Haryana,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),136,14,243
Himachal Pradesh,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),30,9,207
Jammu & Kashmir,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),73,0,569
Karnataka,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),139,41,267
Kerala,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),73,5,424
Lakshadweep,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),2,NULL,2
Madhya Pradesh,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,NULL,1137
Maharashtra,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),0,633,936
Manipur,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),16,NULL,202
Meghalaya,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),35,75,110
Mizoram,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),30,3,116
Nagaland,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),21,7,106
Odisha,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),165,77,414
Puducherry,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),14,1,20
Punjab,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),84,27,628
Rajasthan,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),40,NULL,740
Sikkim,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),28,2,67
Tamil Nadu,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),206,NULL,884
Tripura,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),200,NULL,317
Uttar Pradesh,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),229,395,1590
Uttarakhand,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),15,NULL,126
West Bengal,2001,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),71,38,691
Andaman & Nicobar Islands,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),10,4,17
Andhra Pradesh,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),30,564,594
Arunachal Pradesh,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),81,29,95
Assam,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),77,0,531
Bihar,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),141,75,631
