area_name,year,hg_lower_subordinates_actual_strength,hg_lower_subordinates_sanctioned_strength,hg_officers_actual_strength,hg_officers_sanctioned_strength,hg_upper_subordinates_actual_strength,hg_upper_subordinates_sanctioned_strength
Gujarat,2001,39236,45595,104,155,1366,1568
Gujarat,2002,40098,43630,105,150,1350,1500
Gujarat,2003,39834,43630,102,150,1283,1500
Gujarat,2004,36740,43630,82,150,1199,1500
Gujarat,2005,39123,43630,75,150,1159,1500
Gujarat,2006,40214,43517,67,153,955,1610
Gujarat,2007,39924,43517,67,153,1004,1610
Gujarat,2008,38524,43517,26,153,462,1610
Maharashtra,2005,35459,41965,701,817,2752,3717
Gujarat,2009,36454,40518,60,145,478,1785
Gujarat,2010,34739,40518,37,145,471,1785
Andhra Pradesh,2010,27257,27263,15,16,29,44
Andhra Pradesh,2009,27157,27163,7,16,29,44
Karnataka,2010,19672,26115,849,1182,448,777
Karnataka,2008,21288,25355,3,5,25,29
Karnataka,2009,22806,23470,341,615,427,908
Punjab,2002,13619,21019,946,2975,994,1505
West Bengal,2010,17809,20999,150,314,94,166
Karnataka,2007,17333,20614,1687,2234,2944,3521
Punjab,2001,14080,20484,993,2975,1088,3505
West Bengal,2004,20196,20208,50,316,67,93
West Bengal,2008,15986,20043,34,315,88,150
West Bengal,2009,15997,20043,35,315,91,150
West Bengal,2003,20534,19713,49,316,67,93
West Bengal,2005,17047,19703,48,315,67,93
West Bengal,2006,16632,19703,44,315,67,93
Karnataka,2005,15312,19640,1197,1589,2957,3475
Karnataka,2006,16717,19569,2717,3346,3407,4095
West Bengal,2002,20856,19215,981,1102,1645,1392
West Bengal,2001,17339,18734,774,827,929,1016
Punjab,2010,11555,17879,5,6,72,140
Madhya Pradesh,2001,15136,16607,53,66,545,659
Madhya Pradesh,2002,15432,16607,52,66,532,659
Madhya Pradesh,2003,15950,16607,46,66,555,659
Madhya Pradesh,2005,11676,16607,56,69,503,659
Punjab,2005,11999,16529,4,5,70,98
Punjab,2006,11945,16529,4,5,68,98
Madhya Pradesh,2004,15152,16005,43,66,535,659
Madhya Pradesh,2006,15715,16005,52,70,494,659
Madhya Pradesh,2007,12183,16005,55,70,458,659
Madhya Pradesh,2008,15739,16005,49,70,481,659
Madhya Pradesh,2009,15998,16005,42,69,472,659
Madhya Pradesh,2010,15294,16005,56,70,435,659
West Bengal,2007,14334,15863,4,5,104,121
Punjab,2008,11655,14767,5,5,70,110
Punjab,2009,9775,14706,4,5,106,138
Punjab,2007,12379,13452,4,5,80,110
Punjab,2004,9811,13008,1609,3856,1203,1733
Tamil Nadu,2004,11134,11605,0,0,0,0
Tamil Nadu,2005,10233,11605,,0,,
Tamil Nadu,2006,10438,11605,,0,,
Tamil Nadu,2007,10186,11605,,,,
Tamil Nadu,2008,10150,11605,,,,
Tamil Nadu,2010,9225,11605,0,0,0,0
Punjab,2003,8626,11157,1464,3019,1173,1690
Tamil Nadu,2003,10303,10987,142,155,337,464
Tamil Nadu,2009,10355,10605,0,0,0,0
Delhi,2001,6169,10285,3,3,9,9
Delhi,2002,1543,10285,3,3,7,8
Delhi,2003,2536,10285,3,3,11,15
Delhi,2010,6233,10088,4,11,10,186
Chhattisgarh,2008,6859,7740,12,15,231,667
Chhattisgarh,2010,5702,7737,22,29,178,384
Chhattisgarh,2007,6851,7729,16,26,207,343
Chhattisgarh,2006,5195,7345,16,24,211,325
Uttarakhand,2001,5542,6569,1,14,40,51
Uttarakhand,2002,6379,6411,1,14,115,210
Uttarakhand,2003,5372,6411,1,14,114,210
Uttarakhand,2004,5372,6411,3,20,109,242
Uttarakhand,2005,5372,6411,3,20,109,242
Uttarakhand,2006,5795,6411,5,20,106,241
Uttarakhand,2007,5795,6411,5,20,106,241
Uttarakhand,2008,5795,6411,5,20,106,241
Uttarakhand,2009,5795,6411,5,20,106,241
Uttarakhand,2010,5795,6411,5,20,106,241
Tamil Nadu,2002,5879,6309,151,155,265,464
Tamil Nadu,2001,5786,6291,149,153,229,285
Jharkhand,2009,4170,5774,88,156,133,246
Bihar,2002,4905,5121,264,335,75,240
Bihar,2001,4909,5109,140,253,76,166
Jharkhand,2007,3662,5083,32,66,246,382
Jharkhand,2008,3032,4864,173,246,175,302
Jharkhand,2010,3032,4864,173,246,110,302
Jharkhand,2006,3064,4503,17,34,1168,1416
Karnataka,2002,5167,4369,1474,459,1197,186
Bihar,2003,3539,4195,264,335,91,316
Bihar,2004,3539,4195,264,335,91,376
Bihar,2005,3539,4195,264,335,91,376
Karnataka,2004,4580,3998,1788,774,1190,179
Karnataka,2003,4589,3914,2496,1500,1215,206
Jharkhand,2001,783,3525,14,24,99,169
Jharkhand,2003,733,3510,106,111,98,149
Jharkhand,2004,733,3510,106,111,98,149
Uttar Pradesh,2007,3290,3364,59,89,228,262
Uttar Pradesh,2008,3289,3364,58,89,228,262
Chhattisgarh,2009,1725,3107,80,327,160,263
Tripura,2003,2603,3086,8,10,20,18
Tripura,2001,2536,3044,3,7,4,10
Tripura,2004,2472,3036,10,10,37,28
Tripura,2005,2368,3036,10,10,37,28
Tripura,2006,2136,3036,5,10,33,30
Tripura,2007,1662,3036,7,10,17,30
Tripura,2008,1654,3036,5,10,3,30
Tripura,2009,1654,3036,5,10,3,30
Tripura,2010,1645,3036,5,10,3,30
Uttar Pradesh,2001,2286,3004,63,85,233,262
Uttar Pradesh,2002,2282,3004,75,85,255,262
Uttar Pradesh,2003,2177,3004,62,85,236,262
Uttar Pradesh,2004,2091,3004,51,89,218,262
Uttar Pradesh,2005,2091,3004,51,89,218,262
Uttar Pradesh,2006,2091,3004,59,89,214,262
Tripura,2002,3083,2973,10,10,9,10
Assam,2001,2568,2609,55,67,218,220
Assam,2002,2568,2609,55,67,218,220
Assam,2003,2245,2324,32,56,158,181
Assam,2005,2249,2324,28,55,144,182
Manipur,2005,2233,2233,13,13,96,96
Manipur,2006,2231,2233,13,13,96,96
Manipur,2001,2232,2232,13,13,105,105
Manipur,2002,2232,2232,13,13,105,105
Manipur,2003,2232,2228,13,13,105,105
Manipur,2004,2228,2228,29,29,105,105
Manipur,2007,2221,2221,11,11,96,96
Manipur,2008,2211,2211,11,11,96,96
Manipur,2009,2211,2211,11,11,96,96
Manipur,2010,2180,2180,10,10,96,96
Kerala,2010,1979,2134,,0,,
Assam,2004,2029,2124,37,62,152,182
Bihar,2010,480,1769,32,62,157,370
Jammu & Kashmir,2001,1506,1738,19,35,64,64
Jammu & Kashmir,2005,1305,1607,26,35,98,134
Jammu & Kashmir,2004,1378,1594,26,35,104,130
Jammu & Kashmir,2009,1177,1503,21,35,21,82
Jammu & Kashmir,2008,1249,1501,35,35,12,82
Jammu & Kashmir,2010,1493,1501,35,35,70,82
Jammu & Kashmir,2007,1299,1498,21,32,33,79
Jammu & Kashmir,2006,1153,1496,22,35,29,70
Jammu & Kashmir,2003,1379,1491,15,25,60,75
Jammu & Kashmir,2002,1436,1488,35,35,57,70
Bihar,2006,593,1398,23,49,129,349
Bihar,2007,607,1397,25,49,101,349
Bihar,2008,675,1397,33,49,84,349
Bihar,2009,675,1397,33,49,84,349
Chandigarh,2010,1321,1363,3,3,2,2
Karnataka,2001,1352,1359,2106,2210,46,45
Chandigarh,2009,1338,1354,2,3,12,13
Chandigarh,2008,1298,1349,1,1,1,2
Chandigarh,2005,1128,1147,1,1,1,2
Chandigarh,2001,1124,1146,1,1,2,3
Meghalaya,2003,1073,1141,17,18,62,63
Meghalaya,2004,1041,1141,17,18,59,63
Uttar Pradesh,2009,789,1138,76,89,216,262
Uttar Pradesh,2010,778,1138,76,102,216,262
Chandigarh,2002,1131,1132,1,1,1,3
Chandigarh,2003,1122,1132,1,1,2,2
Chandigarh,2004,1132,1132,1,1,2,2
Chandigarh,2006,1116,1132,1,1,1,2
Chandigarh,2007,1120,1132,1,1,1,2
Chhattisgarh,2003,734,1127,77,106,160,274
Chhattisgarh,2004,732,1124,76,104,226,325
Chhattisgarh,2005,732,1124,17,24,221,325
Meghalaya,2001,1065,1091,14,18,46,63
Meghalaya,2002,1054,1091,17,18,56,63
Meghalaya,2005,1022,1032,17,18,54,63
Haryana,2001,844,978,36,72,120,168
Chhattisgarh,2001,868,949,88,93,525,133
Andaman & Nicobar Islands,2010,761,799,1,1,3,6
Chhattisgarh,2002,675,798,211,89,38,50
Maharashtra,2001,675,777,2,2,0,0
Maharashtra,2002,675,777,2,2,0,0
Puducherry,2008,669,777,3,,2,2
Puducherry,2009,774,777,2,0,1,2
Puducherry,2010,450,777,2,,1,2
Puducherry,2007,604,776,3,0,2,2
Sikkim,2009,646,776,6,8,1,3
Sikkim,2010,646,776,3,,4,6
Puducherry,2006,735,775,1,1,0,2
Sikkim,2008,771,771,7,10,1,2
Goa,2010,719,750,4,4,11,28
Maharashtra,2009,488,660,31,35,2,5
Rajasthan,2003,566,654,25,52,196,236
Rajasthan,2004,535,654,25,50,187,236
Rajasthan,2005,551,654,36,50,173,236
Maharashtra,2010,441,652,,4,2,3
Maharashtra,2006,527,636,16,30,2,4
Maharashtra,2007,512,636,29,30,3,4
Maharashtra,2008,508,636,29,30,2,4
Assam,2007,478,566,32,67,2382,2596
Assam,2008,478,566,43,67,2435,2596
Sikkim,2005,550,548,10,7,2,2
Sikkim,2006,550,548,10,7,2,2
Sikkim,2007,550,548,10,7,2,2
Goa,2001,498,500,,1,13,18
Goa,2002,457,482,1,1,12,18
Haryana,2002,424,482,22,37,60,75
Goa,2003,442,482,1,1,12,18
Haryana,2003,412,482,21,37,60,75
Goa,2004,420,482,1,1,12,18
Haryana,2004,435,482,28,37,67,75
Goa,2005,396,482,1,1,12,18
Goa,2006,428,482,2,2,12,18
Goa,2007,458,482,2,2,12,18
Goa,2008,443,482,2,2,11,18
Goa,2009,470,482,2,2,11,18
Puducherry,2005,392,447,0,0,3,3
Himachal Pradesh,2003,350,440,16,19,76,110
Himachal Pradesh,2004,322,439,15,19,83,111
Meghalaya,2006,410,433,17,18,61,63
Meghalaya,2007,406,433,13,18,60,63
Meghalaya,2008,410,433,16,18,57,63
Meghalaya,2009,404,433,16,18,49,63
Meghalaya,2010,395,433,14,18,55,63
Rajasthan,2006,343,431,36,50,161,236
Rajasthan,2007,339,431,30,50,151,236
Rajasthan,2008,330,431,30,50,140,236
Rajasthan,2009,326,431,25,50,136,236
Rajasthan,2010,322,431,25,50,122,236
Dadra & Nagar Haveli,2007,395,400,,,,
