area_name,year,group_name,sub_group_name,cd_deaths_reported,cd_no_of_autopsy_conducted,cd_no_of_cases_registered_in_connection_with_deaths,cd_no_of_judicial_enquiry_orderedconducted,cd_no_of_magisterial_enquiry_orderedconducted,cd_no_of_policemen_charge_sheeted,cd_no_of_policemen_convicted
Andhra Pradesh,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,8,8,2,1,5,1,0
Arunachal Pradesh,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Assam,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,2,2,0,0,2,0,0
Bihar,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Chandigarh,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,,0,0,0
Chhattisgarh,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,1,1,0,0,1,0,0
Delhi,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,1,1,,,1,,
Goa,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,1,1,1,,1,,
Gujarat,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,3,1,0,0,2,0,0
Haryana,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Himachal Pradesh,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Jammu & Kashmir,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Jharkhand,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Karnataka,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,1,1,1,0,0,0,0
Madhya Pradesh,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,2,2,2,,2,1,
Maharashtra,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,9,9,1,0,2,0,0
Meghalaya,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Mizoram,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,4,0,0,0,4,0,0
Nagaland,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Odisha,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,1,1,1,0,1,0,0
Punjab,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,3,1,2,0,2,0,0
Rajasthan,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,2,,1,,2,,
Tamil Nadu,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,5,5,5,,5,,
Uttar Pradesh,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,1,1,1,,,,
West Bengal,2001,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,9,4,0,1,4,0,0
Andhra Pradesh,2002,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,6,6,3,1,5,0,0
Assam,2002,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Bihar,2002,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Chhattisgarh,2002,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Daman & Diu,2002,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Gujarat,2002,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,2,1,0,0,2,0,0
Haryana,2002,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,3,1,3,1,2,13,0
Himachal Pradesh,2002,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Karnataka,2002,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,1,1,1,0,0,0,0
Madhya Pradesh,2002,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Maharashtra,2002,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,11,11,2,0,6,4,0
Meghalaya,2002,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Nagaland,2002,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Odisha,2002,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,0,0,0,0,0,0,0
Punjab,2002,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,1,1,0,0,1,0,0
Rajasthan,2002,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,4,4,4,0,3,14,
Tamil Nadu,2002,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,6,6,0,0,6,0,0
Tripura,2002,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,1,1,1,,1,,
Uttar Pradesh,2002,Persons Not Remand to Police Custody by Court,2. Deaths in Custody/Lockup of Persons Not Remanded to Police Custody by Court,3,2,1,,2,,
