area_name,year,group_name,sub_group_name,cd_accidents,cd_by_mob_attackriots,cd_by_other_criminals,cd_by_suicide,cd_illnessnatural_death,cd_while_escaping_from_custody
Andhra Pradesh,2001,During Hospitalisation/Treatment/Other Reasons,5. Deaths due to Other Reasons,0,0,0,2,1,2
Arunachal Pradesh,2001,During Hospitalisation/Treatment/Other Reasons,5. Deaths due to Other Reasons,0,0,0,0,0,0
Bihar,2001,During Hospitalisation/Treatment/Other Reasons,5. Deaths due to Other Reasons,0,0,0,0,0,0
Chandigarh,2001,During Hospitalisation/Treatment/Other Reasons,5. Deaths due to Other Reasons,0,0,1,0,0,0
Chhattisgarh,2001,During Hospitalisation/Treatment/Other Reasons,5. Deaths due to Other Reasons,0,0,0,1,0,0
Delhi,2001,During Hospitalisation/Treatment/Other Reasons,5. Deaths due to Other Reasons,,1,,,,
Goa,2001,During Hospitalisation/Treatment/Other Reasons,5. Deaths due to Other Reasons,1,,,,,
Gujarat,2001,During Hospitalisation/Treatment/Other Reasons,5. Deaths due to Other Reasons,1,0,0,2,1,0
Haryana,2001,During Hospitalisation/Treatment/Other Reasons,5. Deaths due to Other Reasons,0,0,0,0,2,0
Himachal Pradesh,2001,During Hospitalisation/Treatment/Other Reasons,5. Deaths due to Other Reasons,0,0,0,0,0,1
Jammu & Kashmir,2001,During Hospitalisation/Treatment/Other Reasons,5. Deaths due to Other Reasons,0,0,0,0,0,0
Jharkhand,2001,During Hospitalisation/Treatment/Other Reasons,5. Deaths due to Other Reasons,0,0,0,0,0,0
Karnataka,2001,During Hospitalisation/Treatment/Other Reasons,5. Deaths due to Other Reasons,0,0,0,0,0,0
Maharashtra,2001,During Hospitalisation/Treatment/Other Reasons,5. Deaths due to Other Reasons,0,0,0,10,4,0
Meghalaya,2001,During Hospitalisation/Treatment/Other Reasons,5. Deaths due to Other Reasons,0,0,0,0,0,0
Mizoram,2001,During Hospitalisation/Treatment/Other Reasons,5. Deaths due to Other Reasons,0,0,0,1,0,0
Nagaland,2001,During Hospitalisation/Treatment/Other Reasons,5. Deaths due to Other Reasons,0,0,0,0,0,0
