area_name,year,epc_cases_cases_acquitted,epc_cases_cases_convicted,epc_cases_cases_pending_for_trial,epc_cases_registered,epc_cases_trial_completed,epc_escapees_re_arrested_from_lockup,epc_escapees_re_arrested_from_others,epc_fr_submitted,epc_persons_awarded_more_than_3_years_imprisonment,epc_persons_awarded_upto_3_years_imprisonment,epc_persons_cases_acquitted,epc_persons_cases_convicted,epc_persons_cases_pending_for_trial,epc_persons_chargesheeted_for_escape,epc_persons_escaped,epc_persons_escaped_from_lockup,epc_persons_escaped_outside_the_lockup,epc_persons_escaped_total,epc_persons_trial_completed
Jharkhand,2005,235,66,1853,17,301,1747,7,188,3,2,671,236,3238,1252,12,5,7,12,907
Assam,2006,30,24,19,81,54,21,3,19,0,8,27,14,19,15,99,11,88,99,41
Andhra Pradesh,2009,68,22,38,96,90,13,51,18,5,2,146,32,30,45,96,8,88,96,178
Haryana,2006,7,20,76,33,27,7,26,9,0,8,15,26,172,21,36,8,28,36,41
Assam,2005,30,19,15,70,49,17,1,16,0,6,22,12,16,12,88,10,78,88,34
Chhattisgarh,2004,17,18,5,24,35,1,25,11,0,0,23,19,6,24,21,1,20,21,42
Tamil Nadu,2005,,18,23,57,18,12,50,43,0,19,,19,25,46,73,18,55,73,19
Madhya Pradesh,2006,6,16,118,150,22,34,118,35,0,13,6,17,114,130,181,26,155,181,23
Tamil Nadu,2004,1,15,35,70,16,20,52,19,0,14,1,16,39,54,82,7,75,82,17
Uttar Pradesh,2007,,15,79,100,15,1,83,24,0,15,,15,79,94,118,4,114,118,15
Tamil Nadu,2003,0,14,36,74,14,17,54,54,0,13,0,14,45,65,89,17,72,89,14
Haryana,2001,3,13,78,41,16,7,25,11,24,29,27,26,169,33,47,4,43,47,53
Meghalaya,2007,7,13,5,11,20,2,0,0,0,0,1,0,3,4,11,4,7,11,1
Andhra Pradesh,2010,2,13,48,82,15,8,53,8,1,8,2,13,52,61,93,8,85,93,15
Andhra Pradesh,2003,0,12,52,96,12,32,53,15,0,12,0,12,52,58,109,29,80,109,12
Assam,2007,19,12,27,66,31,24,6,13,0,11,39,19,27,48,60,7,53,60,58
Tamil Nadu,2007,,12,23,54,12,16,39,35,0,13,,13,32,45,73,25,48,73,13
Tamil Nadu,2006,,11,20,45,11,5,52,31,,22,,22,21,43,68,5,63,68,22
Maharashtra,2008,10,11,616,98,21,15,75,17,1,17,14,18,1033,60,130,34,96,130,32
Assam,2010,10,10,144,52,20,,,,0,0,24,9,,,56,9,47,56,33
Madhya Pradesh,2003,2,9,130,156,11,12,125,45,3,12,2,10,153,138,191,17,174,191,12
Andhra Pradesh,2004,2,9,43,95,11,19,54,4,1,8,2,9,59,56,117,16,101,117,11
Assam,2004,6,9,9,26,15,0,18,0,0,4,7,5,6,17,26,1,25,26,12
Madhya Pradesh,2004,0,9,106,135,9,25,106,37,13,36,0,8,102,129,168,28,140,168,8
Rajasthan,2004,,9,61,80,9,20,67,10,,,,9,78,87,112,23,89,112,9
Uttar Pradesh,2004,0,9,57,134,9,5,25,1,2,7,0,11,74,102,154,34,120,154,11
Andhra Pradesh,2007,2,9,46,96,11,24,59,15,0,4,2,12,48,58,118,8,110,118,14
Himachal Pradesh,2001,1,8,6,12,9,5,6,8,0,10,1,9,11,14,13,5,8,13,10
Maharashtra,2003,7,8,150,117,15,54,62,91,1,8,7,11,200,105,146,38,108,146,18
Tamil Nadu,2008,2,8,24,47,10,7,30,34,,9,2,9,25,36,51,10,41,51,11
