state_ut,district,year,rape,kidnapping_and_abduction,dowry_deaths,assault_on_women_with_intent_to_outrage_her_modesty,insult_to_modesty_of_women,cruelty_by_husband_or_his_relatives,importation_of_girls
Andhra Pradesh,ADILABAD,2013,61,47,12,197,138,464,0
Andhra Pradesh,ANANTAPUR,2013,28,84,23,337,43,161,0
Andhra Pradesh,CHITTOOR,2013,31,27,13,119,84,435,0
Andhra Pradesh,CUDDAPAH,2013,19,50,9,318,163,207,0
Andhra Pradesh,CYBERABAD,2013,138,129,43,350,338,1526,0
Andhra Pradesh,EAST GODAVARI,2013,74,33,15,352,222,483,0
Andhra Pradesh,GUNTAKAL RLY.,2013,0,0,0,3,2,0,0
Andhra Pradesh,GUNTUR,2013,38,54,16,296,135,608,0
Andhra Pradesh,GUNTUR URBAN,2013,28,34,7,124,93,326,0
Andhra Pradesh,HYDERABAD CITY,2013,101,52,39,225,90,1480,0
Andhra Pradesh,KARIMNAGAR,2013,57,103,39,354,276,670,0
Andhra Pradesh,KHAMMAM,2013,100,104,15,254,297,768,0
Andhra Pradesh,KRISHNA,2013,58,37,14,387,274,708,0
Andhra Pradesh,KURNOOL,2013,26,50,11,374,199,203,0
Andhra Pradesh,MAHABOOBNAGAR,2013,117,63,33,219,98,234,0
Andhra Pradesh,MEDAK,2013,64,38,25,169,73,476,0
Andhra Pradesh,NALGONDA,2013,77,110,27,367,313,327,0
Andhra Pradesh,NELLORE,2013,26,81,8,263,221,374,0
Andhra Pradesh,NIZAMABAD,2013,49,33,17,142,295,732,0
Andhra Pradesh,PRAKASHAM,2013,39,57,8,298,26,484,0
Andhra Pradesh,RAJAHMUNDRY,2013,14,4,2,67,68,209,0
Andhra Pradesh,RANGA REDDY,2013,37,25,14,69,23,168,0
Andhra Pradesh,SECUNDERABAD RLY.,2013,0,2,0,11,0,0,0
Andhra Pradesh,SRIKAKULAM,2013,42,23,3,207,129,361,0
Andhra Pradesh,TIRUPATHI URBAN,2013,10,15,7,45,31,133,0
Andhra Pradesh,VIJAYAWADA CITY,2013,48,45,12,249,456,1227,0
Andhra Pradesh,VIJAYAWADA RLY.,2013,1,1,2,6,5,0,0
Andhra Pradesh,VISAKHA RURAL,2013,32,23,8,139,79,210,0
Andhra Pradesh,VISAKHAPATNAM,2013,67,50,8,149,100,548,0
Andhra Pradesh,VIZIANAGARAM,2013,42,25,10,165,95,383,0
Andhra Pradesh,WARANGAL,2013,52,63,20,206,10,129,0
Andhra Pradesh,WARANGAL URBAN,2013,36,47,16,127,81,195,0
Andhra Pradesh,WEST GODAVARI,2013,123,86,16,342,245,855,0
Andhra Pradesh,ZZ TOTAL,2013,1635,1595,492,6930,4702,15084,0
Arunachal Pradesh,ANJAW,2013,0,0,0,0,0,0,0
Arunachal Pradesh,CHANGLANG,2013,5,5,0,2,0,1,0
Arunachal Pradesh,DIBANG VALLEY,2013,0,1,0,2,0,0,0
Arunachal Pradesh,K/KUMEY,2013,0,1,0,1,0,0,0
Arunachal Pradesh,KAMENG EAST,2013,2,12,0,6,0,0,0
Arunachal Pradesh,KAMENG WEST,2013,2,0,0,0,0,0,0
Arunachal Pradesh,LOHIT,2013,10,22,0,10,0,2,0
Arunachal Pradesh,LONGDING,2013,1,2,0,2,0,0,0
Arunachal Pradesh,PAPUM PARE,2013,18,22,0,24,1,20,0
Arunachal Pradesh,RURAL,2013,3,5,0,5,0,1,0
