states_uts,district,year,rape,custodial_rape,custodial_gang_rape,custodial_other_rape,rape_other_than_custodial,rape_gang_rape,rape_others,attempt_to_commit_rape,kidnapping_abduction_total,kidnaping_abduction,kidnaping_abduction_in_order_to_murder,kidnapping_for_ransom,kidnapping_abduction_of_women_to_compel_her_for_marriage,kidnaping_abduction_others,dowry_deaths,assault_on_women_with_intent_to_outrage_her_modesty_total,sexual_harassment,assault_on_women_with_intent_to_disrobe,voyeurism,stalking,others,insult_to_the_modesty_of_women_total,at_office_premises,in_places_related_to_work,in_public_transport_system,in_other_places,cruelty_by_husband_or_his_relatives,importation_of_girls_from_foreign_country,murder,attempt_to_commit_murder,culpable_homicide_not_amounting_to_murder,attempt_to_commit_culpable_homicide,grievous_hurt,hurt,acid_attack,attempt_to_acid_attack,deaths_caused_with_intent_to_cause_miscarriage,causing_miscarriage_without_consent_of_women,dacoity_total,dacoity_with_murder,other_dacoity,robbery,arson,humantrafficking,abetment_of_suicides_of_women,unnatural_offences,other_ipc_crimes,dowry_prohibition_act_1961,indecent_representation_of_women_p_act_1986,commission_of_sati_prevention_act_1987,protection_of_women_from_domestic_violence_act_2005,immoral_traffic_prevention_act,itp_under_section_5,itp_under_section_6,itp_under_section_7,itp_under_section_8,itp_under_other_sections,other_sll_crimes_against_women,total_crimes_against_women
Andhra Pradesh,Anantapur,2014,35,0,0,0,35,0,35,1,106,0,0,0,88,18,25,436,82,34,4,80,236,26,0,0,0,26,165,0,50,20,1,0,3,2,1,0,false,0,0,0,0,0,0,0,0,0,0,229,0,false,0,0,0,0,0,0,0,0,1097
Andhra Pradesh,Chittoor,2014,32,0,0,0,32,1,31,0,34,3,0,1,28,2,17,135,0,0,0,0,135,94,0,0,0,94,278,0,11,2,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,4,4,0,0,0,0,0,607
Andhra Pradesh,Cuddapah,2014,28,0,0,0,28,0,28,4,16,0,0,0,11,5,16,215,212,0,0,0,3,12,1,11,0,0,91,0,27,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,20,0,0,175,0,false,0,5,0,0,0,0,5,0,609
Andhra Pradesh,East Godavari,2014,85,0,0,0,85,0,85,18,25,0,0,0,0,25,7,519,159,61,11,55,233,62,0,0,0,62,464,0,32,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,27,0,0,22,0,false,0,16,0,0,0,0,16,0,1277
Andhra Pradesh,Guntakal Railway,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,false,0,0,0,0,1,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,4
Andhra Pradesh,Guntur,2014,49,0,0,0,49,0,49,24,46,5,0,0,0,41,16,245,17,7,3,8,210,347,0,0,0,347,454,0,33,9,0,0,6,6,0,0,false,0,0,0,0,3,4,0,39,0,0,0,0,false,0,11,0,0,0,0,11,14,1300
Andhra Pradesh,Guntur Urban,2014,40,0,0,0,40,1,39,8,56,0,0,0,0,56,12,160,0,0,0,0,160,452,0,0,0,452,345,0,14,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,38,0,0,0,0,38,0,1125
Andhra Pradesh,Krishna,2014,80,0,0,0,80,1,79,20,34,13,0,0,19,2,8,354,98,44,13,76,123,232,2,0,0,230,613,0,21,0,0,0,0,0,0,0,false,0,0,0,0,4,6,0,35,0,0,0,0,false,0,4,0,0,0,0,4,0,1411
Andhra Pradesh,Kurnool,2014,32,0,0,0,32,1,31,4,37,0,0,0,16,21,12,403,81,18,2,40,262,251,0,0,0,251,362,0,45,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,26,0,0,39,0,false,0,2,0,0,0,0,2,0,1213
Andhra Pradesh,Nellore,2014,58,0,0,0,58,3,55,16,124,48,1,1,64,10,14,295,79,14,8,32,162,205,0,62,56,87,362,0,35,28,0,0,4,1,1,2,false,0,1,0,1,17,5,1,0,0,0,1,0,false,0,19,0,0,0,0,19,0,1185
Andhra Pradesh,Prakasham,2014,50,0,0,0,50,2,48,8,50,17,0,0,11,22,8,197,24,3,7,13,150,16,0,0,0,16,402,0,24,11,1,0,2,2,0,0,false,0,0,0,0,10,4,0,0,0,0,1,2,false,0,12,12,0,0,0,0,0,798
Andhra Pradesh,Rajahmundry,2014,35,0,0,0,35,1,34,3,8,0,0,1,2,5,3,121,37,6,0,17,61,27,0,0,0,27,190,0,10,10,0,0,1,1,0,0,false,0,0,0,0,6,1,0,3,0,90,0,0,false,0,0,0,0,0,0,0,0,508
Andhra Pradesh,Srikakulam,2014,40,0,0,0,40,1,39,3,10,5,0,0,5,0,3,214,26,45,0,22,121,91,0,6,6,79,298,0,11,8,1,0,18,17,1,0,false,0,0,0,0,4,1,0,22,0,10,0,1,false,0,3,3,0,0,0,0,2,740
Andhra Pradesh,Tirupathi Urban,2014,18,0,0,0,18,1,17,5,17,1,0,0,9,7,13,60,2,2,0,5,51,21,0,0,0,21,167,0,6,0,0,0,0,0,0,0,false,0,0,0,0,3,0,0,0,0,0,0,0,false,0,12,0,0,0,0,12,0,322
Andhra Pradesh,Vijayawada City,2014,64,0,0,0,64,0,64,4,27,6,0,0,11,10,10,279,40,15,9,91,124,212,0,0,1,211,642,0,9,8,0,0,1,1,0,0,false,0,0,0,0,0,5,1,29,0,19,0,0,false,0,50,0,0,0,0,50,2,1362
Andhra Pradesh,Vijayawada Railway,2014,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,8,4,0,1,0,3,6,0,4,2,0,1,0,1,1,0,0,0,0,0,0,false,0,0,0,0,0,0,0,4,0,0,0,0,false,0,0,0,0,0,0,0,0,25
Andhra Pradesh,Visakha Rural,2014,38,0,0,0,38,0,38,0,15,12,0,0,2,1,4,129,35,13,1,6,74,57,0,0,0,57,166,0,8,9,2,0,4,4,0,0,false,0,0,0,0,1,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,433
Andhra Pradesh,Visakhapatnam,2014,84,0,0,0,84,0,84,0,50,50,0,0,0,0,13,147,50,0,0,27,70,112,0,0,0,112,371,0,8,13,0,0,16,15,1,0,false,0,1,0,1,6,2,0,0,0,92,0,0,false,0,21,0,0,0,0,21,2,938
Andhra Pradesh,Vizianagaram,2014,47,0,0,0,47,1,46,1,19,0,0,0,0,19,8,225,0,0,0,0,225,327,0,0,0,327,330,0,12,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,1,0,false,0,2,0,0,0,2,0,0,972
Andhra Pradesh,West Godavari,2014,146,0,0,0,146,1,145,46,45,18,0,0,8,19,24,405,126,72,12,32,163,99,0,1,0,98,661,0,37,22,1,0,7,6,1,0,false,0,0,0,0,6,0,0,12,0,94,0,0,false,0,5,4,0,0,0,1,1,1611
Andhra Pradesh,Total,2014,961,0,0,0,961,14,947,165,721,180,1,3,274,263,215,4547,1072,334,71,504,2566,2649,3,84,65,2497,6362,0,397,141,6,0,62,55,5,2,false,0,2,0,2,61,28,2,217,0,305,468,3,false,0,204,23,0,0,2,179,21,17537
Arunachal Pradesh,Anjaw,2014,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,2
Arunachal Pradesh,Changlang,2014,6,0,0,0,6,0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,13
Arunachal Pradesh,Crime Branch,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Dibang Valley,2014,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,1
